# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode, next opcode, counts
LOAD_CONST, LOAD_GLOBAL, 3
LOAD_CONST, LOAD_GLOBAL_BY_INDEX, 21426
LOAD_CONST, LOAD_LOCAL_SAFE, 1104458
LOAD_CONST, CALL, 10860440
LOAD_CONST, JUMP, 41120
LOAD_CONST, CREATE_CLASS, 14
LOAD_CONST, POP, 5142457
LOAD_CONST, DUPE, 270672
LOAD_CONST, RETURN, 2712965
LOAD_GLOBAL, LOAD_CONST, 5
LOAD_GLOBAL, LOAD_LOCAL_SAFE, 3
LOAD_GLOBAL, LOAD_FIELD, 3
LOAD_GLOBAL, CALL, 28
LOAD_GLOBAL, JUMP, 4
LOAD_GLOBAL, ASSERT_FUNC, 222
LOAD_GLOBAL, CREATE_OBJECT, 33
LOAD_GLOBAL, DUPE, 6
LOAD_GLOBAL, SWAP, 11
LOAD_GLOBAL, RETURN, 1
LOAD_GLOBAL_BY_INDEX, LOAD_CONST, 558701
LOAD_GLOBAL_BY_INDEX, LOAD_LOCAL_SAFE, 153101
LOAD_GLOBAL_BY_INDEX, CALL, 2627592
LOAD_GLOBAL_BY_INDEX, JUMP, 1555359
LOAD_GLOBAL_BY_INDEX, ASSERT_FUNC, 35842051
LOAD_GLOBAL_BY_INDEX, CREATE_OBJECT, 1036056
LOAD_GLOBAL_BY_INDEX, DUPE, 434080
LOAD_GLOBAL_BY_INDEX, SWAP, 393295
LOAD_GLOBAL_BY_INDEX, RETURN, 14530
LOAD_LOCAL_SAFE, LOAD_CONST, 9760269
LOAD_LOCAL_SAFE, LOAD_GLOBAL, 14
LOAD_LOCAL_SAFE, LOAD_GLOBAL_BY_INDEX, 1109855
LOAD_LOCAL_SAFE, LOAD_LOCAL_SAFE, 12297583
LOAD_LOCAL_SAFE, LOAD_FIELD, 55674556
LOAD_LOCAL_SAFE, CALL, 42621808
LOAD_LOCAL_SAFE, JUMP_IF_FALSE, 4118912
LOAD_LOCAL_SAFE, ASSERT_FUNC, 111884
LOAD_LOCAL_SAFE, CREATE_FUNC, 1000
LOAD_LOCAL_SAFE, DUPE, 1565935
LOAD_LOCAL_SAFE, SWAP, 2835353
LOAD_LOCAL_SAFE, RETURN, 254959
LOAD_FIELD, LOAD_CONST, 452721
LOAD_FIELD, LOAD_GLOBAL, 25
LOAD_FIELD, LOAD_GLOBAL_BY_INDEX, 2410348
LOAD_FIELD, LOAD_LOCAL_SAFE, 5501825
LOAD_FIELD, LOAD_FIELD, 1694119
LOAD_FIELD, CALL, 7518837
LOAD_FIELD, ASSERT_FUNC, 34938911
LOAD_FIELD, DUPE, 4689018
LOAD_FIELD, SWAP, 130736
LOAD_FIELD, RETURN, 96443
LOAD_NONLOCAL, LOAD_LOCAL_SAFE, 20000
LOAD_NONLOCAL, LOAD_FIELD, 95069
STORE_GLOBAL, LOAD_CONST, 17
STORE_GLOBAL, LOAD_GLOBAL, 3
STORE_GLOBAL, CREATE_FUNC, 23
STORE_GLOBAL, POP, 15
STORE_LOCAL, JUMP, 1085906
STORE_LOCAL, POP, 14020279
STORE_FIELD, JUMP, 128827
STORE_FIELD, POP, 2298724
CALL, LOAD_CONST, 180681
CALL, LOAD_GLOBAL, 17
CALL, LOAD_GLOBAL_BY_INDEX, 713201
CALL, LOAD_LOCAL_SAFE, 3743411
CALL, CALL, 5871139
CALL, JUMP, 73623
CALL, JUMP_IF_FALSE, 12596161
CALL, JUMP_IF_TRUE_PEEK, 2436216
CALL, JUMP_IF_FALSE_PEEK, 5527226
CALL, POP, 2361688
CALL, DUPE, 7063793
CALL, SWAP, 148773
CALL, RETURN, 32249
JUMP, LOAD_GLOBAL_BY_INDEX, 2290150
JUMP, JUMP, 9947
JUMP, POP, 1277592
JUMP, DUPE, 1583
JUMP_IF_FALSE, LOAD_CONST, 7790026
JUMP_IF_FALSE, LOAD_GLOBAL, 29
JUMP_IF_FALSE, LOAD_GLOBAL_BY_INDEX, 6600714
JUMP_IF_FALSE, LOAD_LOCAL_SAFE, 2366575
JUMP_IF_FALSE, LOAD_NONLOCAL, 10764
JUMP_IF_TRUE_PEEK, LOAD_GLOBAL, 16
JUMP_IF_TRUE_PEEK, LOAD_GLOBAL_BY_INDEX, 2940257
JUMP_IF_TRUE_PEEK, JUMP_IF_FALSE, 17739
JUMP_IF_TRUE_PEEK, JUMP_IF_FALSE_PEEK, 363614
JUMP_IF_FALSE_PEEK, LOAD_GLOBAL, 32
JUMP_IF_FALSE_PEEK, LOAD_GLOBAL_BY_INDEX, 1920324
JUMP_IF_FALSE_PEEK, LOAD_LOCAL_SAFE, 2244269
JUMP_IF_FALSE_PEEK, JUMP_IF_FALSE, 35296
JUMP_IF_FALSE_PEEK, JUMP_IF_TRUE_PEEK, 990223
JUMP_IF_FALSE_PEEK, JUMP_IF_FALSE_PEEK, 169130
JUMP_IF_FALSE_PEEK, POP, 396911
ASSERT_FUNC, LOAD_CONST, 1033950
ASSERT_FUNC, LOAD_GLOBAL, 51
ASSERT_FUNC, LOAD_GLOBAL_BY_INDEX, 5582870
ASSERT_FUNC, LOAD_LOCAL_SAFE, 62842973
ASSERT_FUNC, LOAD_NONLOCAL, 40000
ASSERT_FUNC, CALL, 1393224
CREATE_OBJECT, DUPE, 1036087
CREATE_CLASS, DUPE, 14
CREATE_LIST, DUPE, 44027
CREATE_FUNC, DUPE, 1028
POP, LOAD_CONST, 521805
POP, LOAD_GLOBAL, 100
POP, LOAD_GLOBAL_BY_INDEX, 12758855
POP, LOAD_LOCAL_SAFE, 9882447
POP, LOAD_NONLOCAL, 44305
POP, JUMP, 2290150
POP, CREATE_FUNC, 4
DUPE, STORE_GLOBAL, 58
DUPE, STORE_LOCAL, 15106185
DUPE, STORE_FIELD, 3508168
SWAP, DUPE, 3508168
