# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode, next opcode, counts
LOAD_CONST, LOAD_GLOBAL, 2
LOAD_CONST, LOAD_GLOBAL_BY_INDEX, 1996
LOAD_CONST, LOAD_LOCAL_SAFE, 122
LOAD_CONST, CALL, 122849
LOAD_CONST, JUMP, 6007
LOAD_CONST, CREATE_CLASS, 19
LOAD_CONST, POP, 46046
LOAD_CONST, DUPE, 12332
LOAD_CONST, SWAP, 5022
LOAD_GLOBAL, LOAD_CONST, 10
LOAD_GLOBAL, LOAD_LOCAL_SAFE, 6
LOAD_GLOBAL, LOAD_FIELD, 12
LOAD_GLOBAL, CALL, 12
LOAD_GLOBAL, JUMP, 1
LOAD_GLOBAL, ASSERT_FUNC, 107
LOAD_GLOBAL, CREATE_OBJECT, 33
LOAD_GLOBAL, CREATE_CLASS, 9
LOAD_GLOBAL, DUPE, 2
LOAD_GLOBAL, SWAP, 9
LOAD_GLOBAL_BY_INDEX, LOAD_CONST, 9
LOAD_GLOBAL_BY_INDEX, LOAD_LOCAL_SAFE, 3000
LOAD_GLOBAL_BY_INDEX, LOAD_FIELD, 3014
LOAD_GLOBAL_BY_INDEX, CALL, 182077
LOAD_GLOBAL_BY_INDEX, JUMP, 40196
LOAD_GLOBAL_BY_INDEX, ASSERT_FUNC, 893705
LOAD_GLOBAL_BY_INDEX, CREATE_OBJECT, 15054
LOAD_GLOBAL_BY_INDEX, DUPE, 6030
LOAD_GLOBAL_BY_INDEX, SWAP, 6032
LOAD_LOCAL_SAFE, LOAD_CONST, 46383
LOAD_LOCAL_SAFE, LOAD_GLOBAL, 20
LOAD_LOCAL_SAFE, LOAD_GLOBAL_BY_INDEX, 31130
LOAD_LOCAL_SAFE, LOAD_LOCAL_SAFE, 414677
LOAD_LOCAL_SAFE, LOAD_FIELD, 2864087
LOAD_LOCAL_SAFE, LOAD_NONLOCAL, 36058
LOAD_LOCAL_SAFE, CALL, 1266117
LOAD_LOCAL_SAFE, JUMP, 10006
LOAD_LOCAL_SAFE, JUMP_IF_FALSE, 134407
LOAD_LOCAL_SAFE, ASSERT_FUNC, 165243
LOAD_LOCAL_SAFE, CREATE_OBJECT, 10
LOAD_LOCAL_SAFE, CREATE_FUNC, 29075
LOAD_LOCAL_SAFE, DUPE, 5
LOAD_LOCAL_SAFE, SWAP, 25380
LOAD_FIELD, LOAD_CONST, 63127
LOAD_FIELD, LOAD_GLOBAL, 13
LOAD_FIELD, LOAD_GLOBAL_BY_INDEX, 202070
LOAD_FIELD, LOAD_LOCAL_SAFE, 261436
LOAD_FIELD, LOAD_FIELD, 574002
LOAD_FIELD, LOAD_NONLOCAL, 3002
LOAD_FIELD, CALL, 301643
LOAD_FIELD, JUMP, 25011
LOAD_FIELD, JUMP_IF_FALSE, 11015
LOAD_FIELD, JUMP_IF_TRUE_PEEK, 2000
LOAD_FIELD, JUMP_IF_FALSE_PEEK, 10010
LOAD_FIELD, ASSERT_FUNC, 1812384
LOAD_FIELD, DUPE, 60269
LOAD_FIELD, SWAP, 114033
LOAD_FIELD, RETURN, 5002
LOAD_NONLOCAL, LOAD_GLOBAL, 1
LOAD_NONLOCAL, LOAD_GLOBAL_BY_INDEX, 4
LOAD_NONLOCAL, LOAD_FIELD, 20046
LOAD_NONLOCAL, LOAD_NONLOCAL, 4008
LOAD_NONLOCAL, CALL, 32054
LOAD_NONLOCAL, ASSERT_FUNC, 3002
