# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode, next opcode, counts
LOAD_CONST, LOAD_CONST, 157
LOAD_CONST, LOAD_LOCAL_SAFE, 60595
LOAD_CONST, CALL, 89577
LOAD_CONST, CREATE_CLASS, 5
LOAD_CONST, POP, 54573
LOAD_CONST, DUPE, 1033
LOAD_CONST, SWAP, 1
LOAD_GLOBAL, LOAD_CONST, 1
LOAD_GLOBAL, LOAD_FIELD, 5
LOAD_GLOBAL, CALL, 1
LOAD_GLOBAL, JUMP, 1
LOAD_GLOBAL, ASSERT_FUNC, 84
LOAD_GLOBAL, CREATE_OBJECT, 13
LOAD_GLOBAL, CREATE_CLASS, 5
LOAD_GLOBAL, RETURN, 4
LOAD_GLOBAL_BY_INDEX, LOAD_CONST, 865
LOAD_GLOBAL_BY_INDEX, JUMP, 14154
LOAD_GLOBAL_BY_INDEX, ASSERT_FUNC, 233348
LOAD_GLOBAL_BY_INDEX, CREATE_OBJECT, 3789
LOAD_GLOBAL_BY_INDEX, RETURN, 6372
LOAD_LOCAL_SAFE, LOAD_CONST, 6018
LOAD_LOCAL_SAFE, LOAD_GLOBAL, 5
LOAD_LOCAL_SAFE, LOAD_GLOBAL_BY_INDEX, 1468
LOAD_LOCAL_SAFE, LOAD_LOCAL_SAFE, 79540
LOAD_LOCAL_SAFE, LOAD_FIELD, 626652
LOAD_LOCAL_SAFE, CALL, 251294
LOAD_LOCAL_SAFE, JUMP, 1
LOAD_LOCAL_SAFE, JUMP_IF_FALSE, 37951
LOAD_LOCAL_SAFE, SWAP, 2071
LOAD_LOCAL_SAFE, RETURN, 3
LOAD_FIELD, LOAD_CONST, 67949
LOAD_FIELD, LOAD_LOCAL_SAFE, 46309
LOAD_FIELD, LOAD_FIELD, 105915
LOAD_FIELD, CALL, 87000
LOAD_FIELD, ASSERT_FUNC, 422026
LOAD_FIELD, DUPE, 712
LOAD_FIELD, SWAP, 2661
STORE_GLOBAL, LOAD_CONST, 4
STORE_GLOBAL, LOAD_GLOBAL, 7
STORE_GLOBAL, CREATE_FUNC, 17
STORE_GLOBAL, POP, 8
STORE_LOCAL, JUMP, 2661
STORE_LOCAL, POP, 25499
STORE_FIELD, JUMP, 26690
STORE_FIELD, POP, 29203
CALL, LOAD_CONST, 4468
CALL, LOAD_GLOBAL, 1
CALL, LOAD_GLOBAL_BY_INDEX, 599
CALL, CALL, 77122
CALL, JUMP, 598
CALL, JUMP_IF_FALSE, 116308
CALL, JUMP_IF_TRUE_PEEK, 44250
CALL, JUMP_IF_FALSE_PEEK, 44626
CALL, POP, 69335
CALL, DUPE, 22616
CALL, SWAP, 59166
CALL, RETURN, 3392
JUMP, LOAD_GLOBAL_BY_INDEX, 27020
JUMP, LOAD_LOCAL_SAFE, 3820
JUMP, POP, 4224
JUMP_IF_FALSE, LOAD_CONST, 56007
JUMP_IF_FALSE, LOAD_GLOBAL, 8
JUMP_IF_FALSE, LOAD_GLOBAL_BY_INDEX, 47446
JUMP_IF_FALSE, LOAD_LOCAL_SAFE, 51493
JUMP_IF_TRUE_PEEK, LOAD_GLOBAL, 23
JUMP_IF_TRUE_PEEK, LOAD_GLOBAL_BY_INDEX, 41737
JUMP_IF_TRUE_PEEK, JUMP_IF_FALSE, 695
JUMP_IF_FALSE_PEEK, LOAD_CONST, 1138
JUMP_IF_FALSE_PEEK, LOAD_GLOBAL, 3
JUMP_IF_FALSE_PEEK, LOAD_GLOBAL_BY_INDEX, 13597
JUMP_IF_FALSE_PEEK, LOAD_LOCAL_SAFE, 16816
JUMP_IF_FALSE_PEEK, JUMP, 693
JUMP_IF_FALSE_PEEK, POP, 3689
ASSERT_FUNC, LOAD_CONST, 70873
ASSERT_FUNC, LOAD_GLOBAL, 5
ASSERT_FUNC, LOAD_GLOBAL_BY_INDEX, 869
ASSERT_FUNC, LOAD_LOCAL_SAFE, 433247
ASSERT_FUNC, CALL, 150464
CREATE_OBJECT, DUPE, 2778
CREATE_CLASS, DUPE, 10
CREATE_LIST, DUPE, 1027
CREATE_FUNC, DUPE, 20
POP, LOAD_CONST, 1033
POP, LOAD_GLOBAL, 39
POP, LOAD_GLOBAL_BY_INDEX, 57179
POP, LOAD_LOCAL_SAFE, 97438
POP, JUMP, 30840
POP, CREATE_FUNC, 2
DUPE, STORE_GLOBAL, 36
DUPE, STORE_LOCAL, 28160
DUPE, STORE_FIELD, 63899
SWAP, DUPE, 63899
