# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode, next opcode, counts
LOAD_CONST, LOAD_LOCAL_SAFE, 8696547
LOAD_CONST, CALL, 17509742
LOAD_CONST, CREATE_CLASS, 1
LOAD_CONST, POP, 8313692
LOAD_CONST, DUPE, 1413359
LOAD_GLOBAL, LOAD_FIELD, 1
LOAD_GLOBAL, CALL, 1
LOAD_GLOBAL, ASSERT_FUNC, 27
LOAD_GLOBAL, CREATE_OBJECT, 1
LOAD_GLOBAL, DUPE, 2
LOAD_GLOBAL_BY_INDEX, ASSERT_FUNC, 84292091
LOAD_GLOBAL_BY_INDEX, DUPE, 349853
LOAD_LOCAL_SAFE, LOAD_CONST, 8814194
LOAD_LOCAL_SAFE, LOAD_GLOBAL, 1
LOAD_LOCAL_SAFE, LOAD_GLOBAL_BY_INDEX, 218999
LOAD_LOCAL_SAFE, LOAD_LOCAL_SAFE, 33031189
LOAD_LOCAL_SAFE, LOAD_FIELD, 93019168
LOAD_LOCAL_SAFE, CALL, 151136996
LOAD_LOCAL_SAFE, JUMP_IF_FALSE_PEEK, 8445047
LOAD_FIELD, ASSERT_FUNC, 93019169
STORE_GLOBAL, LOAD_CONST, 1
STORE_GLOBAL, LOAD_GLOBAL, 2
STORE_GLOBAL, CREATE_FUNC, 16
STORE_LOCAL, JUMP, 131355
STORE_LOCAL, POP, 43640094
CALL, LOAD_CONST, 8445547
CALL, LOAD_LOCAL_SAFE, 25085642
CALL, CALL, 219501
CALL, JUMP_IF_FALSE, 8664048
CALL, JUMP_IF_FALSE_PEEK, 8596193
CALL, DUPE, 42008235
CALL, RETURN, 1
JUMP, LOAD_GLOBAL_BY_INDEX, 250500
JUMP, LOAD_LOCAL_SAFE, 8195047
JUMP, POP, 131355
JUMP_IF_FALSE, LOAD_CONST, 8313692
JUMP_IF_FALSE, LOAD_GLOBAL, 3
JUMP_IF_FALSE, LOAD_GLOBAL_BY_INDEX, 318853
JUMP_IF_FALSE, LOAD_LOCAL_SAFE, 31500
JUMP_IF_FALSE_PEEK, LOAD_CONST, 250000
JUMP_IF_FALSE_PEEK, LOAD_GLOBAL, 3
JUMP_IF_FALSE_PEEK, LOAD_GLOBAL_BY_INDEX, 16540736
JUMP_IF_FALSE_PEEK, JUMP_IF_FALSE_PEEK, 99855
JUMP_IF_FALSE_PEEK, POP, 250501
ASSERT_FUNC, LOAD_CONST, 8946548
ASSERT_FUNC, LOAD_GLOBAL, 10
ASSERT_FUNC, LOAD_GLOBAL_BY_INDEX, 33281679
ASSERT_FUNC, LOAD_LOCAL_SAFE, 126638003
ASSERT_FUNC, CALL, 8445047
CREATE_OBJECT, DUPE, 1
CREATE_CLASS, DUPE, 1
CREATE_FUNC, DUPE, 17
POP, LOAD_CONST, 1163358
POP, LOAD_GLOBAL, 12
POP, LOAD_GLOBAL_BY_INDEX, 34031177
POP, LOAD_LOCAL_SAFE, 8695548
POP, JUMP, 8445547
DUPE, STORE_GLOBAL, 19
DUPE, STORE_LOCAL, 43771449
