# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode, next opcode, counts
LOAD_CONST, LOAD_CONST, 5
LOAD_CONST, CALL, 20941
LOAD_CONST, CREATE_CLASS, 1
LOAD_CONST, CREATE_LIST, 1
LOAD_CONST, SWAP, 1
LOAD_GLOBAL, LOAD_FIELD, 2
LOAD_GLOBAL, CALL, 1
LOAD_GLOBAL, JUMP, 1
LOAD_GLOBAL, ASSERT_FUNC, 5
LOAD_GLOBAL, CREATE_OBJECT, 1
LOAD_GLOBAL_BY_INDEX, JUMP, 5039
LOAD_GLOBAL_BY_INDEX, ASSERT_FUNC, 29595
LOAD_LOCAL_SAFE, LOAD_CONST, 20942
LOAD_LOCAL_SAFE, LOAD_LOCAL_SAFE, 38894
LOAD_LOCAL_SAFE, LOAD_FIELD, 93690
LOAD_LOCAL_SAFE, CALL, 69911
LOAD_LOCAL_SAFE, JUMP_IF_FALSE, 8660
LOAD_LOCAL_SAFE, DUPE, 3620
LOAD_FIELD, LOAD_FIELD, 48972
LOAD_FIELD, ASSERT_FUNC, 93691
STORE_GLOBAL, LOAD_CONST, 1
STORE_GLOBAL, LOAD_GLOBAL, 2
STORE_GLOBAL, CREATE_FUNC, 16
STORE_GLOBAL, POP, 1
STORE_LOCAL, POP, 22357
STORE_FIELD, POP, 8662
CALL, CALL, 18738
CALL, JUMP_IF_FALSE, 8660
CALL, JUMP_IF_FALSE_PEEK, 8659
CALL, POP, 28816
CALL, DUPE, 18738
CALL, SWAP, 8660
JUMP, LOAD_GLOBAL_BY_INDEX, 5039
JUMP_IF_FALSE, LOAD_CONST, 5040
JUMP_IF_FALSE, LOAD_GLOBAL, 3
JUMP_IF_FALSE, LOAD_GLOBAL_BY_INDEX, 12277
JUMP_IF_FALSE_PEEK, LOAD_LOCAL_SAFE, 5039
JUMP_IF_FALSE_PEEK, JUMP, 3620
ASSERT_FUNC, LOAD_CONST, 1
ASSERT_FUNC, LOAD_GLOBAL, 1
ASSERT_FUNC, LOAD_LOCAL_SAFE, 109589
ASSERT_FUNC, CALL, 13700
CREATE_OBJECT, DUPE, 1
CREATE_CLASS, DUPE, 1
CREATE_LIST, SWAP, 1
CREATE_FUNC, DUPE, 17
POP, LOAD_GLOBAL, 3
POP, LOAD_GLOBAL_BY_INDEX, 12278
POP, LOAD_LOCAL_SAFE, 42516
POP, JUMP, 5039
DUPE, STORE_GLOBAL, 20
DUPE, STORE_LOCAL, 22357
DUPE, STORE_FIELD, 8662
SWAP, DUPE, 8662
