Function object uid, Function label, calls, execution time(μs)
1023, int[+], 1, 1
2047, int[*], 1, 1
3071, lambda-41, 1, 1
4095, int[+], 1, 1
5119, int[>], 1, 0
6143, int[>], 1, 1
7167, int[<], 1, 1
8191, int[<], 1, 4
9215, int[<], 1, 2
10239, int[<], 1, 1
11263, int[<], 1, 1
12287, int[<], 1, 0
13311, int[+], 1, 0
14335, int[>], 1, 1
15359, int[<], 1, 1
17407, int[<], 1, 0
18431, int[<], 1, 2
19455, int[<], 1, 1
20479, lambda-41, 1, 2
21503, int[neg], 1, 0
22527, int[<], 1, 1
23551, int[<], 1, 1
24575, lambda-41, 1, 1
26623, int[<], 1, 1
27647, int[+], 1, 1
28671, int[+], 1, 1
29695, int[<], 1, 1
30719, int[>], 1, 0
31743, int[>], 1, 1
32767, int[>], 1, 1
33791, int[+], 1, 0
34815, int[>=], 1, 1
35839, int[>], 1, 0
36863, int[<], 1, 2
38911, int[+], 1, 1
39935, int[<], 1, 3
40959, int[<], 1, 1
41983, int[+], 1, 1
43007, int[+], 1, 1
44031, int[+], 1, 1
46079, int[<], 1, 1
47103, int[>=], 1, 1
48127, int[<], 1, 2
49151, int[<], 1, 1
50175, int[<], 1, 1
1022, int[*], 1, 1
2046, int[%], 1, 0
3070, int[<], 1, 1
4094, int[+], 1, 5
5118, int[+], 1, 1
6142, int[>=], 1, 1
7166, int[>], 1, 1
10238, int[>], 1, 0
11262, int[>], 1, 1
12286, int[>], 1, 0
13310, int[<], 1, 2
14334, int[+], 1, 1
15358, int[>], 1, 0
16382, lambda-41, 1, 3
17406, int[>], 1, 1
19454, int[>], 1, 1
20478, int[<], 1, 1
21502, int[>=], 1, 1
22526, int[>], 1, 1
23550, int[>], 1, 0
24574, int[>=], 1, 1
25598, lambda-41, 1, 1
26622, int[>], 1, 0
27646, int[<], 1, 2
28670, int[+], 1, 1
29694, int[>], 1, 1
30718, int[+], 1, 1
31742, int[+], 1, 1
32766, int[+], 1, 1
33790, int[+], 1, 1
34814, int[>], 1, 1
35838, int[<], 1, 0
37886, lambda-41, 1, 1
38910, int[+], 1, 0
39934, int[>], 1, 0
40958, int[>], 1, 0
41982, int[<], 1, 1
43006, int[<], 1, 2
44030, int[+], 1, 1
45054, lambda-41, 1, 1
46078, int[>], 1, 1
47102, int[<], 1, 1
49150, int[>], 1, 1
1021, int[-], 1, 0
2045, int[&], 1, 1
3069, int[>], 1, 0
4093, int[<], 1, 4
5117, int[+], 1, 1
6141, int[>], 1, 1
7165, int[<], 1, 1
8189, lambda-41, 1, 1
9213, lambda-41, 1, 1
10237, int[<], 1, 1
11261, int[+], 1, 1
12285, int[+], 1, 1
14333, int[+], 1, 1
15357, int[<], 1, 0
17405, int[<], 1, 1
18429, lambda-41, 1, 3
19453, int[+], 1, 1
20477, int[>], 1, 1
21501, int[<], 1, 0
22525, int[+], 1, 0
23549, int[+], 1, 1
24573, int[>], 1, 0
26621, int[<], 1, 1
28669, int[<], 1, 5
29693, int[+], 1, 1
30717, int[+], 1, 1
31741, int[<], 1, 2
32765, int[+], 1, 1
33789, int[<], 1, 2
34813, int[<], 1, 0
35837, int[>], 1, 0
36861, lambda-41, 1, 4
37885, int[neg], 1, 1
38909, int[<], 1, 2
39933, int[+], 1, 1
40957, int[+], 1, 1
44029, int[<], 1, 2
46077, int[+], 1, 1
47101, int[>], 1, 1
48125, lambda-41, 1, 2
49149, int[<], 1, 0
50173, lambda-41, 1, 4
1020, int[%], 1, 1
2044, int[+], 1, 0
3068, int[<], 1, 1
5116, int[<], 1, 2
6140, int[+], 1, 1
7164, int[>], 1, 0
8188, int[<], 1, 0
10236, int[>], 1, 1
11260, int[+], 1, 1
12284, int[<], 1, 4
13308, lambda-41, 1, 4
14332, int[<], 1, 4
15356, int[>], 1, 1
16380, lambda-41, 1, 2
17404, int[>], 1, 1
19452, int[<], 1, 4
20476, int[<], 1, 1
21500, int[>], 1, 1
22524, int[+], 1, 3
23548, int[<], 1, 1
24572, int[<], 1, 1
25596, lambda-41, 1, 1
26620, int[>], 1, 1
27644, lambda-41, 1, 1
29692, int[<], 1, 2
30716, int[<], 1, 4
32764, int[<], 1, 2
34812, int[>], 1, 0
35836, int[+], 1, 1
36860, int[<], 1, 1
37884, int[>=], 1, 1
39932, int[+], 1, 0
40956, int[+], 1, 1
41980, lambda-41, 1, 2
43004, lambda-41, 1, 1
45052, lambda-41, 1, 1
46076, int[<], 1, 4
47100, int[+], 1, 1
48124, int[<], 1, 1
49148, int[>], 1, 1
1019, int[&], 1, 1
2043, int[*], 1, 0
3067, int[>], 1, 1
4091, lambda-41, 1, 1
6139, int[+], 1, 1
7163, int[+], 1, 1
8187, int[>], 1, 1
9211, lambda-41, 1, 4
10235, int[+], 1, 0
11259, int[<], 1, 2
13307, int[<], 1, 1
15355, int[+], 1, 0
16379, int[<], 1, 0
17403, int[+], 1, 1
18427, lambda-41, 1, 2
20475, int[>], 1, 1
21499, int[+], 1, 0
22523, int[<], 1, 4
24571, int[>], 1, 0
25595, int[<], 1, 1
26619, int[+], 1, 0
27643, int[<], 1, 0
28667, lambda-41, 1, 2
31739, lambda-41, 1, 2
33787, lambda-41, 1, 1
34811, int[+], 1, 0
35835, int[+], 1, 0
36859, int[>], 1, 0
37883, int[<], 1, 0
38907, lambda-41, 1, 4
39931, int[<], 1, 2
40955, int[<], 1, 2
43003, int[<], 1, 1
44027, lambda-41, 1, 1
45051, int[<], 1, 0
47099, int[+], 1, 1
48123, int[>], 1, 0
49147, int[+], 1, 1
50171, lambda-41, 1, 2
1018, int[+], 1, 0
2042, Ball[init-values], 1, 130
3066, int[+], 1, 2
5114, lambda-41, 1, 4
6138, int[<], 1, 2
7162, int[<], 1, 1
8186, int[<], 1, 1
9210, int[>=], 1, 0
10234, int[+], 1, 1
12282, lambda-41, 1, 1
13306, int[>], 1, 0
14330, lambda-41, 1, 4
15354, int[+], 1, 1
16378, int[>], 1, 1
17402, int[+], 1, 1
18426, int[>=], 1, 1
19450, lambda-41, 1, 3
20474, int[+], 1, 1
21498, int[+], 1, 0
23546, lambda-41, 1, 2
24570, int[+], 1, 1
25594, int[>], 1, 0
26618, int[+], 1, 1
27642, int[>], 1, 1
28666, int[<], 1, 1
29690, lambda-41, 1, 2
30714, lambda-41, 1, 1
32762, lambda-41, 1, 2
33786, int[<], 1, 1
34810, int[+], 1, 0
35834, int[<], 1, 4
36858, int[<], 1, 1
37882, int[>], 1, 1
38906, int[<], 1, 0
41978, lambda-41, 1, 2
43002, int[>], 1, 0
45050, int[>], 1, 1
46074, lambda-41, 1, 2
47098, int[<], 1, 2
48122, int[<], 1, 0
49146, int[<], 1, 2
50170, int[>=], 1, 0
1017, int[*], 1, 1
2041, int[<], 1, 1
3065, int[+], 1, 2
4089, lambda-41, 1, 1
5113, int[<], 1, 1
8185, int[>], 1, 1
9209, int[>], 1, 1
10233, int[<], 1, 2
11257, lambda-41, 1, 1
12281, int[<], 1, 1
13305, int[neg], 1, 1
14329, int[<], 1, 0
15353, int[<], 1, 2
16377, int[>=], 1, 1
17401, int[<], 1, 2
18425, int[>], 1, 1
19449, int[<], 1, 1
20473, int[+], 1, 1
21497, int[<], 1, 3
22521, lambda-41, 1, 1
24569, int[+], 1, 0
25593, int[>=], 1, 1
26617, int[<], 1, 1
27641, int[<], 1, 1
28665, int[>], 1, 1
29689, int[<], 1, 0
30713, int[<], 1, 1
31737, lambda-41, 1, 2
32761, int[<], 1, 1
33785, int[>], 1, 0
34809, int[<], 1, 1
36857, int[>], 1, 1
37881, int[>=], 1, 1
38905, int[>], 1, 1
39929, lambda-41, 1, 4
40953, lambda-41, 1, 4
41977, int[>=], 1, 1
43001, int[<], 1, 0
44025, lambda-41, 1, 2
45049, int[>=], 1, 0
46073, int[<], 1, 1
48121, int[>], 1, 0
50169, int[>], 1, 1
1016, int[%], 1, 0
3064, Ball[bounce], 50, 2194
4088, int[neg], 1, 1
5112, int[>], 1, 1
6136, lambda-41, 1, 5
7160, lambda-41, 1, 1
8184, int[+], 1, 0
9208, int[<], 1, 1
12280, int[>], 1, 1
13304, int[>=], 1, 0
14328, int[>], 1, 0
16376, int[>], 1, 1
18424, int[<], 1, 1
19448, int[>], 1, 1
20472, int[<], 1, 1
23544, lambda-41, 1, 1
24568, int[<], 1, 2
25592, int[>], 1, 1
27640, int[>], 1, 1
28664, int[<], 1, 0
29688, int[>], 1, 1
30712, int[>], 1, 0
