Function object uid, Function label, calls, execution time(μs)
1023, int[=], 1, 1
4095, int[-], 1, 1
5119, int[-], 1, 1
7167, int[-], 1, 1
9215, lambda-41, 1, 2
11263, int[-], 1, 1
13311, int[-], 1, 2
14335, int[-], 1, 6
15359, lambda-41, 1, 1
16383, int[-], 1, 4
17407, int[-], 1, 1
18431, int[=], 1, 1
20479, int[-], 1, 1
22527, int[-], 1, 2
23551, int[-], 1, 2
24575, lambda-41, 1, 1
25599, int[-], 1, 4
26623, int[-], 1, 1
27647, int[=], 1, 0
29695, int[-], 1, 2
30719, lambda-41, 1, 4
31743, int[-], 1, 2
32767, lambda-41, 1, 3
34815, lambda-41, 1, 1
35839, int[-], 1, 1
2046, lambda-41, 1, 2
3070, lambda-41, 1, 1
4094, int[=], 1, 1
5118, int[=], 1, 1
6142, lambda-42, 2, 2
7166, int[=], 1, 1
8190, lambda-41, 1, 2
9214, int[=], 1, 1
10238, lambda-41, 1, 2
11262, int[=], 1, 1
12286, lambda-42, 2, 4
13310, int[=], 1, 0
14334, int[=], 1, 1
16382, int[=], 1, 1
17406, int[=], 1, 1
19454, lambda-41, 1, 1
20478, int[=], 1, 0
21502, lambda-42, 2, 3
22526, int[=], 1, 1
23550, int[=], 1, 0
25598, int[=], 1, 1
26622, int[=], 1, 1
28670, lambda-42, 2, 2
29694, int[=], 1, 1
31742, int[=], 1, 1
32766, int[=], 1, 1
33790, lambda-41, 1, 2
34814, int[=], 1, 1
35838, int[=], 1, 0
36862, lambda-41, 1, 2
1021, lambda-41, 1, 3
2045, int[=], 1, 1
6141, int[-], 1, 0
8189, int[=], 1, 0
12285, int[-], 1, 0
15357, lambda-41, 1, 1
18429, lambda-41, 1, 2
21501, int[-], 1, 1
24573, lambda-41, 1, 2
27645, lambda-41, 1, 1
28669, int[-], 1, 3
30717, lambda-41, 1, 1
33789, int[=], 1, 1
3068, lambda-41, 1, 3
4092, lambda-41, 1, 2
5116, lambda-42, 2, 3
6140, int[=], 1, 1
7164, lambda-41, 1, 3
9212, lambda-42, 2, 3
10236, lambda-41, 1, 2
11260, lambda-41, 1, 2
12284, int[=], 1, 1
13308, lambda-42, 2, 4
14332, lambda-42, 2, 2
15356, int[=], 1, 0
16380, lambda-42, 2, 2
17404, lambda-41, 1, 4
19452, lambda-41, 1, 4
20476, lambda-41, 1, 2
21500, int[=], 1, 1
22524, lambda-42, 2, 3
23548, lambda-42, 2, 6
