Function identifier, Function label, calls, execution time(μs)
63, list[get], 194470, 253225
62, lambda-62, 27065, 163802
126, _hash, 3032, 36211
124, Entry[init-values], 16, 25
188, _AbstractConstraint[satisfy], 6014, 1790894
187, each, 7006, 5336
59, int[>>], 3032, 2699
58, int[^], 3032, 6104
186, _AbstractConstraint[inputs_known], 3007, 42994
185, lambda, 3002, 16883
121, Vector[_sort], 3, 64
56, int[&], 3032, 6105
120, Vector[sort], 5, 166
184, _AbstractConstraint[destroy_constraint], 5, 1296338
55, int[>=], 27045, 48114
183, _AbstractConstraint[add_constraint], 3006, 1962010
119, Vector[capacity], 10, 99
54, int[>], 12027, 8252
182, _AbstractConstraint[is_input], 1004, 671
118, Vector[size], 5, 28
181, _AbstractConstraint[init-strength], 3006, 202078
53, int[<=], 2006, 1454
180, _create_strength_constants, 1, 2309
52, int[<], 262125, 209206
116, Vector[remove], 10, 221509
179, lambda, 8, 1198
51, int[=], 270337, 243176
115, each, 4013, 91359
114, Vector[remove_first], 14027, 260402
178, _create_strength_table, 1, 958
177, _Strength_of, 3008, 196714
49, int[/], 11, 6
176, _Strength[weakest], 10006, 86522
48, int[*], 25133, 20069
47, int[-], 17078, 12691
174, _Strength[weaker], 12006, 48971
110, Vector[for_each], 17195, 4808539
46, int[+], 27012, 19391
109, Vector[is_empty], 34085, 175424
173, _Strength[stronger], 6011, 24069
108, Vector[append], 25056, 1575477
172, _Strength[same_as], 3, 15
171, _Strength[init-values], 8, 586
170, _Sym[custom_hash], 3032, 2314
42, lambda-42, 2003, 1733
106, Vector[at], 1998, 31384
105, Vector[init-values], 9030, 248085
41, lambda-41, 278737, 603910
169, _Sym[init-values], 8, 6
232, _Variable[remove_constraint], 10, 221580
168, _Planner_projection_test, 1, 3956386
231, _Variable[add_constraint], 7006, 324283
103, empty_vec, 9174, 710983
167, _Planner_chain_test, 1, 3706611
102, vector_with, 6021, 303401
230, _Variable[init-values], 3003, 155125
166, _Planner[_remove_propagate_from], 5, 841319
229, _StayConstraint[execute], 1004, 653
164, recalc, 3002, 431249
228, _ScaleConstraint[recalculate], 5006, 107049
99, not, 134407, 91094
163, each, 6007, 92634
227, _ScaleConstraint[inputs_do], 1002, 9412
162, _Planner[_new_mark], 3014, 13451
98, ^, 3032, 10851
226, _ScaleConstraint[execute], 23024, 399299
161, _Planner[_constraints_consuming], 3007, 592802
96, &, 3032, 16885
160, each, 6007, 484899
224, _ScaleConstraint[add_to_graph], 1000, 256395
95, >=, 27045, 163565
223, _ScaleConstraint[init-values], 1000, 592186
159, _Planner[change], 4, 2785418
94, >, 12027, 26038
222, _EqualityConstraint[execute], 104000, 487608
158, _Planner[add_propagate], 6011, 1393740
93, <=, 2006, 9243
157, _Planner[_add_constraints_consuming_to], 11020, 979584
221, _EqualityConstraint[init-values], 1000, 428576
92, <, 262125, 1253860
156, each, 19032, 596554
220, _EditConstraint[execute], 140, 98
91, !=, 74265, 282800
219, _EditConstraint[is_input], 10, 10
90, =, 285400, 952973
218, _UnaryConstraint[recalculate], 1009, 7848
154, _Planner[_make_plan], 5, 1059977
217, _UnaryConstraint[get_output], 3047, 2385
153, _Planner[extract_plan_from_constraints], 5, 1060657
216, _UnaryConstraint[mark_unsatisfied], 8, 9
152, each, 5, 564
88, /, 11, 44
215, _UnaryConstraint[inputs_has_one], 5, 3
87, *, 25133, 64550
151, _Planner[incremental_remove], 5, 1135418
86, -, 17078, 85373
150, _Planner[incremental_add], 3009, 1845739
214, _UnaryConstraint[inputs_do], 1009, 723
213, _UnaryConstraint[choose_method], 1012, 12347
149, _Plan[execute], 140, 2684624
85, +, 27012, 202721
148, lambda, 120160, 1071605
212, _UnaryConstraint[remove_from_graph], 10, 221672
211, _UnaryConstraint[add_to_graph], 1006, 24340
210, _UnaryConstraint[is_satisfied], 1034, 852
209, _UnaryConstraint[init-values], 1006, 1164791
145, DeltaBlue[inner_benchmark_loop], 1, 7663007
144, IdentityDictionary[_new_entry], 16, 137
208, _BinaryConstraint[recalculate], 5000, 110035
207, _BinaryConstraint[get_output], 31018, 119938
143, _IdEntry[match], 3016, 21393
206, _BinaryConstraint[mark_unsatisfied], 3002, 2577
141, Dictionary[get_keys], 1, 775
205, _BinaryConstraint[inputs_has_one], 3002, 32086
204, _BinaryConstraint[inputs_do], 4000, 53819
203, _BinaryConstraint[choose_method], 5002, 179286
201, _BinaryConstraint[add_to_graph], 1000, 57537
200, _BinaryConstraint[is_satisfied], 22014, 114692
199, _BinaryConstraint[init-binary-constraint], 2000, 150024
134, Dictionary[at_put], 16, 1230
132, Dictionary[at], 3016, 192102
4, base[=], 89328, 59852
131, Dictionary[_get_bucket], 3016, 75454
130, Dictionary[_get_bucket_idx], 3032, 60154
66, list[length], 48324, 61530
65, list[put], 53265, 35233
64, list[set], 48041, 59921
