Function identifier, Function label, calls, execution time(μs)
63, list[get], 156, 164
191, _JsonObject[index_of], 2, 130
62, lambda-62, 3127, 35459
190, _JsonObject[as_object], 1, 1
189, _JsonObject[is_object], 2, 1
125, Json[verify_result], 1, 218
124, Json[benchmark], 1, 1444325
186, _JsonObject[get], 2, 181
185, _JsonObject[add], 598, 96682
56, int[&], 1200, 1786
55, int[>=], 3127, 6122
118, Vector[size], 599, 3530
182, _JsonNumber[init-values], 712, 3169
181, _JsonArray[as_array], 1, 1
52, int[<], 41584, 61673
180, _JsonArray[is_array], 1, 1
51, int[=], 2666, 1871
178, _JsonArray[size], 1, 8
177, _JsonArray[add], 2793, 195024
176, _HashIndexTable[_hash_slot_for], 600, 14538
48, int[*], 604, 525
175, _HashIndexTable[_string_hash], 600, 4695
47, int[-], 1201, 935
174, _HashIndexTable[get], 2, 71
173, _HashIndexTable[add], 598, 27411
108, Vector[append], 3989, 235737
172, _Parser[_is_end_of_text], 1, 4
171, _Parser[_is_digit], 2543, 49954
42, lambda-42, 5322, 9293
170, _Parser[_is_white_space], 8690, 130605
106, Vector[at], 4, 61
41, lambda-41, 47203, 124910
167, _Parser[_end_capture], 2661, 71437
103, empty_vec, 1027, 166228
165, _Parser[_start_capture], 2661, 2597
164, _Parser[_read], 25821, 484658
99, not, 37951, 25869
163, _Parser[_skip_white_space], 8690, 145003
162, _Parser[_read_digit], 2543, 92650
161, _Parser[_read_char], 10116, 164534
96, &, 1200, 6203
160, _Parser[_read_exponent], 712, 11899
159, _Parser[_read_fraction], 712, 6184
95, >=, 3127, 16894
158, _Parser[_read_number], 712, 152048
92, <, 41584, 207608
155, _Parser[_read_string_internal], 1949, 511303
91, !=, 26263, 97944
90, =, 120475, 297923
154, _Parser[_read_string], 1351, 329366
153, _Parser[_read_required_char], 1860, 50393
152, _Parser[_read_false], 3, 408
87, *, 604, 2725
151, _Parser[_read_true], 26, 3231
86, -, 1201, 4943
150, _Parser[_read_null], 590, 60693
149, _Parser[_read_name], 598, 194374
148, _Parser[_read_object], 157, 2608198
147, _Parser[_read_object_key_value_pair], 598, 2512882
82, str[substring], 2661, 7275
146, _Parser[_read_array], 553, 3704452
81, str[char-at], 25820, 23271
145, _Parser[_read_array_element], 2793, 3600076
144, _Parser[_read_value], 3392, 6918480
143, _Parser[parse], 1, 1444286
78, str[length], 29082, 20325
142, _Parser[init-values], 1, 1
136, _JsonLiteral[init-values], 3, 49
4, base[=], 144072, 93887
66, list[length], 3885, 2700
65, list[put], 13984, 9341
64, list[set], 4737, 6628
192, _JsonString[init-values], 1351, 1133
