Function identifier, Function label, calls, execution time(μs)
63, list[get], 42545, 55951
127, _TaskState[is_task_waiting], 6, 6
126, _TaskState[is_packet_pending], 6, 6
125, _Packet[init-values], 8, 11
124, _HandlerTaskDataRecord[work_in_add], 2327, 29115
123, _HandlerTaskDataRecord[device_in_add], 9300, 57156
58, int[^], 4992, 3841
122, _Scheduler[schedule], 1, 3747515
121, _Scheduler[mark_waiting], 23248, 66027
56, int[&], 9999, 7882
55, int[>=], 20310, 14232
119, _Scheduler[release], 9999, 158248
118, _Scheduler[queue_packet], 23246, 637459
54, int[>], 34066, 23471
117, _Scheduler[_hold_self], 9297, 70435
116, _Scheduler[find_task], 33245, 214819
52, int[<], 11682, 8272
51, int[=], 33955, 46262
115, _Scheduler[start], 1, 3748556
114, _Scheduler[create_worker], 1, 52
113, fn, 4654, 380889
49, int[/], 9999, 7944
112, _Scheduler[create_task], 6, 248
47, int[-], 9308, 6777
111, _Scheduler[create_packet], 8, 601
46, int[+], 9308, 17328
110, _Scheduler[create_idler], 1, 57
109, fn, 10000, 436787
108, _Scheduler[create_handler], 2, 95
107, fn, 23252, 929241
106, _Scheduler[create_device], 2, 88
42, lambda-42, 10000, 16131
41, lambda-41, 60497, 91691
105, fn, 27884, 540150
104, _RBObject[append], 20114, 113553
102, Richards[benchmark], 1, 3748702
99, not, 129857, 87343
98, ^, 4992, 20526
96, &, 9999, 54224
95, >=, 20310, 62276
94, >, 34066, 90485
92, <, 11682, 42994
91, !=, 129857, 470364
90, =, 269885, 590288
88, /, 9999, 29590
86, -, 9308, 26780
85, +, 9308, 31173
143, empty_vec, 9, 632
142, _TaskControlBlock[run_task], 65790, 2711548
141, _TaskControlBlock[add_input_and_check_priority], 23246, 215209
140, _TaskControlBlock[init-values], 6, 92
139, _TaskState_with_waiting_with_packet, 3, 35
138, _TaskState_with_waiting, 2, 20
137, _TaskState_with_running, 1, 13
136, _TaskState[is_waiting_with_packet], 65790, 99974
135, _TaskState[is_task_holding_or_waiting], 106604, 261126
6, bool[not], 124293, 80247
134, _TaskState[waiting_with_packet], 3, 7
133, _TaskState[waiting], 2, 3
4, base[=], 365787, 242245
132, _TaskState[running], 14761, 20124
131, _TaskState[packet_pending], 8490, 11779
130, _TaskState[set_task_waiting], 23248, 19189
65, list[put], 38, 37
129, _TaskState[set_task_holding], 19296, 16165
64, list[set], 9314, 19712
128, _TaskState[is_task_holding], 6, 6
