Function identifier, Function label, calls, execution time(μs)
47, int[-], 5460, 4331
46, int[+], 8192, 6557
92, <, 33341, 152576
90, =, 5462, 26542
41, lambda-41, 33341, 77503
89, %, 4096, 20496
105, Storage[verify_result], 1, 7
56, int[&], 4096, 3404
104, Storage[_build_tree_depth], 5461, 3959618
87, *, 4096, 13795
103, Storage[benchmark], 1, 588342
86, -, 5460, 14483
102, Random[next], 4096, 71044
85, +, 8192, 39763
52, int[<], 33341, 29835
51, int[=], 5462, 4149
50, int[%], 4096, 3738
65, list[put], 22420, 15412
48, int[*], 4096, 3238
96, &, 4096, 20401
64, list[set], 5460, 6138
