# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(μs),execution time(μs)_std
0,repl,105,Bounce.benchmark,1,335938.36,3143.4987056865607
0,repl,106,Bounce.verify_result,1,11.02,0.9997958975384394
42,lambda-42,47,int.+,6581,5312.34,67.22171964355546
86,+,47,int.+,10400,11652.76,145.15502761122775
87,-,48,int.-,913,732.94,18.561986610779986
88,*,49,int.*,400,371.16,17.20982159069853
90,%,51,int.%,400,426.22,13.781516755482041
91,=,52,int.=,1,2.0,0.2857142857142857
93,<,53,int.<,15303,19379.44,215.25411276262386
95,>,55,int.>,10000,7129.98,94.65479493444391
96,>=,56,int.>=,1426,1020.04,23.329896734290372
97,&,57,int.&,400,371.06,15.789960644119951
103,Ball.init-values,87,-,200,1261.16,47.46055720064729
103,Ball.init-values,90,%,400,2586.44,81.36241924442841
103,Ball.init-values,107,Random.next,400,8888.08,303.39116261193294
104,Ball.bounce,86,+,10000,44064.22,502.0544441571639
104,Ball.bounce,87,-,713,2164.22,28.321254728344215
104,Ball.bounce,93,<,10000,39329.6,443.9901175587084
104,Ball.bounce,95,>,10000,57915.9,610.6638492122283
104,Ball.bounce,108,custom_abs,1426,11379.76,147.6513488469597
105,Bounce.benchmark,42,lambda-42,6581,27167.34,260.4908717896174
105,Bounce.benchmark,64,list.get,5000,6278.28,82.85592117325952
105,Bounce.benchmark,65,list.set,100,138.78,6.825193426279028
105,Bounce.benchmark,66,list.put,100,101.56,24.40321156515833
105,Bounce.benchmark,67,list.length,5050,3843.7,63.21174329027739
105,Bounce.benchmark,93,<,5303,39695.24,397.25766891301515
105,Bounce.benchmark,103,Ball.init-values,100,14092.82,472.74213923034364
105,Bounce.benchmark,104,Ball.bounce,5000,202414.84,2207.4013011887464
106,Bounce.verify_result,91,=,1,7.92,0.565685424949238
107,Random.next,86,+,400,2450.48,81.08706331305065
107,Random.next,88,*,400,1829.06,71.64122915113691
107,Random.next,97,&,400,2496.62,77.14864793080332
108,custom_abs,44,int.neg,713,552.12,16.500636969770678
108,custom_abs,96,>=,1426,5877.24,77.82333735284482
