# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(μs),execution time(μs)_std
0,repl,146,DeltaBlue.inner_benchmark_loop,1,9036190.4,37531.533238391625
0,repl,170,_Sym.init-values,8,11.4,1.0690449676496974
0,repl,178,_Strength_of,2,173.34,7.896292077388514
0,repl,179,_create_strength_table,1,1042.22,32.73411127274309
0,repl,181,_create_strength_constants,1,2789.72,51.131299571968384
42,lambda-42,47,int.+,278737,222453.04,1305.884405297804
43,lambda-43,48,int.-,2003,1415.18,32.797890673838495
63,lambda-63,1,base.class,27065,17743.4,146.93577661338833
63,lambda-63,92,!=,27065,132023.4,971.3300790405821
86,+,47,int.+,27012,19212.48,199.34261758006917
87,-,48,int.-,17078,12565.58,296.5765957435909
88,*,49,int.*,25133,20510.84,189.9382670925541
89,/,50,int./,11,9.12,1.5069905136274964
91,=,5,base.=,16131,10812.3,107.23886174977699
91,=,52,int.=,242204,164970.5,1164.3025634188366
91,=,63,lambda-63,27065,231088.04,1450.101558160526
92,!=,5,base.=,73197,49258.1,391.2600914783836
92,!=,52,int.=,28133,21960.48,302.9021691596672
92,!=,100,not,101330,130950.78,898.2238775971838
93,<,53,int.<,262125,238124.62,2176.7328531258845
94,<=,54,int.<=,2006,1413.32,25.40001606941482
95,>,55,int.>,12027,8318.4,78.73126599323751
96,>=,56,int.>=,27045,47573.72,573.1725188165692
97,&,57,int.&,3032,5929.6,47.41695210511508
99,^,59,int.^,3032,5999.58,43.47182526460944
103,vector_with,106,Vector.init-values,6021,140019.62,850.269246432316
103,vector_with,109,Vector.append,6021,163313.94,935.5961410692539
104,empty_vec,42,lambda-42,53265,173832.64,1210.3058098965698
104,empty_vec,66,list.put,53265,35475.08,326.0758544528284
104,empty_vec,93,<,62439,314487.84,1596.6808092197514
106,Vector.init-values,91,=,9030,25165.36,483.0612738418535
106,Vector.init-values,104,empty_vec,9030,196557.56,1187.3958327674395
107,Vector.at,64,list.get,1998,2609.02,269.8498819260632
107,Vector.at,67,list.length,1998,1449.46,397.60693389018127
107,Vector.at,91,=,1998,21261.24,596.6189622551802
107,Vector.at,96,>=,1998,8874.32,470.03610108855514
109,Vector.append,42,lambda-42,43016,138533.16,1007.2593318667487
109,Vector.append,64,list.get,17960,21155.7,313.91336709483426
109,Vector.append,65,list.set,43016,77825.56,611.1235607719709
109,Vector.append,67,list.length,43251,29447.4,328.23548042867844
109,Vector.append,88,*,122,511.1,8.328093590801126
109,Vector.append,91,=,25056,274583.26,1682.7819751584962
109,Vector.append,93,<,18082,95776.88,581.7396023118574
109,Vector.append,96,>=,25047,119550.4,847.3790323637918
109,Vector.append,104,empty_vec,131,565767.38,2684.9404727943247
110,Vector.is_empty,91,=,34085,107078.08,783.0692058972118
111,Vector.for_each,42,lambda-42,155235,667750.58,3643.9053398959827
111,Vector.for_each,64,list.get,155235,187705.66,968.2215467925993
111,Vector.for_each,93,<,172430,966763.92,5691.085004116681
111,Vector.for_each,116,each,4013,53492.86,474.30021535490977
111,Vector.for_each,149,lambda,120160,1281195.1,7560.208479605753
111,Vector.for_each,151,_Planner.incremental_add,3,281601.68,3280.0127889248015
111,Vector.for_each,153,each,5,716.6,13.274188548934081
111,Vector.for_each,157,each,19032,760820.54,4893.28163418258
111,Vector.for_each,161,each,6007,478176.98,4089.836868609405
111,Vector.for_each,164,each,6007,56224.92,659.0142867981548
111,Vector.for_each,180,lambda,8,1413.74,38.416519618412
115,Vector.remove_first,42,lambda-42,14027,43416.82,343.542332596311
115,Vector.remove_first,64,list.get,14027,30074.3,332.3680803210909
115,Vector.remove_first,87,-,14027,90891.7,1012.6395948112988
115,Vector.remove_first,110,Vector.is_empty,14027,69471.48,604.0564320170964
116,each,42,lambda-42,4008,13305.24,130.7441121318387
116,each,65,list.set,4008,9070.86,84.56781121607418
116,each,91,=,4013,11629.16,115.32268127444208
117,Vector.remove,91,=,10,126.7,2.5654692851525662
117,Vector.remove,104,empty_vec,10,47075.02,483.71472829276917
117,Vector.remove,110,Vector.is_empty,10,62.48,2.8872697363793787
117,Vector.remove,111,Vector.for_each,10,155257.98,1999.8670618063477
117,Vector.remove,120,Vector.capacity,10,158.92,5.788235782117703
119,Vector.size,87,-,5,19.64,0.9847821679779482
120,Vector.capacity,67,list.length,10,9.08,1.1399964196148575
120,Vector.capacity,91,=,10,108.76,4.293136430182864
121,Vector.sort,43,lambda-43,3,9.88,0.43518703462079467
121,Vector.sort,95,>,5,24.66,2.882813251825022
121,Vector.sort,119,Vector.size,5,32.72,1.0505586463342989
121,Vector.sort,122,Vector._sort,3,71.96,2.258408325185087
122,Vector._sort,86,+,3,14.44,0.8369039151929606
122,Vector._sort,87,-,3,13.18,0.719693812446286
122,Vector._sort,91,=,3,11.54,0.7342912729083655
122,Vector._sort,94,<=,3,14.94,0.7930823361018293
127,_hash,60,int.>>,3032,39825.6,633.0393481660768
127,_hash,91,=,3032,8540.82,286.3948102653727
127,_hash,99,^,3032,12408.34,283.09100072923127
127,_hash,171,_Sym.custom_hash,3032,4018.24,281.7159924607818
131,Dictionary._get_bucket_idx,67,list.length,3032,2121.16,27.269898183505802
131,Dictionary._get_bucket_idx,87,-,3032,14599.48,96.24506136282828
131,Dictionary._get_bucket_idx,97,&,3032,18385.7,108.47876684929167
132,Dictionary._get_bucket,64,list.get,3016,6824.02,49.09195453432267
132,Dictionary._get_bucket,131,Dictionary._get_bucket_idx,3016,46955.0,280.71025078888556
133,Dictionary.at,91,=,6032,16711.68,122.43289540622251
133,Dictionary.at,92,!=,6032,30004.82,204.81287527289675
133,Dictionary.at,127,_hash,3016,79987.52,916.4299908685149
133,Dictionary.at,132,Dictionary._get_bucket,3016,63295.84,373.5506063576983
133,Dictionary.at,144,_IdEntry.match,3016,27309.34,347.27032404048487
135,Dictionary.at_put,42,lambda-42,16,59.7,3.8078865529319543
135,Dictionary.at_put,64,list.get,16,53.12,3.6957780656045998
135,Dictionary.at_put,65,list.set,16,22.9,1.5551100755055174
135,Dictionary.at_put,67,list.length,16,17.78,2.9017236257093817
135,Dictionary.at_put,91,=,16,45.44,3.726134945577396
135,Dictionary.at_put,95,>,16,122.36,4.475602798301395
135,Dictionary.at_put,127,_hash,16,320.86,9.907758246414165
135,Dictionary.at_put,131,Dictionary._get_bucket_idx,16,319.62,7.227752635727459
135,Dictionary.at_put,145,IdentityDictionary._new_entry,16,189.64,5.590662769661718
142,Dictionary.get_keys,42,lambda-42,16,63.02,4.1917801001678585
142,Dictionary.get_keys,64,list.get,16,15.48,0.9310954706743042
142,Dictionary.get_keys,67,list.length,17,16.6,3.37457480314792
142,Dictionary.get_keys,92,!=,24,141.18,7.218711513723718
142,Dictionary.get_keys,93,<,17,127.68,5.384937420287086
142,Dictionary.get_keys,106,Vector.init-values,1,142.2,6.127888739864918
142,Dictionary.get_keys,109,Vector.append,8,281.4,12.30397314293399
144,_IdEntry.match,91,=,6032,16776.92,302.6534921763349
145,IdentityDictionary._new_entry,125,Entry.init-values,16,27.46,2.0722658406405574
146,DeltaBlue.inner_benchmark_loop,168,_Planner_chain_test,1,4407536.92,21907.45528105506
146,DeltaBlue.inner_benchmark_loop,169,_Planner_projection_test,1,4628645.56,19826.674351571564
149,lambda,221,_EditConstraint.execute,140,182.2,9.42857142857143
149,lambda,223,_EqualityConstraint.execute,100000,561263.16,3788.9430293948835
149,lambda,227,_ScaleConstraint.execute,20020,438494.9,4086.6553524107794
150,_Plan.execute,111,Vector.for_each,140,3210334.62,16596.067312481224
151,_Planner.incremental_add,92,!=,6014,29364.42,188.6495606533284
151,_Planner.incremental_add,163,_Planner._new_mark,3009,19824.1,131.96741248953776
151,_Planner.incremental_add,189,_AbstractConstraint.satisfy,6014,2108940.74,11898.260634004197
152,_Planner.incremental_remove,111,Vector.for_each,5,281665.34,3280.166462985982
152,_Planner.incremental_remove,167,_Planner._remove_propagate_from,5,945163.68,6962.647245913041
152,_Planner.incremental_remove,213,_UnaryConstraint.remove_from_graph,5,76713.36,796.7924667703883
152,_Planner.incremental_remove,217,_UnaryConstraint.mark_unsatisfied,5,8.5,1.8762750766519565
152,_Planner.incremental_remove,218,_UnaryConstraint.get_output,5,7.32,0.9781281582070682
153,each,109,Vector.append,5,673.64,13.111390903659746
153,each,211,_UnaryConstraint.is_satisfied,5,7.2,0.9258200997725514
153,each,220,_EditConstraint.is_input,5,6.56,0.9293403409880336
154,_Planner.extract_plan_from_constraints,111,Vector.for_each,5,812.04,14.062484467111586
154,_Planner.extract_plan_from_constraints,155,_Planner._make_plan,5,1246109.2,8151.91962118143
155,_Planner._make_plan,92,!=,3007,15104.08,325.4042283633308
155,_Planner._make_plan,100,not,3012,3881.76,46.5295868129042
155,_Planner._make_plan,106,Vector.init-values,5,916.58,14.666482682828686
155,_Planner._make_plan,109,Vector.append,3007,309003.12,1880.1764749998476
155,_Planner._make_plan,110,Vector.is_empty,3012,16670.24,141.14742040049495
155,_Planner._make_plan,115,Vector.remove_first,3007,61093.78,749.7214799850817
155,_Planner._make_plan,158,_Planner._add_constraints_consuming_to,3007,557803.36,4215.75292987079
155,_Planner._make_plan,163,_Planner._new_mark,5,33.2,1.1605769149479943
155,_Planner._make_plan,187,_AbstractConstraint.inputs_known,3007,54987.06,476.3435739129504
155,_Planner._make_plan,208,_BinaryConstraint.get_output,9006,44733.9,384.09428317451807
155,_Planner._make_plan,218,_UnaryConstraint.get_output,15,20.18,1.5738941696133373
157,each,92,!=,19032,97710.06,851.0866142161825
157,each,109,Vector.append,5004,450259.92,3008.414741815939
157,each,201,_BinaryConstraint.is_satisfied,8006,106581.58,1103.2232384597216
157,each,211,_UnaryConstraint.is_satisfied,6,8.32,1.2687773320671154
158,_Planner._add_constraints_consuming_to,111,Vector.for_each,11020,1201302.28,6937.7984952589
159,_Planner.add_propagate,91,=,8013,23015.28,356.8959169144476
159,_Planner.add_propagate,100,not,14024,18114.92,127.54588450068178
159,_Planner.add_propagate,103,vector_with,6011,357334.76,1936.1855363111317
159,_Planner.add_propagate,110,Vector.is_empty,14024,81257.54,585.2279587250346
159,_Planner.add_propagate,115,Vector.remove_first,8013,160233.24,1000.3985850547739
159,_Planner.add_propagate,158,_Planner._add_constraints_consuming_to,8013,674950.82,4234.286686379308
159,_Planner.add_propagate,208,_BinaryConstraint.get_output,14008,70449.02,559.6622337788797
159,_Planner.add_propagate,209,_BinaryConstraint.recalculate,4000,73303.18,475.2496954877754
159,_Planner.add_propagate,218,_UnaryConstraint.get_output,2018,2619.86,30.32747121347374
159,_Planner.add_propagate,219,_UnaryConstraint.recalculate,1009,9634.3,284.81366984506235
159,_Planner.add_propagate,229,_ScaleConstraint.recalculate,3004,57194.88,575.8388252393744
160,_Planner.change,42,lambda-42,40,134.02,4.400788426578835
160,_Planner.change,93,<,44,190.66,5.3130951047234865
160,_Planner.change,103,vector_with,4,259.14,4.0507494897329
160,_Planner.change,150,_Plan.execute,40,892204.76,7515.057729380299
160,_Planner.change,154,_Planner.extract_plan_from_constraints,4,880632.7,6630.964633398962
160,_Planner.change,185,_AbstractConstraint.destroy_constraint,4,888152.5,7750.0125799766265
160,_Planner.change,210,_UnaryConstraint.init-values,4,528697.64,5094.995202417075
161,each,92,!=,6007,29849.26,381.88815597432455
161,each,165,recalc,3002,408708.56,3626.4323400188687
161,each,201,_BinaryConstraint.is_satisfied,3002,21147.58,429.57183666663155
161,each,211,_UnaryConstraint.is_satisfied,3,4.08,0.8290638930598232
162,_Planner._constraints_consuming,111,Vector.for_each,3007,616812.36,4789.624001091997
163,_Planner._new_mark,42,lambda-42,3014,10582.18,74.60964811495025
164,each,109,Vector.append,3,403.44,10.591024309214262
164,each,201,_BinaryConstraint.is_satisfied,6004,42497.46,611.1695783245337
164,each,211,_UnaryConstraint.is_satisfied,3,4.18,0.8253632471802452
165,recalc,109,Vector.append,3002,304026.64,2666.707269962993
165,recalc,208,_BinaryConstraint.get_output,3002,15240.96,567.2681387355452
165,recalc,209,_BinaryConstraint.recalculate,1000,19345.84,552.5453665001775
165,recalc,229,_ScaleConstraint.recalculate,2002,58510.26,808.3714747716486
167,_Planner._remove_propagate_from,100,not,3012,3961.4,415.6730956520756
167,_Planner._remove_propagate_from,103,vector_with,5,329.84,6.3160307866538385
167,_Planner._remove_propagate_from,110,Vector.is_empty,3012,16688.44,163.9451326835055
