# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(μs),execution time(μs)_std
0,repl,103,Permute.benchmark,1,374475.0,4384.808412727573
0,repl,106,Permute.verify_result,1,11.3,1.7641555764612096
42,lambda-42,47,int.+,8660,7084.76,98.15804831484586
43,lambda-43,48,int.-,5039,4012.84,52.21085976644152
87,-,48,int.-,3620,2925.56,42.05203773363457
91,=,52,int.=,1,1.92,0.27404751561786966
92,!=,52,int.=,8660,6231.52,95.9838932066315
92,!=,100,not,8660,11448.34,135.11621754955237
96,>=,56,int.>=,8659,6240.16,89.49138825288506
103,Permute.benchmark,104,Permute._permute,1,374462.4,4383.819762979057
104,Permute._permute,42,lambda-42,8660,35951.46,436.33834512746165
104,Permute._permute,43,lambda-43,5039,19615.54,232.58030958824367
104,Permute._permute,87,-,3620,12350.0,151.38530379162162
104,Permute._permute,92,!=,8660,57422.86,693.9606825891441
104,Permute._permute,96,>=,8659,44385.36,497.76286297302426
104,Permute._permute,104,Permute._permute,8659,1786749.76,20886.117960296695
104,Permute._permute,105,Permute._swap,10078,98220.16,1166.5056725458448
105,Permute._swap,64,list.get,20156,22191.42,268.6989887041114
105,Permute._swap,65,list.set,20156,21846.84,255.37122718401503
106,Permute.verify_result,91,=,1,8.24,1.5851350293348794
