# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(μs),execution time(μs)_std
0,repl,103,Richards.benchmark,1,4308394.72,23629.884961796888
42,lambda-42,47,int.+,60497,43275.72,465.8427973434119
43,lambda-43,48,int.-,10000,7298.9,62.45104204944232
86,+,47,int.+,9308,16858.68,67.36026806868978
87,-,48,int.-,9308,6609.58,65.4981196178134
89,/,50,int./,9999,8033.36,65.87209622612967
91,=,5,base.=,235930,168182.8,1696.01210527062
91,=,52,int.=,33955,45503.28,442.7987076654641
92,!=,5,base.=,129857,86237.88,791.6134038939001
92,!=,100,not,129857,167789.08,1230.8724770234587
93,<,53,int.<,11682,8091.98,98.99814263357653
95,>,55,int.>,34066,23583.48,329.59890528845364
96,>=,56,int.>=,20310,14321.52,119.26257089433612
97,&,57,int.&,9999,7882.84,68.70058075386532
99,^,59,int.^,4992,3839.12,264.4743450387456
103,Richards.benchmark,116,_Scheduler.start,1,4308218.48,23633.28199049904
103,Richards.benchmark,144,empty_vec,1,146.32,17.3186698834123
105,_RBObject.append,91,=,30581,82473.64,634.0975834255513
106,fn,91,=,46472,125688.06,846.9182407591721
106,fn,118,_Scheduler._hold_self,9296,92867.56,462.993152856321
106,fn,119,_Scheduler.queue_packet,9294,281329.04,2173.9266829534845
106,fn,122,_Scheduler.mark_waiting,9294,33069.22,487.7607848785162
107,_Scheduler.create_device,113,_Scheduler.create_task,2,99.08,11.356630716215514
108,fn,42,lambda-42,9300,30935.08,294.060998808764
108,fn,64,list.get,9300,9463.34,268.1128006596309
108,fn,91,=,52864,154135.42,1269.5462163742638
108,fn,92,!=,23252,113115.52,714.8526390174432
108,fn,96,>=,20310,73609.4,362.87660240283856
108,fn,119,_Scheduler.queue_packet,11625,411127.82,2561.279676096234
108,fn,122,_Scheduler.mark_waiting,11627,41352.92,256.266191325206
108,fn,124,_HandlerTaskDataRecord.device_in_add,9300,72366.38,479.7341904319392
108,fn,125,_HandlerTaskDataRecord.work_in_add,2327,20429.16,123.02851171121898
