caller identifier id,caller label,callee identifier id,callee label,calls,execution time(μs),execution time(μs)_std
0,main,146,DeltaBlue.inner_benchmark_loop,1,2321910.6,446044.56988657534
0,main,170,_Sym.init-values,8,22.8,2.6832815729997477
0,main,178,_Strength_of,2,423.6,200.6820868936737
0,main,179,_create_strength_table,1,5612.6,360.5014563077381
0,main,181,_create_strength_constants,1,8750.6,772.3553586271024
42,lambda-42,47,int.+,278737,26182.2,8620.55530113925
43,lambda-43,48,int.-,2003,166.8,48.98162920932704
63,lambda-63,1,base.class,27065,2285.8,684.964743618239
63,lambda-63,92,!=,27065,29992.6,8082.612591235585
86,+,47,int.+,27012,3716.0,4388.5727748323825
87,-,48,int.-,17078,3530.4,1695.591578181491
88,*,49,int.*,25133,5737.0,1182.7459575073592
89,/,50,int./,11,893.2,35.82875939800315
91,=,5,base.=,16131,1284.6,356.9485957389383
91,=,52,int.=,242204,17160.8,6627.706971494742
91,=,63,lambda-63,27065,58410.8,16854.034137262213
92,!=,5,base.=,73197,6242.8,3076.6833928761666
92,!=,52,int.=,28133,3223.0,645.3231748511748
92,!=,100,not,101330,21742.2,6908.128017053535
93,<,53,int.<,262125,32720.8,6279.365549161795
94,<=,54,int.<=,2006,685.8,235.94745177687344
95,>,55,int.>,12027,1809.4,292.91688240864505
96,>=,56,int.>=,27045,15495.2,709.3875527523724
97,&,57,int.&,3032,2428.8,228.2513964907991
99,^,59,int.^,3032,2726.2,264.37038412046087
103,vector_with,106,Vector.init-values,6021,56385.8,18042.908169139475
103,vector_with,109,Vector.append,6021,63753.6,21876.52076542337
104,empty_vec,42,lambda-42,53265,46628.4,7864.550832692227
104,empty_vec,66,list.put,53265,4717.6,1687.7983588094876
104,empty_vec,93,<,62439,86498.8,10433.66722202697
106,Vector.init-values,91,=,9030,6292.2,2651.644716020606
106,Vector.init-values,104,empty_vec,9030,80258.4,26342.401756483785
107,Vector.at,64,list.get,1998,466.8,196.83419418383585
107,Vector.at,67,list.length,1998,104.4,53.10649677770132
107,Vector.at,91,=,1998,2185.2,727.3563088335729
107,Vector.at,96,>=,1998,1883.8,256.1595206116689
109,Vector.append,42,lambda-42,43016,34753.0,7314.6764453391925
109,Vector.append,64,list.get,17960,5551.0,3105.705797399361
109,Vector.append,65,list.set,43016,15510.6,8614.629347801332
109,Vector.append,67,list.length,43251,3579.4,1122.8716756602244
109,Vector.append,88,*,122,340.4,28.227646023003764
109,Vector.append,91,=,25056,74235.8,21323.031437860798
109,Vector.append,93,<,18082,31652.2,1282.843599196722
109,Vector.append,96,>=,25047,38323.6,5796.523380441073
109,Vector.append,104,empty_vec,131,120578.8,10213.887198319746
110,Vector.is_empty,91,=,34085,28375.8,6394.210834809875
111,Vector.for_each,42,lambda-42,155235,103782.4,16686.516212199596
111,Vector.for_each,64,list.get,155235,69680.8,33678.140695412505
111,Vector.for_each,93,<,172430,188192.0,19860.60272247547
111,Vector.for_each,116,each,4013,13960.0,6904.509323623222
111,Vector.for_each,149,lambda,120160,230670.8,85128.11980009895
111,Vector.for_each,151,_Planner.incremental_add,3,187726.8,120095.12881961533
111,Vector.for_each,153,each,5,189.4,44.808481340032046
111,Vector.for_each,157,each,19032,161187.4,13135.7659007764
111,Vector.for_each,161,each,6007,138116.8,39802.60246139691
111,Vector.for_each,164,each,6007,17153.2,5889.548938586044
111,Vector.for_each,180,lambda,8,4791.4,773.7908632182213
115,Vector.remove_first,42,lambda-42,14027,9926.8,1975.7892600173736
115,Vector.remove_first,64,list.get,14027,12220.6,2421.9005553490424
115,Vector.remove_first,87,-,14027,20583.8,2211.9411610619304
115,Vector.remove_first,110,Vector.is_empty,14027,17082.6,4759.644398481887
116,each,42,lambda-42,4008,2436.0,1371.9954445988515
116,each,65,list.set,4008,4322.4,2917.8673376286315
116,each,91,=,4013,1781.6,1245.06216712259
117,Vector.remove,91,=,10,36.8,10.47377677822093
117,Vector.remove,104,empty_vec,10,10319.6,2830.879951534505
117,Vector.remove,110,Vector.is_empty,10,23.0,5.1478150704935
117,Vector.remove,111,Vector.for_each,10,26421.8,10429.883949498191
117,Vector.remove,120,Vector.capacity,10,57.0,11.291589790636214
119,Vector.size,87,-,5,6.8,0.8366600265340756
120,Vector.capacity,67,list.length,10,6.6,4.219004621945797
120,Vector.capacity,91,=,10,33.4,7.569676347110224
121,Vector.sort,43,lambda-43,3,4.0,2.23606797749979
121,Vector.sort,95,>,5,70.0,46.61544808322666
121,Vector.sort,119,Vector.size,5,11.8,2.2803508501982757
121,Vector.sort,122,Vector._sort,3,50.8,36.02360337334398
122,Vector._sort,86,+,3,5.8,1.0954451150103324
122,Vector._sort,87,-,3,3.6,0.5477225575051661
122,Vector._sort,91,=,3,4.6,2.0736441353327724
122,Vector._sort,94,<=,3,10.4,6.308724118235001
127,_hash,60,int.>>,3032,1476.2,230.81854344917784
127,_hash,91,=,3032,2184.6,1016.7643778181846
127,_hash,99,^,3032,4337.0,1186.7775697239983
127,_hash,171,_Sym.custom_hash,3032,639.0,416.40845332437715
131,Dictionary._get_bucket_idx,67,list.length,3032,486.0,140.64138793399331
131,Dictionary._get_bucket_idx,87,-,3032,5110.0,1373.304044995135
131,Dictionary._get_bucket_idx,97,&,3032,6548.6,1368.6293508470435
132,Dictionary._get_bucket,64,list.get,3016,2498.0,404.30990588903455
132,Dictionary._get_bucket,131,Dictionary._get_bucket_idx,3016,15675.8,5200.83403888261
133,Dictionary.at,91,=,6032,3514.2,1985.9032453772768
133,Dictionary.at,92,!=,6032,6813.0,4136.514474772209
133,Dictionary.at,127,_hash,3016,14070.8,6218.990649615097
133,Dictionary.at,132,Dictionary._get_bucket,3016,22868.4,6434.696791613416
133,Dictionary.at,144,_IdEntry.match,3016,7960.6,4554.719124161225
135,Dictionary.at_put,42,lambda-42,16,234.0,109.25429053359872
135,Dictionary.at_put,64,list.get,16,278.8,36.61557045848118
135,Dictionary.at_put,65,list.set,16,204.0,53.637673327615545
135,Dictionary.at_put,67,list.length,16,32.6,4.6690470119715
135,Dictionary.at_put,91,=,16,121.8,24.29403218899654
135,Dictionary.at_put,95,>,16,347.8,61.23071124852299
135,Dictionary.at_put,127,_hash,16,1155.2,150.8996355197719
135,Dictionary.at_put,131,Dictionary._get_bucket_idx,16,936.2,124.21634353014903
135,Dictionary.at_put,145,IdentityDictionary._new_entry,16,972.8,263.3869776583497
142,Dictionary.get_keys,42,lambda-42,16,163.6,7.30068489937759
142,Dictionary.get_keys,64,list.get,16,145.4,14.741099009232654
142,Dictionary.get_keys,67,list.length,17,28.2,1.9235384061671348
142,Dictionary.get_keys,92,!=,24,284.0,16.537835408541227
142,Dictionary.get_keys,93,<,17,307.4,6.91375440697744
142,Dictionary.get_keys,106,Vector.init-values,1,372.6,18.392933425639313
142,Dictionary.get_keys,109,Vector.append,8,787.4,38.84971042363122
144,_IdEntry.match,91,=,6032,3808.4,2003.5655217636381
145,IdentityDictionary._new_entry,125,Entry.init-values,16,169.0,72.38439058250059
146,DeltaBlue.inner_benchmark_loop,168,_Planner_chain_test,1,1364246.8,217303.83866765903
146,DeltaBlue.inner_benchmark_loop,169,_Planner_projection_test,1,957502.2,328053.520593363
149,lambda,221,_EditConstraint.execute,140,11.2,4.764451699828638
149,lambda,223,_EqualityConstraint.execute,100000,101985.2,26883.52679988249
149,lambda,227,_ScaleConstraint.execute,20020,87910.0,74029.77325711596
150,_Plan.execute,111,Vector.for_each,140,670779.6,199870.99657854313
151,_Planner.incremental_add,92,!=,6014,7959.0,3292.503758539996
151,_Planner.incremental_add,163,_Planner._new_mark,3009,6476.2,2954.5857069985295
151,_Planner.incremental_add,189,_AbstractConstraint.satisfy,6014,670490.4,201871.0880321895
152,_Planner.incremental_remove,111,Vector.for_each,5,187764.0,120103.09545136629
152,_Planner.incremental_remove,167,_Planner._remove_propagate_from,5,262569.8,73583.59470153657
152,_Planner.incremental_remove,213,_UnaryConstraint.remove_from_graph,5,21296.6,10330.499518416327
152,_Planner.incremental_remove,217,_UnaryConstraint.mark_unsatisfied,5,14.8,7.563068160475615
152,_Planner.incremental_remove,218,_UnaryConstraint.get_output,5,0.4,0.5477225575051662
153,each,109,Vector.append,5,175.6,43.339358555474725
153,each,211,_UnaryConstraint.is_satisfied,5,1.2,0.8366600265340756
153,each,220,_EditConstraint.is_input,5,0.4,0.8944271909999159
154,_Planner.extract_plan_from_constraints,111,Vector.for_each,5,216.0,53.83771911959124
154,_Planner.extract_plan_from_constraints,155,_Planner._make_plan,5,290671.6,61230.76378586176
155,_Planner._make_plan,92,!=,3007,3366.4,1450.877424181657
155,_Planner._make_plan,100,not,3012,542.6,291.3799924497219
155,_Planner._make_plan,106,Vector.init-values,5,417.4,228.98427893634968
155,_Planner._make_plan,109,Vector.append,3007,93613.2,13446.31955964159
155,_Planner._make_plan,110,Vector.is_empty,3012,4427.2,1538.1471646107207
155,_Planner._make_plan,115,Vector.remove_first,3007,20865.8,6996.803927508616
155,_Planner._make_plan,158,_Planner._add_constraints_consuming_to,3007,128684.6,27301.44327320444
155,_Planner._make_plan,163,_Planner._new_mark,5,9.6,1.816590212458495
155,_Planner._make_plan,187,_AbstractConstraint.inputs_known,3007,15651.4,6509.547703181842
155,_Planner._make_plan,208,_BinaryConstraint.get_output,9006,11330.2,5138.76655433967
155,_Planner._make_plan,218,_UnaryConstraint.get_output,15,3.6,4.33589667773576
157,each,92,!=,19032,24851.8,3875.309948894411
157,each,109,Vector.append,5004,102550.8,11336.816382918088
157,each,201,_BinaryConstraint.is_satisfied,8006,15182.4,4290.416564857077
157,each,211,_UnaryConstraint.is_satisfied,6,1.4,0.8944271909999159
158,_Planner._add_constraints_consuming_to,111,Vector.for_each,11020,275163.4,25871.324053863184
159,_Planner.add_propagate,91,=,8013,4953.4,1646.0875736120481
159,_Planner.add_propagate,100,not,14024,3179.0,1359.262483849238
159,_Planner.add_propagate,103,vector_with,6011,148938.6,45605.31871174677
159,_Planner.add_propagate,110,Vector.is_empty,14024,26809.0,8845.369833986593
159,_Planner.add_propagate,115,Vector.remove_first,8013,53946.8,14009.167559137837
159,_Planner.add_propagate,158,_Planner._add_constraints_consuming_to,8013,163632.4,35350.014155584155
159,_Planner.add_propagate,208,_BinaryConstraint.get_output,14008,18224.0,5685.239528814947
159,_Planner.add_propagate,209,_BinaryConstraint.recalculate,4000,34762.4,10328.125255824505
159,_Planner.add_propagate,218,_UnaryConstraint.get_output,2018,425.8,374.0637646177454
159,_Planner.add_propagate,219,_UnaryConstraint.recalculate,1009,3807.8,2678.805274744695
