# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(μs),execution time(μs)_std
0,repl,125,Json.benchmark,1,1741965.0,9063.526578590481
0,repl,126,Json.verify_result,1,270.62,7.695453203028384
0,repl,137,_JsonLiteral.init-values,3,53.16,2.6753599795930576
42,lambda-42,47,int.+,47203,33962.48,230.97020215974632
43,lambda-43,48,int.-,5322,3927.36,42.59719258738226
63,lambda-63,1,base.class,3127,2045.8,28.81042895075546
63,lambda-63,92,!=,3127,34168.72,321.95252787341394
87,-,48,int.-,1201,902.26,18.770156512672035
88,*,49,int.*,604,511.4,11.710800875382395
91,=,5,base.=,114684,74820.86,440.1471929122937
91,=,52,int.=,2664,1877.64,24.329171203075802
91,=,63,lambda-63,3127,45854.76,370.77071191819687
92,!=,5,base.=,29388,19318.54,123.21065584715348
92,!=,52,int.=,2,2.42,0.7309485031694876
92,!=,100,not,29390,37740.02,228.2587584657517
93,<,53,int.<,41584,59694.1,324.1877920122786
96,>=,56,int.>=,3127,5995.58,51.164835660473464
97,&,57,int.&,1200,1744.88,24.241674354511975
104,empty_vec,42,lambda-42,13984,48384.84,267.06212378243345
104,empty_vec,66,list.put,13984,9303.68,84.72390694581595
104,empty_vec,93,<,15011,69426.62,368.8601798038104
107,Vector.at,64,list.get,4,4.1,1.5016997172591882
107,Vector.at,67,list.length,4,2.5,1.0926470386270253
107,Vector.at,91,=,4,43.12,2.9667545656931624
107,Vector.at,96,>=,4,16.52,1.110984119727062
109,Vector.append,42,lambda-42,4139,13930.02,76.19215504102688
109,Vector.append,64,list.get,150,167.8,3.123315872725063
109,Vector.append,65,list.set,4139,4511.96,30.031249031089885
109,Vector.append,67,list.length,3281,2352.04,26.07051661810126
109,Vector.append,88,*,4,22.34,1.0421719862765413
109,Vector.append,91,=,3989,56251.54,420.2295878809716
109,Vector.append,93,<,154,958.38,13.82970774552125
109,Vector.append,96,>=,3123,18203.56,112.1065746583703
109,Vector.append,104,empty_vec,870,116039.8,581.886797322263
119,Vector.size,87,-,599,2600.58,20.072409737075926
125,Json.benchmark,143,_Parser.init-values,1,1.64,0.4848732213850611
125,Json.benchmark,144,_Parser.parse,1,1741932.52,9063.29076885523
126,Json.verify_result,91,=,1,5.36,0.48487322138506117
126,Json.verify_result,100,not,3,3.78,0.9100347604933137
126,Json.verify_result,179,_JsonArray.size,1,9.72,0.5360475154083919
126,Json.verify_result,181,_JsonArray.is_array,1,1.54,0.5034574339058886
126,Json.verify_result,182,_JsonArray.as_array,1,1.32,0.47121207149916117
126,Json.verify_result,187,_JsonObject.get,2,225.92,6.853689606663684
126,Json.verify_result,190,_JsonObject.is_object,2,2.72,0.8091315576289313
126,Json.verify_result,191,_JsonObject.as_object,1,1.46,0.5034574339058885
137,_JsonLiteral.init-values,91,=,9,32.88,1.5602197647401208
144,_Parser.parse,145,_Parser._read_value,1,1741815.46,9064.19912873202
144,_Parser.parse,164,_Parser._skip_white_space,2,45.8,1.1605769149479945
144,_Parser.parse,165,_Parser._read,1,50.5,2.1019912813660233
144,_Parser.parse,173,_Parser._is_end_of_text,1,5.38,0.4903143514780146
145,_Parser._read_value,91,=,17267,46786.64,266.23564520084454
145,_Parser._read_value,147,_Parser._read_array,553,4536241.2,23913.573009519794
145,_Parser._read_value,149,_Parser._read_object,157,3146073.96,16428.21815267359
145,_Parser._read_value,151,_Parser._read_null,590,74962.4,459.10422986240667
145,_Parser._read_value,152,_Parser._read_true,26,3880.96,42.796127995749416
145,_Parser._read_value,153,_Parser._read_false,3,499.14,9.035101616721855
145,_Parser._read_value,155,_Parser._read_string,1351,413445.24,2076.5868145510613
145,_Parser._read_value,159,_Parser._read_number,712,215048.36,1165.219656265264
146,_Parser._read_array_element,145,_Parser._read_value,2793,4098500.46,21470.08314880818
146,_Parser._read_array_element,164,_Parser._skip_white_space,5586,103936.76,590.3747879136444
146,_Parser._read_array_element,178,_JsonArray.add,2793,190444.5,1078.136056879121
147,_Parser._read_array,100,not,552,710.1,12.900324311696155
147,_Parser._read_array,146,_Parser._read_array_element,2793,4408153.54,23198.13915937115
147,_Parser._read_array,162,_Parser._read_char,3898,91023.16,522.0492337404406
147,_Parser._read_array,164,_Parser._skip_white_space,553,10340.88,65.13240517654509
147,_Parser._read_array,165,_Parser._read,553,11792.22,66.09433270959425
148,_Parser._read_object_key_value_pair,100,not,598,773.98,13.342413574762265
148,_Parser._read_object_key_value_pair,145,_Parser._read_value,598,2637745.0,13892.71655455865
148,_Parser._read_object_key_value_pair,150,_Parser._read_name,598,208356.52,1095.631944009796
148,_Parser._read_object_key_value_pair,162,_Parser._read_char,598,18019.68,93.4463591629783
148,_Parser._read_object_key_value_pair,164,_Parser._skip_white_space,2392,45011.12,247.05569396062816
148,_Parser._read_object_key_value_pair,186,_JsonObject.add,598,117400.58,594.4242657858966
149,_Parser._read_object,100,not,157,201.18,6.333229501476109
149,_Parser._read_object,104,empty_vec,157,63873.88,331.6514423060357
149,_Parser._read_object,148,_Parser._read_object_key_value_pair,598,3034090.64,15903.902032764052
149,_Parser._read_object,162,_Parser._read_char,912,35886.2,255.01260473048788
149,_Parser._read_object,164,_Parser._skip_white_space,157,3008.42,19.461201590522112
149,_Parser._read_object,165,_Parser._read,157,3404.88,22.039519236209905
150,_Parser._read_name,92,!=,598,3014.4,22.151611172802376
150,_Parser._read_name,156,_Parser._read_string_internal,598,203226.54,1067.5362864358024
151,_Parser._read_null,154,_Parser._read_required_char,1770,59381.84,361.74674645589914
151,_Parser._read_null,165,_Parser._read,590,12304.82,80.61870193721093
152,_Parser._read_true,154,_Parser._read_required_char,78,3047.14,31.966187493305313
152,_Parser._read_true,165,_Parser._read,26,651.14,10.590735265758827
153,_Parser._read_false,154,_Parser._read_required_char,12,414.38,7.450215720750261
153,_Parser._read_false,165,_Parser._read,3,64.56,1.3272651027813633
154,_Parser._read_required_char,100,not,1860,2383.5,25.72717930714592
154,_Parser._read_required_char,162,_Parser._read_char,1860,54521.2,321.3697723997147
155,_Parser._read_string,156,_Parser._read_string_internal,1351,402560.46,2020.6443729763025
155,_Parser._read_string,193,_JsonString.init-values,1351,1955.14,20.787564964248638
156,_Parser._read_string_internal,91,=,12886,34879.8,207.56085903676905
156,_Parser._read_string_internal,92,!=,14835,91710.46,480.2956236761359
156,_Parser._read_string_internal,165,_Parser._read,16784,357604.32,1818.8752012029317
