# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(μs),execution time(μs)_std
0,repl,103,Sieve.benchmark,1,514329.28,4632.992500731752
0,repl,105,Sieve.verify_result,1,8.82,0.5225526045191966
42,lambda-42,47,int.+,15668,12296.02,136.99895575350587
43,lambda-43,48,int.-,16068,12555.12,139.4162231065888
86,+,47,int.+,11738,9004.04,118.09006593896588
91,=,5,base.=,4999,3320.98,49.317997708333515
91,=,52,int.=,1,2.44,0.501426536422407
93,<,53,int.<,10001,25102.76,247.46746312621048
94,<=,54,int.<=,11738,8129.42,124.1689254234582
103,Sieve.benchmark,104,Sieve._sieve,1,514321.26,4632.922116675799
104,Sieve._sieve,42,lambda-42,15668,58082.22,649.1749643090944
104,Sieve._sieve,43,lambda-43,16068,64272.7,613.88778639562
104,Sieve._sieve,64,list.get,4999,15733.46,212.00204176914337
104,Sieve._sieve,65,list.set,11069,36847.96,390.76841933685006
104,Sieve._sieve,66,list.put,5000,3777.76,74.84529895397706
104,Sieve._sieve,86,+,11738,47336.1,423.15921884061123
104,Sieve._sieve,91,=,4999,14345.24,191.36956020075013
104,Sieve._sieve,93,<,10001,76254.0,799.4297202074865
104,Sieve._sieve,94,<=,11738,66426.02,650.1793940827384
105,Sieve.verify_result,91,=,1,6.1,0.3030457633656633
