caller identifier id,caller label,callee identifier id,callee label,calls,execution time(μs),execution time(μs)_std
0,main,103,Queens.benchmark,1,108785.8,5271.8928005034395
42,lambda-42,47,int.+,9810,1821.2,49.19044622688432
86,+,47,int.+,10120,2224.2,301.7146002433426
87,-,48,int.-,4580,1589.6,692.9497095749446
91,=,52,int.=,1130,524.0,33.21897048374618
93,<,53,int.<,9821,1858.2,46.18116499180157
103,Queens.benchmark,42,lambda-42,10,13.0,2.0
103,Queens.benchmark,93,<,11,670.4,90.96592768723902
103,Queens.benchmark,105,Queens.queens,10,107864.4,5288.878028466907
105,Queens.queens,106,Queens.place_queen,10,107351.2,5302.102384903558
106,Queens.place_queen,42,lambda-42,9800,9715.6,571.4527977007373
106,Queens.place_queen,65,list.set,1130,758.0,26.04803255526222
106,Queens.place_queen,91,=,1130,1494.2,51.93457422565431
106,Queens.place_queen,93,<,9810,16997.4,1572.871990977015
106,Queens.place_queen,106,Queens.place_queen,1120,480520.8,24225.990025177514
106,Queens.place_queen,107,Queens.get_row_column,8760,33738.2,731.4070002399482
106,Queens.place_queen,108,Queens.set_row_column,2180,20255.8,1291.9799534048507
107,Queens.get_row_column,64,list.get,14520,12452.8,889.4027209312999
107,Queens.get_row_column,86,+,5760,8196.0,580.7163679456609
107,Queens.get_row_column,87,-,2400,2619.4,687.8483117664824
108,Queens.set_row_column,65,list.set,6540,7005.0,616.6899545152329
108,Queens.set_row_column,86,+,4360,5610.2,523.9224179208215
108,Queens.set_row_column,87,-,2180,1487.8,56.11327828598145
