caller identifier id,caller label,callee identifier id,callee label,calls,execution time(μs),execution time(μs)_std
0,main,103,Richards.benchmark,1,903752.8,37739.21093107273
42,lambda-42,47,int.+,60497,7666.2,842.7064732159116
43,lambda-43,48,int.-,10000,1987.2,71.14562530472271
86,+,47,int.+,9308,6089.4,634.7174962138668
87,-,48,int.-,9308,1481.8,89.22555687693966
89,/,50,int./,9999,3687.0,80.91353409658986
91,=,5,base.=,235930,14515.0,1677.9417451151276
91,=,52,int.=,33955,14576.2,1759.7483342796495
92,!=,5,base.=,129857,8096.4,831.3445735674227
92,!=,100,not,129857,8828.4,218.00642192375892
93,<,53,int.<,11682,1731.6,155.36827217936096
95,>,55,int.>,34066,3375.4,288.06474966576525
96,>=,56,int.>=,20310,2340.8,182.5751899903161
97,&,57,int.&,9999,2572.8,88.39513561276998
99,^,59,int.^,4992,1241.0,119.98541578041892
103,Richards.benchmark,116,_Scheduler.start,1,901596.4,37525.946107993084
103,Richards.benchmark,144,empty_vec,1,1998.4,334.1979952064345
105,_RBObject.append,91,=,30581,8010.8,357.234796737384
106,fn,91,=,46472,11215.0,416.26554025045095
106,fn,118,_Scheduler._hold_self,9296,22395.4,1557.1848958938695
106,fn,119,_Scheduler.queue_packet,9294,52134.6,2859.8726894741308
106,fn,122,_Scheduler.mark_waiting,9294,4041.6,483.36611383091395
107,_Scheduler.create_device,113,_Scheduler.create_task,2,293.6,24.53161225847173
108,fn,42,lambda-42,9300,5486.4,235.5680368810675
108,fn,64,list.get,9300,3819.4,454.35041542844436
108,fn,91,=,52864,13940.8,550.4777016374053
108,fn,92,!=,23252,11824.0,351.62124509193103
108,fn,96,>=,20310,15856.8,1366.9627646721033
108,fn,119,_Scheduler.queue_packet,11625,73225.2,4353.915559585417
108,fn,122,_Scheduler.mark_waiting,11627,4922.8,318.9807204205295
108,fn,124,_HandlerTaskDataRecord.device_in_add,9300,11015.6,695.9262173535353
108,fn,125,_HandlerTaskDataRecord.work_in_add,2327,3222.6,204.28852145923423
109,_Scheduler.create_handler,113,_Scheduler.create_task,2,340.0,48.74423042781576
110,fn,43,lambda-43,10000,8174.6,1176.247975556175
110,fn,89,/,9999,9293.6,396.3278945519733
110,fn,91,=,19999,16810.6,1782.7908738828569
110,fn,97,&,9999,13839.6,898.2339895595132
110,fn,99,^,4992,6884.8,971.8887281988614
110,fn,118,_Scheduler._hold_self,1,3.2,0.4472135954999579
110,fn,120,_Scheduler.release,9999,28643.4,1755.7950620730205
111,_Scheduler.create_idler,113,_Scheduler.create_task,1,358.2,46.483330345404475
112,_Scheduler.create_packet,126,_Packet.init-values,8,43.8,0.44721359549995865
112,_Scheduler.create_packet,144,empty_vec,8,1765.2,89.48295927158424
113,_Scheduler.create_task,65,list.set,6,237.6,23.891421054428726
113,_Scheduler.create_task,141,_TaskControlBlock.init-values,6,289.0,22.85825890132492
114,fn,42,lambda-42,18616,11054.4,711.0315042246722
114,fn,65,list.set,9308,8915.4,765.6365325662041
114,fn,86,+,9308,7656.6,673.1428525951977
114,fn,87,-,9308,6780.2,470.48400610435203
114,fn,91,=,6981,1970.4,65.27097364066205
114,fn,93,<,11635,11916.2,923.7151617246519
114,fn,95,>,9308,11448.2,955.1247038999672
114,fn,119,_Scheduler.queue_packet,2327,13069.8,752.7759958978501
114,fn,122,_Scheduler.mark_waiting,2327,997.0,65.65439817712138
115,_Scheduler.create_worker,113,_Scheduler.create_task,1,203.2,7.949842765740716
116,_Scheduler.start,91,=,2,32.2,2.588435821108957
116,_Scheduler.start,107,_Scheduler.create_device,2,345.6,25.7546112376017
116,_Scheduler.start,109,_Scheduler.create_handler,2,403.0,47.355041970206294
116,_Scheduler.start,111,_Scheduler.create_idler,1,433.8,42.44643683514554
116,_Scheduler.start,112,_Scheduler.create_packet,8,2240.0,91.95923009682065
116,_Scheduler.start,115,_Scheduler.create_worker,1,248.6,10.039920318408909
116,_Scheduler.start,123,_Scheduler.schedule,1,897296.6,37400.49959960429
116,_Scheduler.start,138,_TaskState_with_running,1,77.0,5.385164807134504
116,_Scheduler.start,139,_TaskState_with_waiting,2,86.6,2.073644135332772
116,_Scheduler.start,140,_TaskState_with_waiting_with_packet,3,142.2,4.764451699828639
117,_Scheduler.find_task,64,list.get,33245,13443.6,1492.7020131292113
117,_Scheduler.find_task,91,=,33245,8753.6,302.5794110642693
118,_Scheduler._hold_self,42,lambda-42,9297,6441.8,667.1227023569203
118,_Scheduler._hold_self,130,_TaskState.set_task_holding,9297,917.6,39.01025506197056
119,_Scheduler.queue_packet,42,lambda-42,23246,15924.8,1004.515654432523
119,_Scheduler.queue_packet,91,=,23246,5657.2,520.2198573680171
119,_Scheduler.queue_packet,117,_Scheduler.find_task,23246,26134.2,1821.8986525051275
119,_Scheduler.queue_packet,142,_TaskControlBlock.add_input_and_check_priority,23246,38669.4,2023.0706364336377
120,_Scheduler.release,91,=,9999,2455.6,208.73619714845816
120,_Scheduler.release,95,>,9999,2793.2,203.7147515522624
120,_Scheduler.release,117,_Scheduler.find_task,9999,11882.6,750.4004264391112
120,_Scheduler.release,130,_TaskState.set_task_holding,9999,993.8,47.23028689305201
122,_Scheduler.mark_waiting,131,_TaskState.set_task_waiting,23248,2294.8,77.6768948915957
123,_Scheduler.schedule,92,!=,106605,51973.6,1647.940320521347
123,_Scheduler.schedule,136,_TaskState.is_task_holding_or_waiting,106604,30739.0,1168.2150914964247
123,_Scheduler.schedule,143,_TaskControlBlock.run_task,65790,585228.0,33934.628000023804
124,_HandlerTaskDataRecord.device_in_add,105,_RBObject.append,9300,7415.2,504.9794055206608
125,_HandlerTaskDataRecord.work_in_add,105,_RBObject.append,2327,2273.8,169.6074880422442
136,_TaskState.is_task_holding_or_waiting,7,bool.not,101043,6028.8,638.1137829572403
137,_TaskState.is_waiting_with_packet,7,bool.not,23250,1267.4,110.30548490442351
138,_TaskState_with_running,133,_TaskState.running,1,13.0,1.7320508075688772
139,_TaskState_with_waiting,134,_TaskState.waiting,2,16.0,0.7071067811865476
140,_TaskState_with_waiting_with_packet,135,_TaskState.waiting_with_packet,3,22.4,2.073644135332772
141,_TaskControlBlock.init-values,127,_TaskState.is_packet_pending,6,9.0,0.7071067811865477
141,_TaskControlBlock.init-values,128,_TaskState.is_task_waiting,6,8.6,1.140175425099138
141,_TaskControlBlock.init-values,129,_TaskState.is_task_holding,6,7.2,0.44721359549995787
142,_TaskControlBlock.add_input_and_check_priority,91,=,23246,5639.8,206.01747498695352
142,_TaskControlBlock.add_input_and_check_priority,95,>,14759,4127.6,242.74533981108692
142,_TaskControlBlock.add_input_and_check_priority,105,_RBObject.append,8487,12050.0,671.9054993077524
143,_TaskControlBlock.run_task,91,=,23250,6535.2,217.32280138080313
143,_TaskControlBlock.run_task,106,fn,27884,112049.6,6458.117899202523
143,_TaskControlBlock.run_task,108,fn,23252,192606.6,12286.296118033293
143,_TaskControlBlock.run_task,110,fn,10000,105594.6,6588.47981707465
143,_TaskControlBlock.run_task,114,fn,4654,100110.6,5537.234445099829
143,_TaskControlBlock.run_task,132,_TaskState.packet_pending,8490,2201.8,112.36414018716115
143,_TaskControlBlock.run_task,133,_TaskState.running,14760,3839.6,70.78347264722183
143,_TaskControlBlock.run_task,137,_TaskState.is_waiting_with_packet,65790,11548.8,588.7917288821234
144,empty_vec,42,lambda-42,38,738.0,44.51965857910413
144,empty_vec,66,list.put,38,131.6,29.330871108782297
144,empty_vec,93,<,47,1831.4,335.0541747240288
