# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(ticks),execution time(ticks)_std,execution time(μs),execution time(μs)_std
0,repl,151,DeltaBlue.inner_benchmark_loop,1,18975195527.9,61833097.498889364,7027850.195518519,22901.147221810876
0,repl,177,_Sym.init-values,8,3637.9,156.29590694037955,1.3473703703703703,0.05788737294088132
0,repl,179,_Sym.init,8,4254.7,324.6933938348607,1.5758148148148148,0.12025681253142988
0,repl,187,_Strength_of,2,151527.1,8491.646879511403,56.12114814814815,3.1450543998190383
0,repl,188,_create_strength_table,1,1464584.3,56101.84310801021,542.4386296296296,20.77846041037415
0,repl,190,_create_strength_constants,1,3161568.2,93530.56212000553,1170.9511851851853,34.64094893333538
43,lambda-43,48,int.+,278737,406481650.3,3961142.3963977634,150548.75937037036,1467.089776443616
44,lambda-44,49,int.-,2003,455142.3,19029.49616585567,168.57122222222222,7.0479615429095075
64,lambda-64,2,base.class,27065,2733474.0,24192.41540996723,1012.3977777777778,8.96015385554342
64,lambda-64,93,!=,27065,38461974.5,144476.4750238464,14245.17574074074,53.509805564387555
87,+,48,int.+,27012,5195614.7,31526.934558280467,1924.3017407407408,11.676642428992766
88,-,49,int.-,17078,4550047.7,74668.1736563071,1685.2028518518518,27.654879131965593
89,*,50,int.*,25133,13389932.7,125246.75165326531,4959.234333333333,46.38768579750567
90,/,51,int./,11,5790.2,508.2767170081978,2.1445185185185185,0.18825063592896216
92,=,6,base.=,16131,2259806.3,51655.76233520883,836.9652962962962,19.13176382785512
92,=,53,int.=,242204,42065753.8,202928.40570003542,15579.908814814813,75.1586687777909
92,=,64,lambda-64,27065,74747631.8,280254.64636584057,27684.308074074073,103.79801717253355
93,!=,6,base.=,73197,10774795.3,102558.84940087644,3990.664925925926,37.98475903736164
93,!=,53,int.=,28133,12771377.4,127618.9834502854,4730.139777777778,47.26629016677237
93,!=,101,not,101330,23556530.2,120585.79678412947,8724.640814814815,44.66140621634425
94,<,54,int.<,262125,465289779.7,3223993.3396403766,172329.54803703702,1194.0716072742136
95,<=,55,int.<=,2006,354493.9,14196.44433578168,131.29403703703704,5.257942346585807
96,>,56,int.>,12027,2153770.7,38075.81573802182,797.692851851852,14.102153977045118
97,>=,57,int.>=,27045,571569401.2,4159265.317370175,211692.37081481484,1540.4686360630278
98,&,58,int.&,3032,12171935.5,117996.0454428787,4508.124259259259,43.70223905291804
100,^,60,int.^,3032,12447363.7,113071.05584361264,4610.134703703703,41.878168830967645
104,vector_with,107,Vector.init-values,6021,112124202.9,296034.7669443219,41527.48255555556,109.64250627567479
104,vector_with,110,Vector.append,6021,306772407.3,1175917.3115298036,113619.41011111111,435.5249301962235
104,vector_with,127,Vector.init,6021,5569024.2,41133.69377197171,2062.6015555555555,15.234701397026559
105,empty_vec,43,lambda-43,53265,607411982.0,4557580.267610724,224967.40074074073,1687.9926917076755
105,empty_vec,67,list.put,53265,7348141.8,68878.79880332906,2721.534,25.510666223455207
105,empty_vec,94,<,62439,2423593908.9,6415629.116440003,897627.3736666667,2376.158932014816
107,Vector.init-values,92,=,9030,8576619.4,101870.98551051835,3176.525703703704,37.729994633525315
107,Vector.init-values,105,empty_vec,9030,930683782.4,3983485.1376266684,344697.69718518516,1475.364865787655
108,Vector.at,65,list.get,1998,3579232.6,48689.475837240774,1325.6417037037038,18.033139198978063
108,Vector.at,68,list.length,1998,310007.3,8668.085814915366,114.81751851851851,3.210402153672358
108,Vector.at,92,=,1998,6485501.0,59363.49482015997,2402.0374074074075,21.98647956302221
108,Vector.at,97,>=,1998,10932351.8,145723.67634800792,4049.0191851851855,53.97173198074368
110,Vector.append,43,lambda-43,43016,586544624.3,4170036.588447045,217238.74974074072,1544.4579957211279
110,Vector.append,65,list.get,17960,28347762.4,1306987.847655114,10499.17125925926,484.0695732055978
110,Vector.append,66,list.set,43016,64655360.6,272270.60174999776,23946.42985185185,100.84096361111028
110,Vector.append,68,list.length,43251,7288542.9,46742.18203800166,2699.4603333333334,17.31191927333395
110,Vector.append,89,*,122,596667.6,17853.11597865671,220.988,6.612265177280263
110,Vector.append,92,=,25056,288361802.4,1210155.5790091516,106800.66755555554,448.2057700033895
110,Vector.append,94,<,18082,979944829.4,4477561.291507258,362942.5294074074,1658.356033891577
110,Vector.append,97,>=,25047,1126094311.6,5760909.004827292,417071.9672592592,2133.6700017878857
110,Vector.append,105,empty_vec,131,2258474617.3,9177408.27007643,836472.0804814815,3399.0401000283073
111,Vector.is_empty,92,=,34085,72814474.0,1335428.567124664,26968.323703703703,494.6031730091348
112,Vector.for_each,43,lambda-43,155235,544441374.2,2481628.62647831,201644.95340740742,919.1217135104853
112,Vector.for_each,65,list.get,155235,785662396.4,2762303.129355613,290986.0727407407,1023.0752330946715
112,Vector.for_each,94,<,172430,2746871478.3,10011024.523770818,1017359.8067777778,3707.7868606558586
112,Vector.for_each,118,each,4013,400947519.8,4307896.910345972,148499.08140740742,1595.5173742022116
112,Vector.for_each,154,lambda,120160,2625191945.5,17432704.031993702,972293.3131481481,6456.557048886556
112,Vector.for_each,157,_Planner.incremental_add,3,338059171.1,2077013.5062438387,125207.10040740742,769.2642615717921
112,Vector.for_each,159,each,5,691170.6,19049.096291314952,255.9891111111111,7.055220848635168
112,Vector.for_each,163,each,19032,2262959681.7,8114656.289058665,838133.2154444443,3005.428255206913
112,Vector.for_each,167,each,6007,1096949827.0,7070861.520109465,406277.7137037037,2618.837600040543
112,Vector.for_each,170,each,6007,18408063.3,137767.78874808433,6817.801222222222,51.02510694373494
112,Vector.for_each,189,lambda,8,1460278.5,55368.5136854589,540.8438888888888,20.506856920540333
116,Vector.remove_first,43,lambda-43,14027,26055165.0,218627.32900435606,9650.06111111111,80.97308481642817
116,Vector.remove_first,65,list.get,14027,404800777.1,2336542.0291313957,149926.21374074076,865.3859367153318
116,Vector.remove_first,88,-,14027,84935472.1,1670742.7191761774,31457.582259259256,618.7935996948805
