# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(ticks),execution time(ticks)_std,execution time(μs),execution time(μs)_std
0,repl,104,Permute.benchmark,1,421543623.9,5118271.485780396,156127.2681111111,1895.656105844591
0,repl,107,Permute.verify_result,1,17887.3,3841.9608083154067,6.624925925925925,1.4229484475242247
0,repl,108,Permute.init,1,6533.1,1027.3474224018812,2.4196666666666666,0.38049904533403006
43,lambda-43,48,int.+,8660,4931669.3,96277.88814790797,1826.5441851851851,35.658477091817765
44,lambda-44,49,int.-,5039,2546670.5,59370.50447158534,943.2112962962963,21.98907573021679
88,-,49,int.-,3620,1671720.5,54246.52348162142,619.1557407407407,20.09130499319312
92,=,53,int.=,1,3126.6,94.20716253918393,1.158,0.03489154168117923
93,!=,53,int.=,8660,1901729.7,38369.00231491697,704.3443333333333,14.210741598117398
93,!=,101,not,8660,2649135.8,61921.98921699366,981.1614074074073,22.93407008036802
97,>=,57,int.>=,8659,2079808.5,46094.799468623685,770.2994444444445,17.072147951342107
104,Permute.benchmark,105,Permute._permute,1,421510096.2,5114447.629117709,156114.85044444443,1894.2398626361885
105,Permute._permute,43,lambda-43,8660,43320408.0,568577.6924950089,16044.595555555556,210.58433055370702
105,Permute._permute,44,lambda-44,5039,21541434.9,289075.28150764934,7978.309222222221,107.06491907690716
105,Permute._permute,88,-,3620,9720055.6,146423.48789093713,3600.0205925925925,54.23092144108783
105,Permute._permute,93,!=,8660,49676284.6,684819.8475705625,18398.623925925927,253.6369805816898
105,Permute._permute,97,>=,8659,68262557.3,786010.7281320285,25282.428629629627,291.1150844933439
105,Permute._permute,105,Permute._permute,8659,2020713762.4,24321713.03170841,748412.5045925926,9008.041863595707
105,Permute._permute,106,Permute._swap,10078,103249616.7,1324056.8181908221,38240.59877777778,490.3914141447489
106,Permute._swap,65,list.get,20156,26990577.8,375079.8696058431,9996.510296296297,138.91847022438634
106,Permute._swap,66,list.set,20156,27310228.4,431790.4916920027,10114.899407407407,159.92240433037136
107,Permute.verify_result,92,=,1,15648.0,3821.0423488334886,5.795555555555556,1.4152008699383292
