# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(ticks),execution time(ticks)_std,execution time(μs),execution time(μs)_std
0,repl,104,Richards.benchmark,1,2693655178.0,28244756.305776805,997650.065925926,10461.02085399141
43,lambda-43,48,int.+,60497,17446512.2,237659.75280099828,6461.671185185185,88.0221306670364
44,lambda-44,49,int.-,10000,3217197.3,64820.061365939946,1191.5545555555555,24.007430135533312
87,+,48,int.+,9308,34957261.7,401339.3247464118,12947.133962962964,148.6441943505229
88,-,49,int.-,9308,2748191.9,51383.94523573946,1017.8488518518518,19.031090828051653
90,/,51,int./,9999,5599937.2,80389.78120553431,2074.0508148148147,29.773993039086783
92,=,6,base.=,235930,31752064.0,326738.66116741335,11760.023703703704,121.01431895089384
92,=,53,int.=,33955,75312077.3,863411.3526321086,27893.36196296296,319.78198245633655
93,!=,6,base.=,129857,15162346.3,226185.5249482501,5615.683814814815,83.77241664750004
93,!=,101,not,129857,29037927.9,329602.12680808216,10754.788111111111,122.07486178077117
94,<,54,int.<,11682,2013982.3,54951.71805091597,745.9193703703704,20.352488167005916
96,>,56,int.>,34066,6293153.7,101362.68705630132,2330.797666666667,37.54173594677827
97,>=,57,int.>=,20310,3830355.8,62553.887508964675,1418.6502962962961,23.168106484801733
98,&,58,int.&,9999,4359088.8,79334.88550349495,1614.4773333333333,29.38329092722035
100,^,60,int.^,4992,38548779.7,652207.6854458556,14277.325814814816,241.55840201698356
104,Richards.benchmark,117,_Scheduler.start,1,2693407614.5,28233324.615613807,997558.3757407408,10456.78689467178
104,Richards.benchmark,125,_Scheduler.init,1,222339.0,28142.988241441144,82.34777777777778,10.423328978311535
106,_RBObject.append,92,=,30581,60959740.2,748174.553862061,22577.681555555555,277.10168661557816
107,fn,92,=,46472,37706117.8,422460.0093915601,13965.228814814815,156.46667014502225
107,fn,119,_Scheduler._hold_self,9296,101599782.3,1108342.8435080366,37629.549,410.49734944742096
107,fn,120,_Scheduler.queue_packet,9294,187791233.0,2016072.2482346974,69552.30851851852,746.6934252721102
107,fn,123,_Scheduler.mark_waiting,9294,10665729.8,99572.62480886206,3950.2702962962967,36.87874992920817
108,_Scheduler.create_device,114,_Scheduler.create_task,2,96162.4,10207.62399488993,35.6157037037037,3.7806014795888627
108,_Scheduler.create_device,126,_DeviceTaskDataRecord.init,2,1734.8,343.2736517707119,0.6425185185185185,0.12713838954470813
109,fn,43,lambda-43,9300,24125744.7,285456.55075797753,8935.461,105.72464842888057
109,fn,65,list.get,9300,10187205.6,113514.96315297396,3773.039111111111,42.04257894554591
109,fn,92,=,52864,44030293.0,478041.08997074794,16307.515925925925,177.05225554472145
109,fn,93,!=,23252,34632033.2,410094.01443720167,12826.678962962964,151.8866720137784
109,fn,97,>=,20310,72387410.2,795898.289416669,26810.151925925926,294.77714422839597
109,fn,120,_Scheduler.queue_packet,11625,296221770.0,3112842.7830047114,109711.76666666666,1152.9047344461894
109,fn,123,_Scheduler.mark_waiting,11627,13315021.6,205249.3386181791,4931.489481481482,76.01827356228856
109,fn,127,_HandlerTaskDataRecord.device_in_add,9300,27402100.3,296333.23256323993,10148.926037037038,109.75304909749627
109,fn,128,_HandlerTaskDataRecord.work_in_add,2327,8576245.2,101004.97639100449,3176.3871111111107,37.40925051518685
110,_Scheduler.create_handler,114,_Scheduler.create_task,2,99204.2,11002.78754919096,36.742296296296296,4.075106499700356
110,_Scheduler.create_handler,129,_HandlerTaskDataRecord.init,2,3374.0,333.8048594770998,1.2496296296296296,0.12363142943596289
111,fn,44,lambda-44,10000,32587509.5,365827.22486981173,12069.447962962962,135.49156476659695
111,fn,90,/,9999,34413187.5,378899.4213982751,12745.625,140.3331190363982
111,fn,92,=,19999,86686199.4,964296.2926380084,32105.99977777778,357.1467750511142
111,fn,98,&,9999,69284474.6,759770.1861886213,25660.916518518516,281.39636525504494
111,fn,100,^,4992,70840580.0,917361.4529673201,26237.251851851852,339.76350109900744
111,fn,119,_Scheduler._hold_self,1,13022.1,606.4823423472005,4.823,0.22462308975822243
111,fn,121,_Scheduler.release,9999,85949015.2,1001848.2328068796,31832.968592592595,371.05490103958505
112,_Scheduler.create_idler,114,_Scheduler.create_task,1,89841.7,9664.26307316644,33.2747037037037,3.579356693765348
112,_Scheduler.create_idler,130,_IdleTaskDataRecord.init,1,1471.7,157.40564425110446,0.545074074074074,0.05829838675966832
113,_Scheduler.create_packet,131,_Packet.init-values,8,9888.9,955.1466076499792,3.6625555555555556,0.3537580028333256
113,_Scheduler.create_packet,132,_Packet.init,8,738255.1,75289.33337318739,273.4278148148148,27.8849382863657
114,_Scheduler.create_task,66,list.set,6,48440.2,5365.623754390929,17.940814814814814,1.9872680571818255
114,_Scheduler.create_task,144,_TaskState.init,6,8661.5,867.7576365492116,3.207962962962963,0.32139171724044874
114,_Scheduler.create_task,148,_TaskControlBlock.init-values,6,118142.6,12734.888640018968,43.75651851851852,4.716625422229248
114,_Scheduler.create_task,151,_TaskControlBlock.init,6,20349.5,2146.831680211072,7.536851851851852,0.7951228445226193
115,fn,43,lambda-43,18616,51635712.5,546224.2982010322,19124.337962962964,202.30529563001193
115,fn,66,list.set,9308,41877950.8,489527.272905691,15510.352148148148,181.30639737247816
115,fn,87,+,9308,41882260.3,468160.8023144342,15511.948259259258,173.39288974608675
115,fn,88,-,9308,28816990.7,328346.70745243115,10672.959518518519,121.60989164904858
115,fn,92,=,6981,5846019.0,95868.66452216364,2165.1922222222224,35.506912785986536
115,fn,94,<,11635,63559156.1,744751.9773201719,23540.428185185185,275.8340656741377
115,fn,96,>,9308,61437939.5,633100.8484540299,22754.792407407407,234.48179572371478
115,fn,120,_Scheduler.queue_packet,2327,47358498.6,588253.9691753639,17540.184666666668,217.87184043531997
115,fn,123,_Scheduler.mark_waiting,2327,2591444.9,33513.271322362976,959.7944074074073,12.412322711986288
116,_Scheduler.create_worker,114,_Scheduler.create_task,1,59234.8,6945.383848283693,21.938814814814815,2.5723643882532197
116,_Scheduler.create_worker,152,_WorkerTaskDataRecord.init,1,2013.2,272.0676386489213,0.7456296296296296,0.10076579209219307
117,_Scheduler.start,92,=,2,18941.5,9548.981381333435,7.015370370370371,3.5366597708642353
117,_Scheduler.start,108,_Scheduler.create_device,2,114895.3,11725.493777505311,42.553814814814814,4.342775473150115
117,_Scheduler.start,110,_Scheduler.create_handler,2,124456.7,13641.410704561546,46.09507407407407,5.052374335022795
117,_Scheduler.start,112,_Scheduler.create_idler,1,108698.0,11536.309215506903,40.25851851851852,4.272707116854408
117,_Scheduler.start,113,_Scheduler.create_packet,8,823484.4,82580.96535770533,304.9942222222222,30.585542725076046
117,_Scheduler.start,116,_Scheduler.create_worker,1,69136.9,7751.870822751858,25.606259259259257,2.8710632676858734
117,_Scheduler.start,124,_Scheduler.schedule,1,2691934942.9,28207362.72789474,997012.9418148148,10447.171380701755
117,_Scheduler.start,145,_TaskState_with_running,1,22631.2,2240.5051498079156,8.381925925925927,0.8298167221510798
117,_Scheduler.start,146,_TaskState_with_waiting,2,33028.6,3450.950447264302,12.232814814814814,1.2781297952830748
117,_Scheduler.start,147,_TaskState_with_waiting_with_packet,3,55641.6,10235.6846087854,20.608,3.7909942995501478
118,_Scheduler.find_task,65,list.get,33245,39038345.0,454034.85775085865,14458.646296296296,168.16105842624395
118,_Scheduler.find_task,92,=,33245,27915949.9,317875.6490476472,10339.240703703703,117.73172186949895
