# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(ticks),execution time(ticks)_std,execution time(μs),execution time(μs)_std
0,repl,104,Sieve.benchmark,1,717841974.9,6029263.694652115,265867.3981111111,2233.0606276489316
0,repl,106,Sieve.verify_result,1,18689.1,947.5329684585064,6.921888888888889,0.3509381364661135
43,lambda-43,48,int.+,15668,8158625.0,152770.6018405925,3021.712962962963,56.581704385404635
44,lambda-44,49,int.-,16068,8697664.2,127087.12644878933,3221.357111111111,47.069306092144195
87,+,48,int.+,11738,5966135.8,79351.31990650992,2209.679925925926,29.389377743151822
92,=,6,base.=,4999,1015042.5,20924.793673132346,375.94166666666666,7.7499235826416095
92,=,53,int.=,1,10253.7,457.5363200998651,3.7976666666666667,0.16945789633328337
94,<,54,int.<,10001,27587422.4,199935.44557507816,10217.563851851852,74.05016502780673
95,<=,55,int.<=,11738,2501058.2,41289.60196822853,926.317851851852,15.292445173417976
104,Sieve.benchmark,105,Sieve._sieve,1,717832182.6,6028401.66702218,265863.77133333334,2232.741358156363
105,Sieve._sieve,43,lambda-43,15668,59350909.7,982524.9081926945,21981.81840740741,363.89811414544243
105,Sieve._sieve,44,lambda-44,16068,77471539.7,512698.98626500857,28693.162851851852,189.88851343148465
105,Sieve._sieve,65,list.get,4999,38637565.7,301314.6476822942,14310.209518518519,111.59801766010897
105,Sieve._sieve,66,list.set,11069,85398367.9,568178.2506515565,31629.02514814815,210.43638913020612
105,Sieve._sieve,67,list.put,5000,1241134.3,51874.39462586523,459.6793703703704,19.212738750320455
105,Sieve._sieve,87,+,11738,56936218.6,452434.33291291824,21087.48837037037,167.56827144922897
105,Sieve._sieve,92,=,4999,6877825.1,80171.0419736913,2547.3426296296293,29.692978508774555
105,Sieve._sieve,94,<,10001,128297087.7,1927665.8224380878,47517.43988888889,713.9503046066992
105,Sieve._sieve,95,<=,11738,113230689.9,767262.4560910943,41937.292555555556,284.17128003373864
106,Sieve.verify_result,92,=,1,16301.7,570.5680548919279,6.0376666666666665,0.21132150181182513
