# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(ticks),execution time(ticks)_std,execution time(μs),execution time(μs)_std
0,repl,107,Bounce.benchmark,1,441203165.6,2912738.6443186486,163408.57985185186,1078.7920904883883
0,repl,108,Bounce.verify_result,1,18725.4,4452.800330011147,6.935333333333334,1.649185307411536
43,lambda-43,48,int.+,6581,3363368.6,51136.4360370218,1245.692074074074,18.939420754452517
87,+,48,int.+,10400,14493713.5,151462.09877391765,5368.042037037037,56.0970736199695
88,-,49,int.-,913,440596.2,22769.9319916697,163.18377777777778,8.43330814506285
89,*,50,int.*,400,276787.7,12504.327272462207,102.51396296296296,4.631232323134151
91,%,52,int.%,400,430919.3,19055.964263466867,159.59974074074074,7.057764542024765
92,=,53,int.=,1,3934.4,294.0394531351193,1.4571851851851851,0.1089035011611553
94,<,54,int.<,15303,28252774.4,237720.03332766276,10463.990518518518,88.04445678802324
96,>,56,int.>,10000,2111913.4,34552.91690390875,782.1901481481481,12.797376631077315
97,>=,57,int.>=,1426,312396.3,16702.669818419978,115.70233333333333,6.186174006822214
98,&,58,int.&,400,260763.5,10128.731138384715,96.57907407407407,3.7513819031054503
104,Ball.init-values,88,-,200,2156001.7,81522.77877159315,798.5191481481482,30.193621767256722
104,Ball.init-values,91,%,400,4561957.6,176402.34931076717,1689.6139259259257,65.33420344843229
104,Ball.init-values,109,Random.next,400,11873815.5,453445.8425406731,4397.709444444445,167.94290464469373
105,Ball.bounce,87,+,10000,56438021.2,483211.4536767305,20902.970814814817,178.96720506545574
105,Ball.bounce,88,-,713,1187311.3,34564.49398945935,439.74492592592594,12.801664440540499
105,Ball.bounce,94,<,10000,42405468.3,331200.3656152791,15705.729,122.666802079733
105,Ball.bounce,96,>,10000,95590805.0,604606.3063805721,35404.001851851855,223.92826162243412
105,Ball.bounce,111,custom_abs,1426,11502388.2,165853.29996926404,4260.143777777777,61.42714813676446
107,Bounce.benchmark,43,lambda-43,6581,31361084.6,242373.03888632025,11615.216518518519,89.76779218011862
107,Bounce.benchmark,65,list.get,5000,9133813.4,125571.12329143855,3382.893851851852,46.50782344127354
107,Bounce.benchmark,66,list.set,100,220105.3,10942.3061799989,81.52048148148148,4.052705992592185
107,Bounce.benchmark,67,list.put,100,37314.3,8026.536784153453,13.820111111111112,2.972791401538316
107,Bounce.benchmark,68,list.length,5050,2087825.3,57577.09207214455,773.2686296296297,21.324848915609092
107,Bounce.benchmark,94,<,5303,76261840.8,575703.5271615726,28245.12622222222,213.22352857836023
107,Bounce.benchmark,104,Ball.init-values,100,19431133.4,735106.8902689491,7196.716074074074,272.2618112107219
107,Bounce.benchmark,105,Ball.bounce,5000,241115429.7,1617845.3750426972,89302.011,599.2019907565546
107,Bounce.benchmark,106,Ball.init,100,199334.2,14341.466443406978,73.82748148148148,5.311654238298881
107,Bounce.benchmark,110,Random.init,1,2330.0,588.4584678811688,0.8629629629629629,0.21794758069672918
108,Bounce.verify_result,92,=,1,16130.1,4398.971960045114,5.974111111111111,1.6292488740907831
109,Random.next,87,+,400,4272577.2,179275.34965010776,1582.4360000000001,66.39827764818806
109,Random.next,89,*,400,2198607.2,87080.19685783898,814.2989629629631,32.25192476216259
109,Random.next,98,&,400,4405310.8,162536.4023206073,1631.5965925925925,60.19866752615086
111,custom_abs,45,int.neg,713,349402.7,43099.42869947412,129.40840740740742,15.9627513701756
111,custom_abs,97,>=,1426,7052085.4,94674.84446662135,2611.883481481482,35.064757209859756
