# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(ticks),execution time(ticks)_std,execution time(μs),execution time(μs)_std
0,repl,128,Json.benchmark,1,1810924631.8,4890454.177912295,670712.8265925925,1811.2793251527019
0,repl,129,Json.verify_result,1,255057.1,27951.564765350417,94.4655925925926,10.352431394574229
0,repl,140,_JsonLiteral.init-values,3,47494.5,11109.453345308173,17.590555555555557,4.114612350114138
0,repl,146,_JsonLiteral.init,3,10237.1,537.8743641213508,3.7915185185185187,0.19921272745235216
43,lambda-43,48,int.+,47203,16360141.1,143183.22334168828,6059.311518518519,53.03082345988455
44,lambda-44,49,int.-,5322,2184104.0,30880.707913892722,808.9274074074074,11.437299227367674
64,lambda-64,2,base.class,3127,367810.0,11460.650114746173,136.22592592592594,4.244685227683767
64,lambda-64,93,!=,3127,5424837.3,64810.225246768336,2009.1989999999998,24.003787128432716
88,-,49,int.-,1201,469693.3,15566.22869886162,173.96048148148148,5.765269888467267
89,*,50,int.*,604,329886.8,15947.688608632116,122.18029629629629,5.906551336530413
92,=,6,base.=,114684,13843941.7,118972.52380059913,5127.385814814815,44.063897703925605
92,=,53,int.=,2664,447098.4,20228.49856904597,165.592,7.492036507054062
92,=,64,lambda-64,3127,10152614.6,84153.80633628038,3760.2276296296295,31.168076420844585
93,!=,6,base.=,29388,3935999.7,53620.25839186638,1457.7776666666668,19.85935495995051
93,!=,53,int.=,2,3847.2,755.3490374793978,1.4248888888888889,0.2797589027701473
93,!=,101,not,29390,7251190.9,63719.561869425714,2685.6262592592593,23.59983772941693
94,<,54,int.<,41584,106427469.9,444541.21528959234,39417.58144444445,164.64489455170087
97,>=,57,int.>=,3127,12577522.7,118956.58626269383,4658.3417407407405,44.057994912108825
98,&,58,int.&,1200,2997484.0,35641.08794488095,1110.1792592592592,13.2004029425485
105,empty_vec,43,lambda-43,13984,46733408.1,272061.7612276762,17308.66966666667,100.7636152695097
105,empty_vec,67,list.put,13984,2393180.6,43702.24623445399,886.3631851851852,16.18601712387185
105,empty_vec,94,<,15011,104166708.5,407462.99053320405,38580.262407407405,150.9122187160015
108,Vector.at,65,list.get,4,3252.9,123.14215149039833,1.2047777777777777,0.04560820425570308
108,Vector.at,68,list.length,4,679.9,101.93181415457151,0.2518148148148148,0.037752523760952415
