# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(ticks),execution time(ticks)_std,execution time(μs),execution time(μs)_std
0,repl,48,int.+,999999,166880647.7,1128388.195474976,61807.647296296294,417.9215538796207
0,repl,52,int.%,999999,349268166.8,3475942.5445291116,129358.5802962963,1287.3861276033747
0,repl,54,int.<,1000000,139544363.0,2208893.138257497,51683.097407407404,818.1085697249989
0,repl,65,list.get,999999,3805575283.5,30729245.788774177,1409472.3272222222,11381.202143990437
0,repl,87,+,2999997,21599915064.2,115893699.74005608,7999968.542296297,42923.59249631707
0,repl,104,check-benchmark-result,1,124942.2,11224.014422093745,46.27488888888889,4.157042378553239
0,repl,105,A.init,3,31476.4,5348.3029320179285,11.657925925925927,1.980852937784418
87,+,48,int.+,2999997,504959847.1,4351366.763148642,187022.1655925926,1611.6173196846823
92,=,53,int.=,9,5563.8,619.205909124531,2.0606666666666666,0.22933552189797443
104,check-benchmark-result,48,int.+,3,3464.6,127.46945970660872,1.2831851851851852,0.047210911002447675
104,check-benchmark-result,54,int.<,4,11942.4,431.5551315636827,4.423111111111111,0.1598352339124751
104,check-benchmark-result,65,list.get,3,3351.4,292.9645927950662,1.2412592592592593,0.10850540473891342
104,check-benchmark-result,68,list.length,4,1997.0,414.8042023844376,0.7396296296296296,0.15363118606831022
104,check-benchmark-result,92,=,9,52263.3,1679.7927535076612,19.35677777777778,0.6221454642620967
