# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(ticks),execution time(ticks)_std,execution time(μs),execution time(μs)_std
0,repl,106,Storage.benchmark,1,996519178.9,9196555.039573843,369081.17737037037,3406.13149613846
0,repl,108,Storage.verify_result,1,10425.8,556.2471620270596,3.861407407407407,0.2060174674174295
0,repl,109,Storage.init,1,3585.5,972.4085939995647,1.327962962962963,0.3601513311109499
43,lambda-43,48,int.+,33341,14245537.0,204534.19301787575,5276.124814814815,75.75340482143547
87,+,48,int.+,8192,3977928.9,76699.64673623447,1473.307,28.40727656897573
88,-,49,int.-,5460,2540895.3,52553.06380682495,941.0723333333333,19.464097706231463
89,*,50,int.*,4096,2213306.6,35522.11866073539,819.7431851851852,13.15634024471681
91,%,52,int.%,4096,3331122.5,61641.63108219704,1233.749074074074,22.83023373414705
92,=,53,int.=,5462,1159754.9,23420.815172787967,429.5388518518518,8.674375989921469
94,<,54,int.<,33341,25716180.6,281200.16062591824,9524.511333333334,104.14820763922899
98,&,58,int.&,4096,2323607.7,41332.84955487966,860.5954444444445,15.308462798103578
104,Random.next,87,+,4096,37233591.2,336850.20586004975,13790.218962962965,124.75933550372213
104,Random.next,89,*,4096,19135370.8,211864.70098119814,7087.1743703703705,78.46840777081412
104,Random.next,98,&,4096,38155969.8,400290.3796863365,14131.840666666665,148.25569618012463
106,Storage.benchmark,105,Random.init,1,1709.6,476.4198060313481,0.6331851851851852,0.1764517800116104
106,Storage.benchmark,107,Storage._build_tree_depth,1,996479130.0,9191066.185790386,369066.34444444446,3404.0985873297727
107,Storage._build_tree_depth,43,lambda-43,33341,129235459.2,1329008.2551620998,47864.98488888889,492.2252796896666
107,Storage._build_tree_depth,66,list.set,5460,8681197.8,107123.1547291054,3215.2584444444446,39.67524249226126
107,Storage._build_tree_depth,67,list.put,22420,4350513.6,90212.88199434879,1611.301333333333,33.41217851642548
107,Storage._build_tree_depth,87,+,4096,37300104.9,428103.74050393596,13814.853666666666,158.5569409273837
107,Storage._build_tree_depth,88,-,5460,12525552.0,148498.02842568577,4639.093333333333,54.99926978729103
107,Storage._build_tree_depth,91,%,4096,39344069.1,415660.052830358,14571.877444444444,153.9481677149474
107,Storage._build_tree_depth,92,=,5461,48808918.6,546494.979717529,18077.37725925926,202.40554804352928
107,Storage._build_tree_depth,94,<,33341,274593467.6,2680208.791160123,101701.2842962963,992.6699226518974
107,Storage._build_tree_depth,104,Random.next,4096,103940957.9,974230.1890151053,38496.65107407408,360.8259959315205
107,Storage._build_tree_depth,107,Storage._build_tree_depth,5460,5757425746.8,52820903.06421314,2132379.9062222224,19563.29743119005
108,Storage.verify_result,92,=,1,8727.7,285.222184860929,3.2324814814814817,0.10563784624478853
