# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(μs),execution time(μs)_std
0,repl,151,DeltaBlue.inner_benchmark_loop,1,7952361.15,29199.22140143475
0,repl,177,_Sym.init-values,8,7.05,3.3478194002726767
0,repl,179,_Sym.init,8,6.85,0.9880869341680845
0,repl,187,_Strength_of,2,134.9,4.517801048717111
0,repl,188,_create_strength_table,1,881.75,30.388493320923132
0,repl,190,_create_strength_constants,1,2259.85,35.67289255384126
43,lambda-43,48,int.+,278737,282198.1,1671.7893628337908
44,lambda-44,49,int.-,2003,1382.2,27.929610772345818
64,lambda-64,2,base.class,27065,17314.85,135.51860427728423
64,lambda-64,93,!=,27065,97718.05,885.1026390080116
87,+,48,int.+,27012,19020.0,496.5202068289605
88,-,49,int.-,17078,74661.8,523.8949874686118
89,*,50,int.*,25133,20283.45,140.42659629631558
90,/,51,int./,11,9.4,1.313893370663572
92,=,6,base.=,16131,10566.0,75.31687446347853
92,=,53,int.=,242204,161494.8,1041.755835622067
92,=,64,lambda-64,27065,178918.15,1292.0208681303118
93,!=,6,base.=,73197,48006.95,330.49953817946835
93,!=,53,int.=,28133,21622.4,464.2250361737575
93,!=,101,not,101330,71140.45,778.5611881440094
94,<,54,int.<,262125,316158.6,1579.169915193623
95,<=,55,int.<=,2006,1398.9,21.42526791578478
96,>,56,int.>,12027,8057.5,64.51641977863177
97,>=,57,int.>=,27045,47838.45,427.592584618877
98,&,58,int.&,3032,6063.35,51.62238906357954
100,^,60,int.^,3032,6182.25,44.856349664937746
104,vector_with,107,Vector.init-values,6021,118568.9,732.0160265717514
104,vector_with,110,Vector.append,6021,137730.55,899.4392683046601
104,vector_with,127,Vector.init,6021,6030.95,42.80737147538469
105,empty_vec,43,lambda-43,53265,203373.85,1077.244353602478
105,empty_vec,67,list.put,53265,35332.15,269.9472219371392
105,empty_vec,94,<,62439,321876.3,1268.1339834575951
107,Vector.init-values,92,=,9030,19594.7,102.60558105267937
107,Vector.init-values,105,empty_vec,9030,170407.55,1080.5332735567024
108,Vector.at,65,list.get,1998,2500.9,30.397195161465284
