# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(μs),execution time(μs)_std
0,repl,48,int.+,999999,673849.8,4827.77730921473
0,repl,52,int.%,999999,747125.1,5160.038819723408
0,repl,54,int.<,1000000,684208.65,6048.194661262686
0,repl,65,list.get,999999,1940634.7,12319.72742393274
0,repl,87,+,2999997,12400848.4,81499.85903533171
0,repl,104,check-benchmark-result,1,86.65,4.704700896583733
0,repl,105,A.init,3,19.8,4.525948577515634
87,+,48,int.+,2999997,2091074.7,16462.303116674248
92,=,53,int.=,9,7.45,1.145931016569864
104,check-benchmark-result,48,int.+,3,2.9,0.7181848464596079
104,check-benchmark-result,54,int.<,4,6.5,0.6882472016116854
104,check-benchmark-result,65,list.get,3,3.7,3.6142990876153074
104,check-benchmark-result,68,list.length,4,3.45,0.8255779474818964
104,check-benchmark-result,92,=,9,35.65,1.1821033884786183
