# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(μs),execution time(μs)_std
0,repl,106,Storage.benchmark,1,622163.95,4700.921874595728
0,repl,108,Storage.verify_result,1,6.65,0.489360484929593
0,repl,109,Storage.init,1,3.55,0.5104177855340404
43,lambda-43,48,int.+,33341,25256.1,214.50430004277774
87,+,48,int.+,8192,6522.85,73.6508655753616
88,-,49,int.-,5460,4343.5,44.25464590537944
89,*,50,int.*,4096,3277.35,49.62838215970246
91,%,52,int.%,4096,3758.9,40.466880545115345
92,=,53,int.=,5462,3880.65,52.35232363012823
94,<,54,int.<,33341,29932.2,335.4636383150631
98,&,58,int.&,4096,3365.5,54.42087447797371
104,Random.next,87,+,4096,20568.75,160.63553876956772
104,Random.next,89,*,4096,14377.3,127.96344050260275
104,Random.next,98,&,4096,20821.15,165.17941601084627
106,Storage.benchmark,105,Random.init,1,2.35,0.5871429486123997
106,Storage.benchmark,107,Storage._build_tree_depth,1,622140.1,4701.892999521302
107,Storage._build_tree_depth,43,lambda-43,33341,106651.2,892.0809262322376
107,Storage._build_tree_depth,66,list.set,5460,6341.65,66.19132953237268
107,Storage._build_tree_depth,67,list.put,22420,15502.0,189.38932332492695
107,Storage._build_tree_depth,87,+,4096,20575.55,172.5897097011777
107,Storage._build_tree_depth,88,-,5460,14614.45,137.09254461667015
107,Storage._build_tree_depth,91,%,4096,27422.25,225.73479432382808
107,Storage._build_tree_depth,92,=,5461,27136.15,224.48426858491726
107,Storage._build_tree_depth,94,<,33341,175796.05,1169.9908895281826
107,Storage._build_tree_depth,104,Random.next,4096,69078.8,539.1597361196684
107,Storage._build_tree_depth,107,Storage._build_tree_depth,5460,3574082.75,27077.091151931385
108,Storage.verify_result,92,=,1,5.0,0.3244428422615251
