# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(μs),execution time(μs)_std
0,repl,107,Bounce.benchmark,1,299901.35,4707.254493975497
0,repl,108,Bounce.verify_result,1,9.5,0.5129891760425774
43,lambda-43,48,int.+,6581,5403.9,84.37129718970601
87,+,48,int.+,10400,12143.6,173.01152988654852
88,-,49,int.-,913,771.5,15.136223543469981
89,*,50,int.*,400,360.85,13.342748868521095
91,%,52,int.%,400,443.25,19.38495075540493
92,=,53,int.=,1,2.3,0.4701623459816272
94,<,54,int.<,15303,19799.25,307.33624223230385
96,>,56,int.>,10000,7171.6,110.95584707441046
97,>=,57,int.>=,1426,1005.35,23.593654365438823
98,&,58,int.&,400,368.3,15.269853340901188
104,Ball.init-values,88,-,200,1154.4,50.03830111971596
104,Ball.init-values,91,%,400,2361.95,82.39090074951115
104,Ball.init-values,109,Random.next,400,7626.95,273.8336942475546
105,Ball.bounce,87,+,10000,40199.25,588.6564430079219
105,Ball.bounce,88,-,713,1811.15,29.998728043210875
105,Ball.bounce,94,<,10000,34104.65,546.3137015729297
105,Ball.bounce,96,>,10000,53566.5,890.0999648176717
105,Ball.bounce,111,custom_abs,1426,9540.9,167.0571600885216
107,Bounce.benchmark,43,lambda-43,6581,23755.85,360.40361511709784
107,Bounce.benchmark,65,list.get,5000,6402.15,129.55197087614982
107,Bounce.benchmark,66,list.set,100,144.7,9.217260695935758
107,Bounce.benchmark,67,list.put,100,111.75,27.60792220398074
107,Bounce.benchmark,68,list.length,5050,3991.75,57.31985510687967
107,Bounce.benchmark,94,<,5303,39284.1,806.8367668996337
107,Bounce.benchmark,104,Ball.init-values,100,12183.7,445.82178407733136
107,Bounce.benchmark,105,Ball.bounce,5000,176478.8,2744.052047994946
107,Bounce.benchmark,106,Ball.init,100,144.15,7.741038961956354
107,Bounce.benchmark,110,Random.init,1,2.0,0.7254762501100116
108,Bounce.verify_result,92,=,1,7.35,0.48936048492959316
109,Random.next,87,+,400,2295.7,87.73650743471684
109,Random.next,89,*,400,1554.35,55.01987679107673
109,Random.next,98,&,400,2315.7,85.9382275088823
111,custom_abs,45,int.neg,713,557.85,20.347701279712652
111,custom_abs,97,>=,1426,5268.3,87.40775588855769
