# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(μs),execution time(μs)_std
0,repl,104,Permute.benchmark,1,332203.45,3475.4766802933877
0,repl,107,Permute.verify_result,1,10.05,0.6048053188292993
0,repl,108,Permute.init,1,3.8,0.6958523739384593
43,lambda-43,48,int.+,8660,7274.35,81.62705627296292
44,lambda-44,49,int.-,5039,4192.5,53.26053145178255
88,-,49,int.-,3620,2950.4,42.81588490268539
92,=,53,int.=,1,1.65,0.489360484929593
93,!=,53,int.=,8660,6244.6,74.2487993877767
93,!=,101,not,8660,6550.9,79.76076069953433
97,>=,57,int.>=,8659,6334.05,81.4199477691852
104,Permute.benchmark,105,Permute._permute,1,332193.7,3475.859350010103
105,Permute._permute,43,lambda-43,8660,31750.35,322.5797779742162
105,Permute._permute,44,lambda-44,5039,17231.85,163.37308771481798
105,Permute._permute,88,-,3620,10658.3,95.51693153847799
105,Permute._permute,93,!=,8660,45736.6,468.0844952963539
105,Permute._permute,97,>=,8659,40349.6,486.8359066461714
105,Permute._permute,105,Permute._permute,8659,1575373.5,16558.304917377303
105,Permute._permute,106,Permute._swap,10078,99192.8,1016.1135245319994
106,Permute._swap,65,list.get,20156,22576.45,240.0084373516898
106,Permute._swap,66,list.set,20156,22697.85,232.82256062684746
107,Permute.verify_result,92,=,1,7.25,0.4442616583193194
