# Code label is the function/method name. Exceptions: if it is the top-level code, it is "repl", classes field and init have their labels as well
Bytecode ID,Label,Inclusive Compilation Time(μs),Inclusive Compilation Time(μs)_std
0,lambda-42,4.3,0.8390957231764808
1,lambda-43,2.5,0.5439837932759936
2,lambda-63,31.88,5.52042589306444
3,+,3.04,0.5329930887479323
4,repl,31.22,5.116160869325389
5,-,2.48,0.5436085025840128
6,repl,31.08,4.980943275963635
7,*,6.26,1.046081122229875
8,repl,29.56,4.651793597470697
9,/,2.38,0.8053393251117374
10,repl,29.24,5.101260348468518
11,%,2.4,0.5714285714285714
12,repl,28.58,4.899354393120359
13,=,2.42,0.6091144458665096
14,repl,32.1,5.226502322836206
15,!=,3.0,0.6388765649999399
16,repl,62.22,10.02708576704078
17,<,6.1,1.035098339013531
18,repl,29.68,4.769974115362103
19,<=,2.36,0.5252793231671495
20,repl,32.48,5.292428168465524
21,>,2.36,0.5627918743883488
22,repl,28.6,4.347178301343696
23,>=,2.4,0.6700593942604898
24,repl,31.3,4.816002237439306
25,&,2.26,0.44308749769345207
26,repl,28.54,4.7260027550580554
27,|,2.46,0.542481072744215
28,repl,24.92,3.762543646773755
29,^,6.12,0.9612916480720413
30,repl,28.86,4.819221717163848
31,not,2.76,0.6246631745450129
32,repl,30.66,4.740662142678004
33,print,2.74,0.5272183453498838
34,repl,46.82,7.286246479162099
35,println,3.96,0.6688399948982644
36,repl,88.42,13.41045890949543
37,repl,2.48,0.5436085025840126
38,vector_with,5.62,0.9010198303555131
39,empty_vec,11.92,2.0980068286498077
40,max,3.88,0.6272713828600042
41,Vector._first_idx,6.16,0.9764575708934322
42,Vector._last_idx,2.02,0.37742413753208315
43,Vector._storage,1.9,0.41649656391752143
44,Vector.init-values,5.74,2.3282646598981427
45,Vector.at,6.78,0.8873257230439732
46,Vector.at_put,31.52,3.955053600090881
47,Vector.append,19.3,5.610667681901567
48,Vector.is_empty,2.48,0.8628382211737999
49,Vector.for_each,5.32,1.7893106642115628
50,Vector.has_some,10.06,3.039938237825881
51,Vector.get_one,10.46,2.7045690742798594
52,Vector.first,2.56,0.7329003050503234
53,Vector.remove_first,6.32,1.7195158312378374
54,State.new_last,3.56,0.8609439527611066
55,State.found,1.12,0.4797958749641905
56,State.new_array,1.24,0.43141911058689997
57,each,6.94,1.621412838186726
58,Vector.remove,129.34,32.001664497526455
59,Vector.remove_all,6.94,1.6214128381867259
60,Vector.size,4.14,1.0881551510024021
61,Vector.capacity,6.04,2.184920490777732
62,Vector.sort,3.26,0.876216355725466
63,Vector._sort,44.36,9.755709997279565
64,Vector._swap,1.44,0.5014265364224069
65,Vector._default_sort,1.0,0.28571428571428564
66,repl,17089.7,1233.8839830686952
67,Json.benchmark,2.04,0.1979486637221574
68,Json.verify_result,9.62,1.0079277589921507
69,repl,529.46,24.704961081548305
70,_JsonValue.is_object,0.9,0.30304576336566325
71,_JsonValue.is_array,0.84,0.3703280399090206
72,_JsonValue.is_number,0.86,0.3505098327538656
73,_JsonValue.is_string,0.84,0.3703280399090206
74,_JsonValue.is_boolean,2.78,0.8400680244565233
75,_JsonValue.is_true,0.84,0.3703280399090206
76,_JsonValue.is_false,0.8,0.40406101782088427
77,_JsonValue.is_null,0.82,0.38808793449160345
78,_JsonValue.as_object,1.52,0.5046720495044484
79,_JsonValue.as_array,1.3,0.4629100498862757
80,repl,84.06,5.007789850190745
81,_JsonLiteral._value,0.88,0.3282607226593159
82,_JsonLiteral._is_null,0.82,0.3880879344916036
83,_JsonLiteral._is_true,0.86,0.3505098327538657
84,_JsonLiteral._is_false,0.72,0.45355736761107274
85,_JsonLiteral.init-values,5.36,0.59795570104161
86,_JsonLiteral.is_null,0.92,0.27404751561786966
87,_JsonLiteral.is_true,0.9,0.3030457633656632
88,_JsonLiteral.is_false,0.92,0.2740475156178697
89,_JsonLiteral.as_string,2.54,0.5034574339058885
90,_JsonLiteral.is_boolean,1.14,0.3505098327538656
91,repl,152.4,7.751234266428879
92,repl,5.0,0.6998542122237652
93,_Parser._input,0.72,0.4535573676110727
94,_Parser._index,3.34,0.7174216873994127
95,_Parser._line,0.72,0.4535573676110726
96,_Parser._capture_start,0.72,0.4535573676110726
97,_Parser._column,0.76,0.4314191105869
98,_Parser._current,0.74,0.443087497693452
99,_Parser._capture_buffer,2.66,0.7722218143851187
100,_Parser.init-values,1.1,0.3030457633656632
101,_Parser.parse,4.94,0.5858884758402821
102,_Parser._read_value,16.6,3.1815796359028696
103,_Parser._read_array_element,2.34,0.5194188275056527
104,_Parser._read_array,6.76,0.6246631745450129
105,_Parser._read_object_key_value_pair,5.86,0.4522054797526976
106,_Parser._read_object,4.32,0.7938539422542746
107,_Parser._read_name,1.94,0.23989793748209526
108,_Parser._read_null,3.94,0.5499536158548616
109,_Parser._read_true,2.1,0.3030457633656634
110,_Parser._read_false,5.04,0.6688399948982643
111,_Parser._read_required_char,4.08,0.2740475156178696
112,_Parser._read_string,1.98,0.14142135623730948
113,_Parser._read_string_internal,6.12,0.5205962045225314
114,_Parser._read_escape_char,8.62,1.627443218232645
115,_Parser._read_escape,2.22,0.4184519575964803
116,_Parser._read_number,7.24,0.517450579322138
117,_Parser._read_fraction,5.1,0.4164965639175215
118,_Parser._read_exponent,6.34,0.9391702807939202
119,_Parser._read_char,2.1,0.3030457633656633
120,_Parser._read_digit,1.9,0.30304576336566325
121,_Parser._skip_white_space,1.5,0.5050762722761054
122,_Parser._read,5.18,0.48191793695522855
123,_Parser._start_capture,1.32,0.4712120714991611
124,_Parser._pause_capture,5.94,0.42426406871192845
125,_Parser._end_capture,11.08,0.6651683843898751
126,_Parser._expected,2.68,2.402719547614702
127,_Parser._error,6.54,0.6764251772429549
128,_Parser._is_white_space,3.02,2.36030091474864
129,_Parser._is_digit,6.1,0.5050762722761053
130,_Parser._is_end_of_text,1.28,0.45355736761107274
131,repl,8149.2,128.2032824566245
132,_HashIndexTable._hash_table,1.24,0.4314191105869
133,_HashIndexTable.add,6.12,1.7801627992508815
134,_HashIndexTable.get,4.26,0.4430874976934522
135,_HashIndexTable._string_hash,3.04,0.4499433070863892
136,_HashIndexTable._hash_slot_for,2.0,0.2857142857142857
137,repl,360.06,12.72857944524359
138,_JsonArray._values,2.82,1.1373079564282937
139,_JsonArray.add,2.04,0.3475864303027554
140,_JsonArray.size,1.06,0.2398979374820952
141,_JsonArray.get,3.08,1.0659861774958646
142,_JsonArray.is_array,0.74,0.4430874976934521
143,_JsonArray.as_array,2.54,0.5034574339058885
144,repl,88.74,6.073730655999872
145,_JsonNumber._string,1.08,2.1931246928451986
146,_JsonNumber.init-values,1.76,0.4314191105869001
147,_JsonNumber.as_string,0.9,0.3030457633656633
148,_JsonNumber.is_number,0.88,0.328260722659316
149,repl,52.68,3.9093817038148697
150,_JsonObject._names,0.86,0.35050983275386566
151,_JsonObject._values,0.8,0.40406101782088427
