# Code label is the function/method name. Exceptions: if it is the top-level code, it is "repl", classes field and init have their labels as well
Bytecode ID,Label,Inclusive Compilation Time(μs),Inclusive Compilation Time(μs)_std
0,lambda-42,3.04,0.9889181885643876
1,lambda-43,1.62,0.7253429871306345
2,lambda-63,21.1,7.321341462896437
3,+,2.04,0.7814168189244196
4,repl,22.84,9.34237657130133
5,-,1.66,0.7174216873994125
6,repl,17.66,6.4479390790660345
7,*,3.94,1.596041020392493
8,repl,21.34,7.9298197215527235
9,/,1.58,0.6727949622466638
10,repl,18.56,6.806839297683604
11,%,1.56,0.7045044574821686
12,repl,18.52,6.834008594477164
13,=,1.64,0.662709343128183
14,repl,21.0,7.858441451128612
15,!=,2.06,0.9563962973323455
16,repl,39.66,14.812584280307894
17,<,3.88,1.4933867823282265
18,repl,19.26,7.102198567330818
19,<=,1.5,0.7071067811865476
20,repl,18.68,6.891106365365108
21,>,1.58,0.6727949622466637
22,repl,18.3,6.716564962684362
23,>=,1.46,0.6455499158682859
24,repl,20.28,7.456102828405407
25,&,1.46,0.676425177242955
26,repl,16.12,6.374822926712457
27,|,1.46,0.6455499158682859
28,repl,15.94,6.038684814238469
29,^,3.94,1.6463937089584493
30,repl,18.26,6.962904624962672
31,not,1.82,0.7475128829686359
32,repl,19.72,7.40391512536938
33,print,1.86,0.7561988724494884
34,repl,30.02,11.094197784869165
35,println,2.76,1.6849877368899122
36,repl,54.02,20.015799881542563
37,Mandelbrot.inner_benchmark_loop,3.38,1.2918899302327327
38,Mandelbrot.benchmark,1.6,0.6998542122237651
39,Mandelbrot.verify_result,1.32,0.6207303137828696
40,Mandelbrot._verify_result,13.52,4.743373465871594
41,Mandelbrot._mandelbrot,45.38,16.34062172523882
42,repl,8258.8,1931.1081834859824
43,repl,1.34,0.6262945776223706
44,repl,1.3,0.5050762722761053
