# Code label is the function/method name. Exceptions: if it is the top-level code, it is "repl", classes field and init have their labels as well
Bytecode ID,Label,Inclusive Compilation Time(μs),Inclusive Compilation Time(μs)_std
0,lambda-43,4.82,0.8497298490264602
1,lambda-44,6.74,1.3523977195472991
2,lambda-64,39.48,7.519335619804804
3,+,3.14,0.7287114711346769
4,repl,37.42,8.374134131298566
5,-,6.12,1.3944496390757062
6,repl,39.44,8.790440076281383
7,*,2.54,0.6764251772429549
8,repl,30.48,6.72564388845304
9,/,2.42,0.702473763036814
10,repl,32.08,6.962992553932716
11,%,2.46,0.6131218209678554
12,repl,29.92,6.617355042243241
13,=,2.44,0.6439672954048368
14,repl,29.86,6.61787930764926
15,!=,7.08,1.6142225019229182
16,repl,63.16,13.349860505271357
17,<,6.2,1.6288220358559111
18,repl,37.24,8.072528370078006
19,<=,2.42,0.7024737630368142
20,repl,33.84,7.511514969888374
21,>,2.38,0.6966391622992348
22,repl,30.16,6.93220817662609
23,>=,6.28,1.9276717478209142
24,repl,37.4,8.93970734123544
25,&,2.42,0.6417450698633201
26,repl,31.64,7.750602346572418
27,|,7.08,2.1650281611968727
28,repl,34.32,7.875148200743491
29,^,2.42,0.6727949622466638
30,repl,29.66,6.551553796074419
31,not,2.8,0.7559289460184544
32,repl,36.52,7.799110362661859
33,print,2.8,0.5714285714285715
34,repl,56.3,12.988613537735773
35,println,4.3,2.178278668853844
36,repl,82.72,18.35037674083593
37,repl,6.76,1.6605875527680447
