# Code label is the function/method name. Exceptions: if it is the top-level code, it is "repl", classes field and init have their labels as well
Bytecode ID,Label,Inclusive Compilation Time(μs),Inclusive Compilation Time(μs)_std
0,lambda-43,4.62,1.0476406924170918
1,lambda-44,6.42,1.2136973364433965
2,lambda-64,37.42,7.284565735799471
3,+,3.14,0.7001457574195913
4,repl,36.5,7.964846232677945
5,-,6.2,2.2406267344797315
6,repl,38.62,8.647023789036508
7,*,2.32,0.5869325309764039
8,repl,30.14,7.1400280111495364
9,/,2.44,0.6439672954048369
10,repl,31.52,6.292982810485122
11,%,2.5,0.614451804788759
12,repl,29.52,6.24741579228025
13,=,2.5,0.5439837932759934
14,repl,29.4,6.187545093630776
15,!=,6.92,1.6015298808276022
16,repl,61.36,12.972120812239877
17,<,5.94,1.3910794516548388
18,repl,36.12,7.773949171063939
19,<=,2.48,0.6141195788629906
20,repl,32.74,6.886277392505373
21,>,2.48,1.8097242996700704
22,repl,29.5,6.6401684266812016
23,>=,5.9,1.3739560044050956
24,repl,35.86,7.647888864362024
25,&,2.28,0.6712765785411847
26,repl,30.7,6.214696209758915
27,|,6.72,2.2409910344145803
28,repl,33.74,8.258106715864857
29,^,2.36,0.5979557010416099
30,repl,29.28,6.171164015493548
31,not,2.72,0.6401530429259451
32,repl,35.4,7.6130929111281285
33,print,2.66,0.7722218143851188
34,repl,54.82,11.606982416473565
35,println,3.86,0.8332380897952963
36,repl,81.22,17.81685741547216
37,Permute.init,3.7,0.8630747123996124
38,Permute.benchmark,9.66,2.036503606374296
39,Permute._permute,17.48,3.552751161610749
40,Permute._swap,10.98,2.2631926158253814
41,Permute.verify_result,2.86,0.670363897522861
42,repl,1517.9,321.734156326211
43,repl,2.46,0.7342912729083656
44,repl,3.88,1.0621503025966346
