# Code label is the function/method name. Exceptions: if it is the top-level code, it is "repl", classes field and init have their labels as well
Bytecode ID,Label,Inclusive Compilation Time(μs),Inclusive Compilation Time(μs)_std
0,lambda-43,5.2,0.8081220356417685
1,lambda-44,7.16,1.0372648491812198
2,lambda-64,41.7,5.466969462329272
3,+,3.4,0.6060915267313265
4,repl,41.54,6.273397022672935
5,-,6.84,1.131370849898476
6,repl,39.44,5.813987356332299
7,*,2.7,0.5050762722761054
8,repl,34.1,5.353808486126717
9,/,2.62,0.4903143514780147
10,repl,35.52,5.5152478805284435
11,%,2.62,0.5303060340934452
12,repl,36.94,5.369642560216629
13,=,2.62,0.49031435147801455
14,repl,33.1,4.769161137892457
15,!=,7.94,1.8228705776486556
16,repl,73.72,12.071284868121822
17,<,6.64,1.2739141034061683
18,repl,41.18,7.084590924776715
19,<=,2.66,0.47851812069840644
20,repl,36.6,5.728553615932406
21,>,2.56,0.5405967979549858
22,repl,32.86,5.217748361044607
23,>=,6.66,1.117760150972489
24,repl,36.58,5.925007534654642
25,&,2.66,0.5194188275056526
26,repl,34.22,5.448422351694936
27,|,7.7,1.9298937265866143
28,repl,37.58,6.168021546324103
29,^,2.7,0.4629100498862757
30,repl,33.32,6.3065887153428495
31,not,3.06,0.6518419740885619
32,repl,39.62,6.372421447302494
33,print,3.1,0.6468132241526727
34,repl,65.34,10.300802425648445
35,println,4.36,0.6627093431281827
36,repl,91.08,14.413485748720586
37,A.init,14.08,2.1650281611968727
38,repl,259.52,40.865253940136434
