# Code label is the function/method name. Exceptions: if it is the top-level code, it is "repl", classes field and init have their labels as well
Bytecode ID,Label,Inclusive Compilation Time(μs),Inclusive Compilation Time(μs)_std
0,lambda-43,4.18,1.3353895709202048
1,lambda-44,6.04,2.203522226818153
2,lambda-64,33.22,9.695970128599505
3,+,2.66,1.8026058235515718
4,repl,31.56,10.726963927507207
5,-,5.26,1.849544897138378
6,repl,33.04,11.239434948394145
7,*,2.04,0.7548482750641661
8,repl,26.18,9.791062146630654
9,/,2.12,0.7182745765700876
10,repl,27.34,9.776293692772683
11,%,2.04,0.7273098320775918
12,repl,25.32,8.48152854918335
13,=,2.1,0.7354021529276429
14,repl,25.46,8.619413304528663
15,!=,5.98,2.0151467258069853
16,repl,52.86,18.097254273643223
17,<,5.22,1.8102880591615402
18,repl,31.28,10.724832903888364
19,<=,2.04,0.8071112509614591
20,repl,28.34,9.694538752960506
21,>,1.9,0.8144110179279556
22,repl,25.14,8.412842466571389
23,>=,5.22,1.798979302441316
24,repl,30.78,10.652756661531132
25,&,2.08,0.7515969393123375
26,repl,26.32,9.256966488619723
27,|,5.88,2.191262798721601
28,repl,29.12,9.82009601349629
29,^,2.12,0.6892764618179896
30,repl,24.94,8.562876686187717
31,not,2.4,0.8329931278350429
32,repl,30.52,10.523520788971641
33,print,2.26,0.7507819053411952
34,repl,47.32,15.619767695364192
35,println,3.44,1.0909647481163876
36,repl,69.78,23.87492066446911
37,Queens.init,8.22,2.9157559316687025
38,Queens.benchmark,6.68,2.142285638074914
39,Queens.verify_result,1.78,0.7899883750113422
40,Queens.queens,15.28,4.823581529891478
41,Queens.place_queen,20.9,6.621702105615308
42,Queens.get_row_column,10.18,3.19240169330687
43,Queens.set_row_column,10.26,3.3308085676432557
44,repl,2457.98,829.8681353328468
45,repl,2.04,0.9249379460707797
46,repl,2.12,0.6892764618179896
