# Code label is the function/method name. Exceptions: if it is the top-level code, it is "repl", classes field and init have their labels as well
Bytecode ID,Label,Inclusive Compilation Time(ticks),Inclusive Compilation Time(ticks)_std,Inclusive Compilation Time(μs),Inclusive Compilation Time(μs)_std
0,lambda-43,7323.48,2077.293247061116,2.7123999999999997,0.7693678692818947
1,lambda-44,2802.32,874.7440777922723,1.0378962962962963,0.32397928807121196
2,lambda-64,78584.92,23328.725878974332,29.105525925925924,8.640268844064567
3,+,3876.8,1233.1425261485053,1.435851851851852,0.45671945412907605
4,repl,83530.48,25686.594485347687,30.937214814814812,9.513553513091736
5,-,2761.4,793.4623944640169,1.0227407407407407,0.29387496091259885
6,repl,71231.04,21821.883699682043,26.381866666666664,8.082179148030386
7,*,2562.64,734.6915432162464,0.9491259259259259,0.27210797896898015
8,repl,76184.84,23462.721703352738,28.216607407407405,8.68989692716768
9,/,2495.84,664.3264307030183,0.9243851851851852,0.24604682618630308
10,repl,70419.56,21944.960156998346,26.08131851851852,8.127763021110498
11,%,2234.2,635.9859130772105,0.8274814814814814,0.23555033817674464
12,repl,76511.28,26099.96535695566,28.337511111111112,9.666653835909504
13,=,2299.36,653.0190408825014,0.8516148148148148,0.24185890403055607
14,repl,64394.68,20018.76443662244,23.849881481481482,7.414357198749053
15,!=,4576.76,1263.0520786845598,1.6950962962962963,0.4677970661794666
16,repl,155619.28,48483.67245597181,57.63677037037037,17.956915724434005
17,<,2469.24,687.4912558998661,0.9145333333333332,0.2546263910740245
18,repl,81432.96,25297.64768362659,30.160355555555558,9.369499142083923
19,<=,11462.28,3584.2720607836513,4.245288888888889,1.3275081706606116
20,repl,73833.28,23143.758038056,27.345659259259257,8.571762236317037
21,>,2204.32,616.847993050648,0.8164148148148149,0.22846221964838817
22,repl,63878.48,19881.782363987884,23.6586962962963,7.36362309777329
23,>=,2116.48,601.8151536673644,0.7838814814814815,0.2228945013582831
24,repl,63753.0,20030.51475084137,23.612222222222222,7.418709166978284
25,&,2363.32,660.1404439316574,0.8753037037037038,0.24449646071542866
26,repl,76730.76,23941.668398345315,28.418799999999997,8.867284591979747
27,|,2323.72,635.2954652468923,0.860637037037037,0.23529461675810825
28,repl,66235.16,22425.98372730041,24.53154074074074,8.305919899000152
29,^,12634.72,7915.1808958404445,4.679525925925926,2.9315484799409055
30,repl,82798.44,27514.122293803364,30.66608888888889,10.190415664371617
31,not,3217.96,940.7823483350309,1.191837037037037,0.34843790679075215
32,repl,71896.32,22332.201091916486,26.62826666666667,8.271185589598698
33,print,12580.04,3835.5162702812036,4.659274074074075,1.420561581585631
34,repl,148470.68,45280.752188909915,54.98914074074074,16.770648958855524
35,println,6291.96,1809.3638295696921,2.3303555555555557,0.6701347516924786
36,repl,205998.16,64579.22513466918,76.29561481481481,23.918231531358956
37,_TowersDisk.init,6287.68,2004.9559152362472,2.3287703703703704,0.7425762649023138
38,_TowersDisk.init-values,14036.04,5843.3781603536445,5.198533333333334,2.164214133464313
39,repl,157610.52,51434.17552769634,58.374266666666664,19.049694639887534
40,Towers.init,4830.96,1434.9503434486037,1.7892444444444444,0.5314630901661496
41,Towers._push_disk,30038.68,9347.05550589083,11.125437037037036,3.4618724095891964
42,Towers._pop_disk_from,25246.28,9117.076070937726,9.350474074074073,3.376694841088047
43,Towers._move_top_disk,9412.44,2837.5034813248444,3.4860888888888892,1.050927215305498
44,Towers._build_tower_at,30181.4,9387.640969891843,11.178296296296297,3.476904062922905
45,Towers._move_disks,33533.0,10092.954821082285,12.419629629629629,3.738131415215661
46,Towers.benchmark,13540.12,3838.643391531303,5.01485925925926,1.4217197746412233
47,Towers.verify_result,3230.8,913.7804854067546,1.1965925925925927,0.33843721681731653
48,repl,5560282.44,1692367.506289065,2059.363866666667,626.802780107061
49,repl,2323.48,692.4194564521346,0.8605481481481482,0.2564516505378276
50,repl,15529.12,4886.9676614524105,5.751525925925926,1.8099880227601521
