# Code label is the function/method name. Exceptions: if it is the top-level code, it is "repl", classes field and init have their labels as well
Bytecode ID,Label,Inclusive Compilation Time(μs),Inclusive Compilation Time(μs)_std
0,lambda-42,4.4,1.2289036095775183
1,lambda-43,2.32,0.8907689867497083
2,lambda-63,30.0,8.139096876139496
3,+,3.08,2.058729546817351
4,repl,31.72,10.362885107686084
5,-,2.34,0.7982122882685139
6,repl,25.14,8.964806473206258
7,*,5.44,1.8534028274544976
8,repl,26.18,8.363404247807523
9,/,2.24,0.715997947779524
10,repl,25.78,8.09708942416083
11,%,2.12,0.7989789402348323
12,repl,25.96,8.521186082048551
13,=,2.14,0.7561988724494884
14,repl,28.82,9.061445575534147
15,!=,2.7,0.8630747123996123
16,repl,54.92,17.787682048346298
17,<,5.48,1.6192716931776858
18,repl,26.82,8.766098892661342
19,<=,2.22,0.7637180802642092
20,repl,25.94,8.094871140142395
21,>,2.06,0.8184106049944289
22,repl,25.66,7.909204144797479
23,>=,2.2,0.7559289460184546
24,repl,27.7,8.846191386173844
25,&,2.12,0.8241260058203405
26,repl,22.64,7.72950878920834
27,|,2.12,0.7461465632686056
28,repl,22.12,6.971194375457348
29,^,5.5,1.6690459207925603
30,repl,25.5,8.003188140245316
31,not,2.54,0.8134080483135291
32,repl,27.26,9.376065925797342
33,print,2.54,0.9082389328715619
34,repl,41.22,13.202179782914948
35,println,3.84,2.452487283871421
36,repl,74.54,24.58322806388161
37,Random._seed,2.02,2.142761902645409
38,Random.next,5.3,1.7641555764612098
39,Storage._count,1.78,0.6788345354580982
40,Storage.benchmark,5.02,1.6841397004441894
41,Storage._build_tree_depth,23.08,7.162373338268168
42,Storage.verify_result,2.52,0.9739463170891037
43,repl,1692.76,555.8612938127494
44,repl,2.12,0.8485281374238572
45,repl,3.64,1.156348933991318
