# Code label is the function/method name. Exceptions: if it is the top-level code, it is "repl", classes field and init have their labels as well
Bytecode ID,Label,Inclusive Compilation Time(μs),Inclusive Compilation Time(μs)_std
0,lambda-43,4.04,1.1598733217248252
1,lambda-44,5.76,1.4078497136862764
2,lambda-64,32.92,8.996235040168703
3,+,2.56,0.8369039151929605
4,repl,30.82,9.215537013597178
5,-,5.06,1.5702593052468392
6,repl,32.36,9.730574578751918
7,*,2.08,0.6651683843898751
8,repl,25.54,7.874552141459948
9,/,2.12,0.7182745765700879
10,repl,26.36,7.69776007706668
11,%,2.1,0.6468132241526728
12,repl,24.76,7.427362538998232
13,=,2.02,0.6848208465261078
14,repl,25.06,8.175149003198033
15,!=,5.86,1.8183868159016383
16,repl,51.88,15.562435148623175
17,<,5.04,1.4977534196664177
18,repl,30.68,9.063134566101581
19,<=,2.08,0.7239348262468529
20,repl,27.96,8.265887608671173
21,>,2.04,0.6047431568147638
22,repl,24.66,7.311187960089324
23,>=,5.04,1.524761607328724
24,repl,30.24,9.170850004002812
25,&,1.88,0.7730142433410675
26,repl,25.98,8.360475525973875
27,|,5.96,2.2853571149509966
28,repl,29.08,9.108955001782025
29,^,2.1,0.7071067811865476
30,repl,24.66,7.41925239646482
31,not,2.34,0.7722218143851188
32,repl,30.16,8.874085178490347
33,print,2.4,0.832993127835043
34,repl,46.06,14.044259485277108
35,println,3.4,0.9897433186107872
36,repl,68.74,21.24282351808272
37,Sieve.benchmark,2.42,0.8827138117585945
38,Sieve._sieve,21.36,6.918652694133507
39,Sieve.verify_result,5.6,1.5118578920369092
40,repl,1596.66,481.54172515081643
41,repl,1.98,0.7139999428342744
42,repl,7.54,2.383703172864972
