# Code label is the function/method name. Exceptions: if it is the top-level code, it is "repl", classes field and init have their labels as well
Bytecode ID,Label,Inclusive Compilation Time(μs),Inclusive Compilation Time(μs)_std
0,lambda-42,4.16,1.1131862707873232
1,lambda-43,2.2,0.8329931278350429
2,lambda-63,28.92,7.976598425956993
3,+,2.8,0.880630571852711
4,repl,30.54,8.908170979728759
5,-,2.24,0.7708992893275451
6,repl,23.98,7.424421917989745
7,*,5.48,1.6566501730656258
8,repl,25.44,7.371096338028
9,/,2.08,0.6651683843898752
10,repl,24.84,7.054771145711769
11,%,2.02,0.7690439333539869
12,repl,24.8,6.992707571725952
13,=,2.08,0.7239348262468529
14,repl,28.02,8.006349521040237
15,!=,2.64,0.8020382198638971
16,repl,53.16,14.727954815969
17,<,5.22,1.6817143827969485
18,repl,25.7,7.3157643594682105
19,<=,2.14,0.7001457574195913
20,repl,25.04,7.010080205660696
21,>,2.12,0.7461465632686054
22,repl,24.58,6.951992813692535
23,>=,2.2,0.6998542122237652
24,repl,26.86,7.580883584277451
25,&,2.04,0.7273098320775917
26,repl,21.52,6.707412895826681
27,|,2.16,0.6180945043652551
28,repl,21.38,6.0369271815981325
29,^,5.2,1.5779087167410373
30,repl,24.52,6.8697503148043975
31,not,2.38,0.7253429871306346
32,repl,26.04,7.353910524340094
33,print,2.42,0.9055385138137417
34,repl,40.02,11.793270305127239
35,println,3.42,1.0896545043157075
36,repl,72.16,21.024145496964938
37,_TowersDisk.size,1.82,0.7196938124462856
38,_TowersDisk.next,1.58,0.5379477252503637
39,_TowersDisk.init-values,2.44,0.8609439527611065
40,repl,32.32,9.360010465718899
41,Towers._piles,1.76,0.5554920598635309
42,Towers._moves_done,1.56,0.5405967979549858
43,Towers._push_disk,13.4,3.8225966172170427
44,Towers._pop_disk_from,6.7,1.9613614596779974
45,Towers._move_top_disk,5.1,2.5892241371988374
46,Towers._build_tower_at,11.14,3.1233812133778405
47,Towers._move_disks,13.64,3.890123548743638
48,Towers.benchmark,11.04,3.030188247671509
49,Towers.verify_result,2.52,0.8628382211738
50,repl,1985.68,577.0949216302537
51,repl,5.68,2.0347992931159835
52,repl,3.64,1.1385633625812157
