# DYNAMIC COUNTS:
# Total dynamic bytecodes: 652358
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,105193,93595.26,735.0105041592828
CALL,105193,163428.18,1286.0623606614868
CATCH,0,0.0,0.0
CREATE_CLASS,1,11.98,2.810258176824358
CREATE_FUNC,17,35.86,7.74599303919551
CREATE_LIST,40,56.32,4.311541227345741
CREATE_OBJECT,1,23.72,6.003536372804936
DUPE,9891,6086.16,71.73117615551158
JUMP,9740,5898.16,68.52747400771128
JUMP_IF_FALSE,11010,6860.04,72.51290103372324
JUMP_IF_FALSE_PEEK,27351,17086.36,174.7971138789433
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,36367,22271.02,192.82999703132856
LOAD_FIELD,101732,97921.22,764.4317427918293
LOAD_GLOBAL,57,96.88,24.218933392985697
LOAD_GLOBAL_BY_INDEX,29307,18143.7,167.3809354467246
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,178054,109091.98,915.9927922807067
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,28393,17401.86,155.75294539751104
RAISE,0,0.0,0.0
RETURN,80,49.08,3.8536492114485412
STORE_FIELD,40,33.56,4.427004331027786
STORE_GLOBAL,19,45.44,10.039025889812544
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,9832,6017.1,69.15385095597209
SWAP,40,27.5,3.5181743874356437
TRY,0,0.0,0.0
