# DYNAMIC COUNTS:
# Total dynamic bytecodes: 901922
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,161497,174281.58,1850.037783287638
CALL,161497,258710.46,1475.7069037292883
CATCH,0,0.0,0.0
CREATE_CLASS,1,17.8,1.1952286093343938
CREATE_FUNC,17,38.08,1.6268160966270584
CREATE_LIST,1,2.08,0.34046786536608525
CREATE_OBJECT,1,6.1,1.0151907431108493
DUPE,22430,13825.94,116.47289428034652
JUMP,21737,13173.02,115.32447392342286
JUMP_IF_FALSE,4999,3118.12,55.80601971772106
JUMP_IF_FALSE_PEEK,21739,13647.72,109.73177687954764
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,36072,22045.14,167.34639743565924
LOAD_FIELD,123020,138170.88,1749.8793385807608
LOAD_GLOBAL,14,18.68,1.4348433747988254
LOAD_GLOBAL_BY_INDEX,59535,36787.78,226.20879735324147
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,223451,136731.76,822.2977652249076
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,43481,26785.56,198.3287479033185
RAISE,0,0.0,0.0
RETURN,0,0.0,0.0
STORE_FIELD,0,0.0,0.0
STORE_GLOBAL,20,49.64,1.3055611038623847
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,22410,13754.38,107.45400344865156
SWAP,0,0.0,0.0
TRY,0,0.0,0.0
