# DYNAMIC COUNTS:
# Total dynamic bytecodes: 1224668
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,171940,139204.1,632.4763849749828
CALL,171940,268670.08,1314.6175953640793
CATCH,0,0.0,0.0
CREATE_CLASS,2,15.9,2.5813301427989503
CREATE_FUNC,17,36.74,5.098259006558924
CREATE_LIST,1,2.22,0.6788345354580985
CREATE_OBJECT,15,130.52,24.236285833856805
DUPE,45144,27575.08,189.75256068289158
JUMP,12429,7513.46,68.0729530634269
JUMP_IF_FALSE,32792,20467.38,148.86316001000094
JUMP_IF_FALSE_PEEK,8220,5115.88,59.68715720063975
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,45134,27556.94,192.34709379087556
LOAD_FIELD,196385,169300.34,784.9009455247859
LOAD_GLOBAL,15,25.34,3.4969957952272024
LOAD_GLOBAL_BY_INDEX,49092,30242.6,198.00927622055428
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,360274,219520.16,1080.6519264418325
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,61521,37541.46,238.1052939781232
RAISE,0,0.0,0.0
RETURN,0,0.0,0.0
STORE_FIELD,24603,15463.74,110.63634307117727
STORE_GLOBAL,21,49.66,6.588827897374805
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,20520,12510.82,102.15468263214053
SWAP,24603,15015.6,121.13106411601342
TRY,0,0.0,0.0
