instruction,counts,total execution time(ns),total execution time(ns)_std
ASSERT_FUNC,109539,20347375.6,626659.1220805773
CALL,109539,37389333.2,1720422.735281274
CATCH,0,0.0,0.0
CREATE_CLASS,3,130149.8,9799.527294721922
CREATE_FUNC,18,440641.4,26473.76331011516
CREATE_LIST,1,66833.2,7980.142022545713
CREATE_OBJECT,102,1414033.8,23494.27047601183
DUPE,41839,1484339.4,50962.11961643669
JUMP,8720,260223.0,11259.503830098376
JUMP_IF_FALSE,26426,909132.8,45306.23049537446
JUMP_IF_FALSE_PEEK,5303,630111.8,33751.52844242761
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,54087,1193037.0,39777.5240808173
LOAD_FIELD,111096,29414413.6,3675229.4968553735
LOAD_GLOBAL,38,600891.6,56709.35554474235
LOAD_GLOBAL_BY_INDEX,47162,1342297.6,38208.33430418027
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,192648,4425531.6,60179.77506853951
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,64313,1654882.2,30311.212606888577
RAISE,0,0.0,0.0
RETURN,0,0.0,0.0
STORE_FIELD,13652,1144320.8,63417.01788321491
STORE_GLOBAL,23,116533.4,4946.614731308675
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,28164,1134690.8,29724.782197688175
SWAP,13652,334901.4,18692.87482705643
TRY,0,0.0,0.0
