instruction,counts,total execution time(ns),total execution time(ns)_std
ASSERT_FUNC,3209311,298958932.2,19358416.64602869
CALL,3209311,533153757.4,73239664.38515477
CATCH,0,0.0,0.0
CREATE_CLASS,28,612075.4,128896.73287287
CREATE_FUNC,29246,3821485.2,459723.7471060202
CREATE_LIST,9184,1976710.8,144340.98460832253
CREATE_OBJECT,15097,36768046.4,2688925.6250706897
DUPE,678103,10025992.2,1484780.192819698
JUMP,528209,6698781.6,816489.6378682953
JUMP_IF_FALSE,522067,9091957.4,1458603.1193475146
JUMP_IF_FALSE_PEEK,341360,6056877.2,640858.7093640064
JUMP_IF_TRUE_PEEK,7010,272513.8,85312.50560849799
LOAD_CONST,548600,8167144.0,1020132.8005732881
LOAD_FIELD,3768966,422691721.0,28118303.395571407
LOAD_GLOBAL,214,1324553.4,71860.25767627053
LOAD_GLOBAL_BY_INDEX,1338562,39156208.4,12732048.578107288
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,5354657,83434127.6,10726782.831562188
LOAD_NONLOCAL,66121,1415279.2,648498.9462433228
NOP,0,0.0,0.0
POP,897208,13061427.6,680765.8501116958
RAISE,0,0.0,0.0
RETURN,7002,215033.6,47064.21007835997
STORE_FIELD,254722,33687578.2,5915377.9478981905
STORE_GLOBAL,61,228167.2,10561.99513349632
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,423320,7539663.2,619240.2587342008
SWAP,254722,6788618.4,2117556.645512653
TRY,0,0.0,0.0
