# DYNAMIC COUNTS:
# Total dynamic bytecodes: 27000077
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,4000002,3560058.65,13943.4976744491
CALL,4000002,3900136.8,15141.157216429392
CATCH,0,0.0,0.0
CREATE_CLASS,0,0.0,0.0
CREATE_FUNC,17,32.85,4.965936600057382
CREATE_LIST,0,0.0,0.0
CREATE_OBJECT,0,0.0,0.0
DUPE,1000020,614848.6,3150.509840110264
JUMP,1000000,606729.0,2773.2070357544394
JUMP_IF_FALSE,0,0.0,0.0
JUMP_IF_FALSE_PEEK,1000001,621839.7,3272.5177350651275
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,3,5.55,0.9445132413883324
LOAD_FIELD,2000001,3075410.75,12785.77226070581
LOAD_GLOBAL,7,13.85,2.0332758116683993
LOAD_GLOBAL_BY_INDEX,5999997,3686886.3,15797.37772410011
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,4000002,2456897.85,11977.535139958778
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,1000004,613714.75,3163.1075305781133
RAISE,0,0.0,0.0
RETURN,2000001,1260581.5,5943.6175454276845
RETURN_INIT,0,0.0,0.0
STORE_FIELD,0,0.0,0.0
STORE_GLOBAL,21,58.65,8.493186123376539
STORE_GLOBAL_BY_INDEX,999999,615572.95,2497.9076185985414
STORE_LOCAL,0,0.0,0.0
SWAP,0,0.0,0.0
TRY,0,0.0,0.0
