# DYNAMIC COUNTS:
# Total dynamic bytecodes: 5033351
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,714237,557937.25,2006.4183820141227
CALL,714237,737093.5,1819.3183657044358
CATCH,0,0.0,0.0
CREATE_CLASS,10,17.5,1.357241785076592
CREATE_FUNC,20,36.5,2.4387227027795997
CREATE_LIST,1027,738.45,15.618730321063405
CREATE_OBJECT,3802,9676.8,43.7812745360386
DUPE,97959,60364.4,199.356438254911
JUMP,78765,47571.55,169.49164705392693
JUMP_IF_FALSE,158081,98865.15,642.4327345497373
JUMP_IF_FALSE_PEEK,44626,27888.0,116.97278135937167
JUMP_IF_TRUE_PEEK,44250,27613.8,69.03896687645667
LOAD_CONST,265712,163982.8,794.5136612385852
LOAD_FIELD,788224,693874.5,1642.2175155627403
LOAD_GLOBAL,128,103.15,3.6313691777707153
LOAD_GLOBAL_BY_INDEX,300029,185425.5,674.4767562613555
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,1078321,664104.05,1416.203467206015
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,188594,116118.2,255.63843710661993
RAISE,0,0.0,0.0
RETURN,383806,240807.95,949.9901647690286
RETURN_INIT,3801,2385.25,29.742535551842785
STORE_FIELD,69763,49735.4,447.5116464229842
STORE_GLOBAL,36,70.4,4.259972819285667
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,28160,17366.55,125.13549498548909
SWAP,69763,43242.1,573.9778924772553
TRY,0,0.0,0.0
