# DYNAMIC COUNTS:
# Total dynamic bytecodes: 4629996
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,714237,575362.2,9959.270069966515
CALL,714237,1038723.64,18096.399364221274
CATCH,0,0.0,0.0
CREATE_CLASS,10,13.5,1.7525491637693285
CREATE_FUNC,20,39.44,4.329113591694714
CREATE_LIST,1027,735.72,23.362310481209036
CREATE_OBJECT,3802,14118.86,426.4713311894842
DUPE,92095,57123.46,1242.0507106213897
JUMP,78765,48251.08,971.9255837810649
JUMP_IF_FALSE,158081,99399.66,1855.5265451056846
JUMP_IF_FALSE_PEEK,44626,28150.8,577.5646973212927
JUMP_IF_TRUE_PEEK,44250,27784.36,616.5422924401428
LOAD_CONST,265712,164311.88,2865.348685124891
LOAD_FIELD,788224,623242.58,10696.316701709287
LOAD_GLOBAL,128,101.38,5.461890231225744
LOAD_GLOBAL_BY_INDEX,300029,186742.76,3470.6765885113577
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,1072457,663271.72,11662.701484647552
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,186531,115512.22,2123.8604847718952
RAISE,0,0.0,0.0
RETURN,9771,6141.56,510.1908870457114
STORE_FIELD,63899,40881.48,778.8252073947467
STORE_GLOBAL,36,60.88,7.291706219523434
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,28160,17396.38,309.91110575354963
SWAP,63899,39581.28,818.8511872976513
TRY,0,0.0,0.0
