# DYNAMIC COUNTS:
# Total dynamic bytecodes: 17766982
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,1989719,1366537.48,30846.593573213533
CALL,1989719,2799551.48,55475.85226915759
CATCH,0,0.0,0.0
CREATE_CLASS,10,32.2,3.3926691677251193
CREATE_FUNC,27,40.82,3.900235471698329
CREATE_LIST,9,6.66,1.5857786344729896
CREATE_OBJECT,28,316.62,21.337798214742335
DUPE,817789,503141.14,5269.513031793811
JUMP,254088,154352.28,1740.596356167059
JUMP_IF_FALSE,724848,453210.22,4746.625178299347
JUMP_IF_FALSE_PEEK,371505,232718.5,2516.2391376733635
JUMP_IF_TRUE_PEEK,106604,66520.7,871.4910340611551
LOAD_CONST,382709,235384.32,2868.041822482752
LOAD_FIELD,2893777,1982914.4,21368.203592616548
LOAD_GLOBAL,150,130.66,7.85742856623396
LOAD_GLOBAL_BY_INDEX,1510723,932954.18,10050.477228368776
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,4129306,2534164.08,27137.28106772253
LOAD_NONLOCAL,65790,40372.0,525.1826893023587
NOP,0,0.0,0.0
POP,1096982,674805.2,7225.419790078425
RAISE,0,0.0,0.0
RETURN,63001,38575.58,498.314796415409
STORE_FIELD,552409,351612.04,3660.300260684543
STORE_GLOBAL,45,93.46,8.917330066236419
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,265335,162848.24,1873.0608101093108
SWAP,552409,340293.14,3741.823881423582
TRY,0,0.0,0.0
