# DYNAMIC COUNTS:
# Total dynamic bytecodes: 1224668
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,171940,138408.26,1025.6457758656315
CALL,171940,269214.72,1949.0777938631918
CATCH,0,0.0,0.0
CREATE_CLASS,2,14.66,2.5039560536014496
CREATE_FUNC,17,31.98,4.546763818859496
CREATE_LIST,1,2.2,0.5345224838248487
CREATE_OBJECT,15,134.92,24.06525143293982
DUPE,45144,27684.44,241.0177536013067
JUMP,12429,7521.24,94.02421746224613
JUMP_IF_FALSE,32792,20471.28,197.51218407263596
JUMP_IF_FALSE_PEEK,8220,5134.74,60.34587722420791
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,45134,27592.4,232.89114563307365
LOAD_FIELD,196385,169929.72,1064.2198261484054
LOAD_GLOBAL,15,25.5,3.6991449646354435
LOAD_GLOBAL_BY_INDEX,49092,30224.86,309.91282579434585
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,360274,220144.86,1754.6572432314224
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,61521,37640.32,294.1822592078807
RAISE,0,0.0,0.0
RETURN,0,0.0,0.0
STORE_FIELD,24603,15484.18,141.53180791984977
STORE_GLOBAL,21,50.18,6.900724599634447
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,20520,12548.84,113.3975056415011
SWAP,24603,15038.74,147.86795129576956
TRY,0,0.0,0.0
