# DYNAMIC COUNTS:
# Total dynamic bytecodes: 21463081
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,3209311,2700872.8,15149.063808886594
CALL,3209311,5033086.82,28366.28764794789
CATCH,0,0.0,0.0
CREATE_CLASS,28,35.54,2.3578786730310552
CREATE_FUNC,29246,19881.02,290.39814259820963
CREATE_LIST,9184,6110.36,65.60698071369652
CREATE_OBJECT,15097,95399.82,645.5863239200911
DUPE,678103,410724.96,3376.654702210329
JUMP,528209,316340.1,2411.4877891340857
JUMP_IF_FALSE,522067,321311.02,2744.157388908672
JUMP_IF_FALSE_PEEK,341360,210715.48,1675.9996985046757
JUMP_IF_TRUE_PEEK,7010,4303.38,55.22159071986847
LOAD_CONST,548600,331601.22,2505.236518142906
LOAD_FIELD,3768966,3478853.12,16649.81456247782
LOAD_GLOBAL,214,186.46,6.550307673097875
LOAD_GLOBAL_BY_INDEX,1338562,814817.52,6251.659437627862
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,5354657,3237743.12,24059.159642847004
LOAD_NONLOCAL,66121,39993.48,485.5378772084439
NOP,0,0.0,0.0
POP,897208,543109.9,4119.057318595776
RAISE,0,0.0,0.0
RETURN,7002,4245.7,274.0070943517743
STORE_FIELD,254722,180869.08,1536.7081812386223
STORE_GLOBAL,61,85.9,8.473849328904754
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,423320,255878.4,2098.919819374543
SWAP,254722,154165.14,1210.4940467192955
TRY,0,0.0,0.0
