# DYNAMIC COUNTS:
# Total dynamic bytecodes: 927987
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,136990,120895.04,1735.3947966984815
CALL,136990,214714.46,2999.176507452874
CATCH,0,0.0,0.0
CREATE_CLASS,1,12.7,1.3286482312670196
CREATE_FUNC,17,32.76,3.2043338000340746
CREATE_LIST,1,7.14,0.808374534331149
CREATE_OBJECT,1,17.44,2.071773370318091
DUPE,31039,19248.16,284.02165482259073
JUMP,13699,8402.14,138.66123893746757
JUMP_IF_FALSE,17320,10966.88,174.92104807948203
JUMP_IF_FALSE_PEEK,8659,5475.62,89.80270665435975
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,39690,24596.94,378.7447263726614
LOAD_FIELD,156363,146956.2,2053.9113308763026
LOAD_GLOBAL,11,20.36,3.1542650102840186
LOAD_GLOBAL_BY_INDEX,38253,23863.9,384.21551403410297
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,249416,154476.08,2281.039378557634
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,59836,37072.4,570.0218756990918
RAISE,0,0.0,0.0
RETURN,0,0.0,0.0
STORE_FIELD,8662,5839.62,88.29216111459577
STORE_GLOBAL,20,49.38,5.469358056574868
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,22357,13839.66,208.93955868545655
SWAP,8662,5387.78,95.392270683334
TRY,0,0.0,0.0
