# DYNAMIC COUNTS:
# Total dynamic bytecodes: 17766982
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,1989719,1337492.92,9044.681964016394
CALL,1989719,2748412.64,18676.65381553412
CATCH,0,0.0,0.0
CREATE_CLASS,10,23.76,2.4871916791794697
CREATE_FUNC,27,40.34,3.7667178372299293
CREATE_LIST,9,11.32,1.7430913191622452
CREATE_OBJECT,28,310.48,20.80741626028016
DUPE,817789,496025.62,3525.6808281001095
JUMP,254088,152106.44,1217.5986933136808
JUMP_IF_FALSE,724848,446227.86,3410.3621987904467
JUMP_IF_FALSE_PEEK,371505,229429.34,2021.3563703410546
JUMP_IF_TRUE_PEEK,106604,65461.06,601.1277635937876
LOAD_CONST,382709,232023.98,2120.644111719698
LOAD_FIELD,2893777,2187520.86,13660.67820202148
LOAD_GLOBAL,150,129.44,9.076005594479348
LOAD_GLOBAL_BY_INDEX,1510723,919264.84,6662.634563055076
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,4129306,2497242.02,18584.36418999938
LOAD_NONLOCAL,65790,39821.12,404.69669368250493
NOP,0,0.0,0.0
POP,1096982,664665.08,5101.50706360386
RAISE,0,0.0,0.0
RETURN,63001,37946.7,279.76777906699965
STORE_FIELD,552409,400772.84,2751.795928302166
STORE_GLOBAL,45,87.8,8.415243700013223
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,265335,160241.92,1491.927199624559
SWAP,552409,335445.4,2568.891629493479
TRY,0,0.0,0.0
