# DYNAMIC COUNTS:
# Total dynamic bytecodes: 559176260
instruction,counts,total execution time(ticks),total execution time(ticks)_std,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,72014935,28374013475.2,333528661.9097118,10508893.879703704,123529.13404063399
CALL,72014935,17858332559.6,162965163.80144027,6614197.244296296,60357.46807460751
CATCH,0,0.0,0.0,0.0,0.0
CREATE_CLASS,14,26098.5,1421.5162957023633,9.66611111111111,0.5264875169268012
CREATE_FUNC,1028,858186.7,64039.80627300656,317.8469259259259,23.718446767780208
CREATE_LIST,44027,78399472.9,1205413.1946000864,29036.841814814816,446.44933133336536
CREATE_OBJECT,1036089,2886415618.5,34076272.50983633,1069042.8216666668,12620.841670309752
DUPE,21504787,453697845.1,5903743.0282681985,168036.23892592592,2186.5714919511847
JUMP,5302561,101960340.5,1692190.8688094402,37763.08907407407,626.7373588183111
JUMP_IF_FALSE,16885733,400011118.3,4990359.929645154,148152.26603703704,1848.281455424131
JUMP_IF_FALSE_PEEK,6059970,164432866.0,2456097.7285551825,60901.06148148148,909.6658253908083
JUMP_IF_TRUE_PEEK,3426439,96608138.1,1195427.2635053906,35780.79188888889,442.75083833532983
LOAD_CONST,23972828,482105954.5,7453086.021180154,178557.76092592592,2760.402230066724
LOAD_FIELD,58467989,38214402666.0,427538825.7189355,14153482.468888888,158347.71322923538
LOAD_GLOBAL,322,176324.8,12156.591305477907,65.30548148148148,4.5024412242510765
LOAD_GLOBAL_BY_INDEX,45855417,1139064113.4,15946291.113296704,421875.5975555556,5906.033745665446
LOAD_LOCAL,0,0.0,0.0,0.0,0.0
LOAD_LOCAL_SAFE,135056752,2800166031.3,34230514.42929863,1037098.5301111112,12677.968307147641
LOAD_NONLOCAL,115069,2490225.0,89736.1838103343,922.3055555555555,33.23562363345715
NOP,0,0.0,0.0,0.0,0.0
POP,27351954,561071075.8,7461549.248594307,207804.10214814814,2763.536758738632
RAISE,0,0.0,0.0,0.0,0.0
RETURN,41125992,1768335951.3,23390194.992739927,654939.2412222222,8663.035182496269
RETURN_INIT,1036088,45043291.6,617213.3203476479,16682.70059259259,228.5975260546844
STORE_FIELD,6398544,346665926.0,4519004.682609555,128394.7874074074,1673.705438003539
STORE_GLOBAL,58,81901.2,4597.131389304237,30.333777777777776,1.7026412552978656
STORE_GLOBAL_BY_INDEX,0,0.0,0.0,0.0,0.0
STORE_LOCAL,15106185,294873037.5,4488329.260455682,109212.23611111111,1662.3441705391415
SWAP,6398544,157519107.2,2436503.2785415472,58340.41007407407,902.4086216820546
TRY,0,0.0,0.0,0.0,0.0
