# DYNAMIC COUNTS:
# Total dynamic bytecodes: 23563707
instruction,counts,total execution time(ticks),total execution time(ticks)_std,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,3209311,4586405457.9,20462024.960627366,1698668.688111111,7578.52776319532
CALL,3209311,5886778585.9,25546557.551386546,2180288.365148148,9461.687981995017
CATCH,0,0.0,0.0,0.0,0.0
CREATE_CLASS,28,54829.8,3311.8037635737187,20.307333333333336,1.2265939865087847
CREATE_FUNC,29246,5769656.4,52889.59942967597,2136.909777777778,19.588740529509618
CREATE_LIST,9184,2033127.3,40867.35140748857,753.0101111111111,15.136056076847618
CREATE_OBJECT,15097,87370429.6,524750.3674302192,32359.418370370367,194.35198793711822
DUPE,736386,15592488.1,86512.7876193672,5774.995592592592,32.04177319235822
JUMP,528209,11037654.6,75823.32415514899,4088.020222222222,28.082712650055182
JUMP_IF_FALSE,522067,12833837.3,121338.47757197317,4753.273074074074,44.94017687850858
JUMP_IF_FALSE_PEEK,341360,9418077.9,103876.04569105711,3488.177,38.47260951520634
JUMP_IF_TRUE_PEEK,7010,194670.0,6377.777900442162,72.1,2.362139963126727
LOAD_CONST,548600,11162163.3,105884.061022621,4134.134555555555,39.21631889726704
LOAD_FIELD,3768966,2454230196.8,19030412.51718684,908974.146962963,7048.300932291422
LOAD_GLOBAL,214,167767.2,6535.597339912684,62.136,2.4205916073750684
LOAD_GLOBAL_BY_INDEX,1338562,33314552.7,188289.57611002983,12338.723222222223,69.73688004075179
LOAD_LOCAL,0,0.0,0.0,0.0,0.0
LOAD_LOCAL_SAFE,5412940,113634968.7,308651.3109215491,42087.02544444444,114.31530034131448
LOAD_NONLOCAL,66121,1304774.9,19154.59563902972,483.2499629629629,7.094294681122119
NOP,0,0.0,0.0,0.0,0.0
POP,936389,19237679.8,246428.62128874933,7125.066592592593,91.26985973657382
RAISE,0,0.0,0.0,0.0,0.0
RETURN,1816208,81842502.9,1336716.7222043842,30312.038111111113,495.0802674831052
RETURN_INIT,19107,987842.4,15461.47940902777,365.86755555555555,5.72647385519547
STORE_FIELD,313005,22322161.1,226925.81986234966,8267.467074074075,84.04659994901839
STORE_GLOBAL,61,78482.9,9115.17800674989,29.06774074074074,3.375991854351811
STORE_GLOBAL_BY_INDEX,0,0.0,0.0,0.0,0.0
STORE_LOCAL,423320,8342891.6,93269.34410472876,3089.959851851852,34.544201520269915
SWAP,313005,7484366.8,77546.92369723799,2771.9877037037036,28.721082850828886
TRY,0,0.0,0.0,0.0,0.0
