# DYNAMIC COUNTS:
# Total dynamic bytecodes: 5033351
instruction,counts,total execution time(ticks),total execution time(ticks)_std,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,714237,393463267.9,1400200.543365045,145727.13625925925,518.5927938389055
CALL,714237,401354384.8,1401819.3217013848,148649.77214814816,519.1923413708832
CATCH,0,0.0,0.0,0.0,0.0
CREATE_CLASS,10,28078.9,3451.307881765526,10.399592592592594,1.2782621784316763
CREATE_FUNC,20,5591.1,822.7815403604378,2.070777777777778,0.30473390383719917
CREATE_LIST,1027,406522.2,17372.070359904534,150.56377777777777,6.434100133297975
CREATE_OBJECT,3802,18033011.4,127564.79563215682,6678.893111111111,47.246220604502525
DUPE,97959,2059800.2,28980.41550608382,762.888962962963,10.733487224475489
JUMP,78765,1530296.4,19883.91178923565,566.7764444444445,7.364411773790982
JUMP_IF_FALSE,158081,3888453.9,57566.13738347081,1440.168111111111,21.320791623507706
JUMP_IF_FALSE_PEEK,44626,1241948.0,26617.915494327448,459.9807407407407,9.858487220121278
JUMP_IF_TRUE_PEEK,44250,1261362.1,19294.018822040747,467.1711481481482,7.145932897052129
LOAD_CONST,265712,5382875.7,57083.919403204745,1993.6576666666667,21.142192371557314
LOAD_FIELD,788224,363702398.0,1345133.428500491,134704.59185185184,498.19756611129293
LOAD_GLOBAL,128,62440.3,2778.7014971972653,23.126037037037037,1.0291487026656538
LOAD_GLOBAL_BY_INDEX,300029,7472936.1,60748.312345542305,2767.754111111111,22.499374942793445
LOAD_LOCAL,0,0.0,0.0,0.0,0.0
LOAD_LOCAL_SAFE,1078321,22794626.4,169568.8903352136,8442.45422222222,62.80329271674578
LOAD_NONLOCAL,0,0.0,0.0,0.0,0.0
NOP,0,0.0,0.0,0.0,0.0
POP,188594,3878775.0,27644.786922673196,1436.5833333333333,10.238809971360443
RAISE,0,0.0,0.0,0.0,0.0
RETURN,383806,16367333.5,135127.82342169288,6061.97537037037,50.0473420080344
RETURN_INIT,3801,177418.9,1976.1567671672813,65.7107037037037,0.7319099137656597
STORE_FIELD,69763,3739082.1,55371.963289337946,1384.8452222222222,20.508134551606645
STORE_GLOBAL,36,60214.5,7526.853340575085,22.301666666666666,2.7877234594722538
STORE_GLOBAL_BY_INDEX,0,0.0,0.0,0.0,0.0
STORE_LOCAL,28160,562504.5,19185.252097708588,208.335,7.105648925077254
SWAP,69763,1668699.3,42485.66229125206,618.0367777777778,15.735430478241504
TRY,0,0.0,0.0,0.0,0.0
