# DYNAMIC COUNTS:
# Total dynamic bytecodes: 990036
instruction,counts,total execution time(ticks),total execution time(ticks)_std,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,136990,101245208.4,1138863.6873123,37498.225333333336,421.80136567122224
CALL,136990,66560971.1,881917.0399436316,24652.211518518518,326.6359407198636
CATCH,0,0.0,0.0,0.0,0.0
CREATE_CLASS,1,52019.3,8716.576374628794,19.26640740740741,3.2283616202328864
CREATE_FUNC,17,4890.3,779.5726967215337,1.8112222222222223,0.28873062841538283
CREATE_LIST,1,1986.7,335.84600167652036,0.7358148148148148,0.12438740802834088
CREATE_OBJECT,1,14751.8,2512.6439754506446,5.463629629629629,0.9306088797965351
DUPE,31041,686013.1,21737.869585006192,254.07892592592592,8.051062809261552
JUMP,13699,285216.4,14442.144374966225,105.63570370370371,5.348942361098602
JUMP_IF_FALSE,17320,441092.1,14070.583835191697,163.36744444444443,5.2113273463672956
JUMP_IF_FALSE_PEEK,8659,251278.6,19335.246834404996,93.06614814814814,7.161202531261109
JUMP_IF_TRUE_PEEK,0,0.0,0.0,0.0,0.0
LOAD_CONST,39690,827641.7,20397.593813461124,306.53396296296296,7.554664375355972
LOAD_FIELD,156363,126187802.1,1298304.120865285,46736.223,480.8533780982537
LOAD_GLOBAL,11,13600.8,1733.0470154888287,5.037333333333333,0.6418692649958625
LOAD_GLOBAL_BY_INDEX,38253,984021.9,25453.57800078616,364.4525555555556,9.427251111402281
LOAD_LOCAL,0,0.0,0.0,0.0,0.0
LOAD_LOCAL_SAFE,249418,5530974.1,67335.5257715929,2048.5089259259257,24.939083619108484
LOAD_NONLOCAL,0,0.0,0.0,0.0,0.0
NOP,0,0.0,0.0,0.0,0.0
POP,59837,1307269.5,28747.122824453458,484.1738888888889,10.647082527575355
RAISE,0,0.0,0.0,0.0,0.0
RETURN,62039,2731241.7,53762.61153304057,1011.571,19.91207834557058
RETURN_INIT,1,501.8,85.92505914733887,0.18585185185185185,0.031824095980495876
STORE_FIELD,8664,484776.9,11875.089388694025,179.547,4.398181255071861
STORE_GLOBAL,20,40674.1,6096.088840180105,15.064481481481481,2.257810681548187
STORE_GLOBAL_BY_INDEX,0,0.0,0.0,0.0,0.0
STORE_LOCAL,22357,452188.4,11294.089513406647,167.4771851851852,4.182996116076536
SWAP,8664,220014.4,7356.931042078261,81.4868148148148,2.7247892748438005
TRY,0,0.0,0.0,0.0,0.0
