# DYNAMIC COUNTS:
# Total dynamic bytecodes: 99000404
instruction,counts,total execution time(ticks),total execution time(ticks)_std,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,10000024,13735746562.5,136605503.96228892,5087313.541666667,50594.63109714404
CALL,10000024,1645432127.7,12874506.97797428,609419.3065555556,4768.335917768252
CATCH,0,0.0,0.0,0.0,0.0
CREATE_CLASS,3,36558.6,7010.816458197028,13.540222222222221,2.596598688221121
CREATE_FUNC,18,5219.6,1090.4653955753793,1.9331851851851853,0.40387607243532564
CREATE_LIST,1,1586.0,344.2771221590323,0.5874074074074074,0.12751004524408602
CREATE_OBJECT,3,41783.9,9506.085994605883,15.47551851851852,3.5207725905947713
DUPE,5000059,104480053.0,483603.82559781603,38696.31592592593,179.11252799919112
JUMP,1000002,19258805.7,120882.7921832159,7132.891,44.77140451230218
JUMP_IF_FALSE,0,0.0,0.0,0.0,0.0
JUMP_IF_FALSE_PEEK,1000013,28031826.3,328056.348940416,10382.157888888889,121.50235145941333
JUMP_IF_TRUE_PEEK,0,0.0,0.0,0.0,0.0
LOAD_CONST,6000029,121500937.3,1463226.9044404668,45000.34714814815,541.9358905335063
LOAD_FIELD,17000016,14330762933.2,114206638.86971743,5307689.975259259,42298.755136932385
LOAD_GLOBAL,32,17902.1,3090.013079515837,6.630407407407407,1.1444492887095692
LOAD_GLOBAL_BY_INDEX,19999969,480883084.4,3195386.2844706234,178104.84607407407,1183.4764016557865
LOAD_LOCAL,0,0.0,0.0,0.0,0.0
LOAD_LOCAL_SAFE,6000081,120916268.4,1308084.0778882217,44783.80311111111,484.4755844030451
LOAD_NONLOCAL,0,0.0,0.0,0.0,0.0
NOP,0,0.0,0.0,0.0,0.0
POP,12000034,249919430.0,3047226.3673212193,92562.75185185185,1128.6023582671182
RAISE,0,0.0,0.0,0.0,0.0
RETURN,3000007,128530228.8,1536557.3873203038,47603.78844444444,569.0953286371496
RETURN_INIT,3,855.6,192.9424239180394,0.3168888888888889,0.07146015700668126
STORE_FIELD,3000027,257605552.4,2422714.9529153937,95409.46385185185,897.3018344131088
STORE_GLOBAL,25,54289.0,10823.613007046944,20.10703703703704,4.008745558165535
STORE_GLOBAL_BY_INDEX,1999996,48477945.8,302590.6748219796,17954.79474074074,112.07062030443689
STORE_LOCAL,11,243.5,59.91177724480871,0.09018518518518519,0.02218954712770693
SWAP,3000027,69576838.9,1391397.3032067963,25769.199592592595,515.3323345210357
TRY,0,0.0,0.0,0.0,0.0
