# DYNAMIC COUNTS:
# Total dynamic bytecodes: 1314892
instruction,counts,total execution time(ticks),total execution time(ticks)_std,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,171940,95367519.6,1073477.885092649,35321.303555555554,397.5844018861663
CALL,171940,76904639.6,854722.465184333,28483.19985185185,316.5638759941974
CATCH,0,0.0,0.0,0.0,0.0
CREATE_CLASS,2,29330.1,5716.423080176882,10.863,2.117193733398845
CREATE_FUNC,17,4705.2,1020.9874271095553,1.7426666666666666,0.3781434915220575
CREATE_LIST,1,1549.3,414.5888388067845,0.5738148148148148,0.15355142178029055
CREATE_OBJECT,15,113923.9,28575.157804785977,42.194037037037035,10.583391779550361
DUPE,45174,974578.2,21463.2161312031,360.9548888888889,7.949339307852999
JUMP,12429,244219.8,3636.1880502584095,90.45177777777778,1.346736314910522
JUMP_IF_FALSE,32792,855154.5,56503.53682781842,316.7238888888889,20.92723586215497
JUMP_IF_FALSE_PEEK,8220,250800.9,12314.332812663977,92.88922222222222,4.560864004690362
JUMP_IF_TRUE_PEEK,0,0.0,0.0,0.0,0.0
LOAD_CONST,45134,959286.5,42043.81355268135,355.2912962962963,15.571782797289389
LOAD_FIELD,196385,140301994.7,1316396.119324234,51963.70174074073,487.55411826823484
LOAD_GLOBAL,15,15862.6,3604.752891742556,5.875037037037037,1.3350936636083541
LOAD_GLOBAL_BY_INDEX,49092,1248140.7,42088.87923268042,462.2743333333333,15.588473789881636
LOAD_LOCAL,0,0.0,0.0,0.0,0.0
LOAD_LOCAL_SAFE,360304,7985535.2,109280.82816670068,2957.6056296296297,40.47438080248173
LOAD_NONLOCAL,0,0.0,0.0,0.0,0.0
NOP,0,0.0,0.0,0.0,0.0
POP,61536,1302024.8,33050.75260485562,482.2314074074074,12.241019483279858
RAISE,0,0.0,0.0,0.0,0.0
RETURN,90074,3850911.7,50345.45133386465,1426.2635925925927,18.646463456986908
RETURN_INIT,15,2007.7,458.9751856610894,0.7435925925925926,0.1699908095041072
STORE_FIELD,24633,1364819.5,39688.97243567787,505.4887037037037,14.699619420621433
STORE_GLOBAL,21,38836.6,7838.242931463122,14.383925925925926,2.903052937578934
STORE_GLOBAL_BY_INDEX,0,0.0,0.0,0.0,0.0
STORE_LOCAL,20520,420109.7,17337.749204675056,155.5961851851852,6.421388594324095
SWAP,24633,634664.4,22363.490242615975,235.0608888888889,8.282774163931842
TRY,0,0.0,0.0,0.0,0.0
