# DYNAMIC COUNTS:
# Total dynamic bytecodes: 559176260
instruction,counts,total execution time(ticks),total execution time(ticks)_std,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,72014935,28747363906.4,353974917.14284986,10647171.817185186,131101.82116401847
CALL,72014935,17493587078.3,197624923.7397771,6479106.325296296,73194.41619991744
CATCH,0,0.0,0.0,0.0,0.0
CREATE_CLASS,14,38969.1,7191.06151230013,14.433,2.6633561156667147
CREATE_FUNC,1028,823732.9,50420.93785000122,305.0862592592593,18.674421425926376
CREATE_LIST,44027,10226263.9,408030.1847923432,3787.5051481481482,151.1222906638308
CREATE_OBJECT,1036089,2806897544.0,35712859.50884503,1039591.682962963,13226.985003275937
DUPE,21504787,453282240.8,4655118.818223878,167882.31140740743,1724.1180808236584
JUMP,5302561,101579753.3,1182800.8734972253,37622.13085185185,438.07439759156495
JUMP_IF_FALSE,16885733,402184451.1,6537899.772707774,148957.20411111112,2421.4443602621386
JUMP_IF_FALSE_PEEK,6059970,164020685.5,2771208.7571987608,60748.402037037034,1026.3736137773187
JUMP_IF_TRUE_PEEK,3426439,99704058.5,1971806.3276151377,36927.429074074076,730.2986398574584
LOAD_CONST,23972828,480477428.7,6458346.733425216,177954.6032222222,2391.980271638969
LOAD_FIELD,58467989,44144104296.0,566179277.8299193,16349668.257777778,209696.02882589606
LOAD_GLOBAL,322,179955.3,9775.91050598626,66.6501111111111,3.620707594809726
LOAD_GLOBAL_BY_INDEX,45855417,1139644751.4,16304252.712130794,422090.6486666667,6038.612115603998
LOAD_LOCAL,0,0.0,0.0,0.0,0.0
LOAD_LOCAL_SAFE,135056752,2790425151.3,34527049.303960785,1033490.7967777778,12787.796038503995
LOAD_NONLOCAL,115069,2420489.5,56929.378817785684,896.4775925925926,21.084955117698403
NOP,0,0.0,0.0,0.0,0.0
POP,27351954,557043372.4,7527223.670235348,206312.36014814815,2787.8606186056845
RAISE,0,0.0,0.0,0.0,0.0
RETURN,41125992,1759505313.3,22741910.77419708,651668.6345555555,8422.929916369289
RETURN_INIT,1036088,44123985.6,644030.4362374906,16342.21688888889,238.5297911990706
STORE_FIELD,6398544,1390499694.5,18254413.912350036,514999.8868518518,6760.8940416111245
STORE_GLOBAL,58,62312.3,2180.171531156014,23.07862962962963,0.8074709374651905
STORE_GLOBAL_BY_INDEX,0,0.0,0.0,0.0,0.0
STORE_LOCAL,15106185,293854059.8,3862593.488929967,108834.83696296297,1430.5901810851728
SWAP,6398544,156094279.8,2365650.0934218727,57812.69622222223,876.1667012673603
TRY,0,0.0,0.0,0.0,0.0
