# DYNAMIC COUNTS:
# Total dynamic bytecodes: 990036
instruction,counts,total execution time(ticks),total execution time(ticks)_std,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,136990,102049887.0,613178.8066418614,37796.25444444444,227.10326171920795
CALL,136990,64975732.3,399594.23258588894,24065.086037037036,147.99786392069961
CATCH,0,0.0,0.0,0.0,0.0
CREATE_CLASS,1,32106.7,6483.672457553829,11.891370370370371,2.401360169464381
CREATE_FUNC,17,5104.7,132.71144003359117,1.8906296296296297,0.04915238519762636
CREATE_LIST,1,2038.6,221.2986550723753,0.755037037037037,0.08196246484162048
CREATE_OBJECT,1,27591.5,2693.145050523253,10.219074074074074,0.9974611298234269
DUPE,31041,693697.7,25132.184878107375,256.9250740740741,9.30821662152125
JUMP,13699,283958.5,9024.777609156743,105.16981481481481,3.3425102256136086
JUMP_IF_FALSE,17320,447953.0,32067.279073190704,165.90851851851852,11.876770027107668
JUMP_IF_FALSE_PEEK,8659,242722.2,12305.596636875178,89.89711111111112,4.5576283840278435
JUMP_IF_TRUE_PEEK,0,0.0,0.0,0.0,0.0
LOAD_CONST,39690,828554.1,10175.98612782488,306.87188888888886,3.768883751046252
LOAD_FIELD,156363,141725460.2,810103.323905346,52490.91118518518,300.0382681130911
LOAD_GLOBAL,11,13179.4,1034.7019097813934,4.881259259259259,0.3832229295486642
LOAD_GLOBAL_BY_INDEX,38253,972072.3,15500.061151322492,360.0267777777778,5.740763389378701
LOAD_LOCAL,0,0.0,0.0,0.0,0.0
LOAD_LOCAL_SAFE,249418,5561962.9,70872.72682321403,2059.9862592592594,26.249158082671865
LOAD_NONLOCAL,0,0.0,0.0,0.0,0.0
NOP,0,0.0,0.0,0.0,0.0
POP,59837,1310556.6,35396.792784241436,485.39133333333336,13.109923253422753
RAISE,0,0.0,0.0,0.0,0.0
RETURN,62039,2753062.1,44451.38539774603,1019.6526296296297,16.46347607323927
RETURN_INIT,1,582.8,175.57172773242098,0.21585185185185182,0.06502656582682259
STORE_FIELD,8664,1403026.3,29473.117730355043,519.6393703703704,10.915969529761128
STORE_GLOBAL,20,42698.5,4106.844755052869,15.81425925925926,1.521053612982544
STORE_GLOBAL_BY_INDEX,0,0.0,0.0,0.0,0.0
STORE_LOCAL,22357,453823.7,10419.646206237428,168.08285185185184,3.859128224532381
SWAP,8664,210320.1,15744.753424888126,77.89633333333333,5.8313901573659725
TRY,0,0.0,0.0,0.0,0.0
